# logged on Thu Dec 21 17:04:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174643.447799000  1000.15 0 50.0056  15.899  nan  0.0332112 -0.1136 -0.0371954  0.0332112 -0.1136 -0.0371954  -0.0832396 -0.0106311 10.8727  -0.0832396 -0.0106311 10.8727  nan nan nan  nan nan nan  78.1789 67.5595 70.8527 65.6168 - - - - 78.5793 65.9544 71.286 64.5245 nan nan nan nan 139 0 133 70 0 0 0 0
1703174643.452796000  1000.16 0 50.0056  -  nan  -0.0392347 0.0317 -0.0191315  -0.0392347 0.0317 -0.0191315  0.297571 0.112177 8.58406  0.297571 0.112177 8.58406  - - -  - - -  77.7236 66.5038 71.7069 65.2078 - - - - 76.558 - 71.0732 - - - - - 139 0 133 70 0 0 0 0
1703174643.457799000  1000.17 0 50.0051  -  nan  -0.0548021 0.0355618 0.0748478  -0.0548021 0.0355618 0.0748478  -0.447238 -0.00270555 10.1284  -0.447238 -0.00270555 10.1284  - - -  - - -  78.2491 67.2814 71.1721 65.1201 - - - - - 66.507 - - - - - - 139 0 133 70 0 0 0 0
1703174643.462806000  1000.17 0 50.0066  -  nan  0.0476309 -0.113666 -0.0362058  0.0476309 -0.113666 -0.0362058  -0.0331503 0.043555 10.3554  -0.0331503 0.043555 10.3554  - - -  - - -  77.6718 68.3242 70.4171 65.3556 - - - - - - - 65.0533 - - - - 139 0 133 70 0 0 0 0
1703174643.467808000  1000.18 0 50.0066  -  nan  -0.0828474 0.0766114 0.0306827  -0.0828474 0.0766114 0.0306827  0.117961 0.257058 8.96844  0.117961 0.257058 8.96844  - - -  - - -  77.2409 66.8447 71.6085 65.0814 - - - - - - - - - - - - 139 0 133 70 0 0 0 0
1703174643.472805000  1000.18 0 50.0063  -  nan  -0.0834776 0.0351505 0.0593017  -0.0834776 0.0351505 0.0593017  -0.263957 -0.0501862 10.0199  -0.263957 -0.0501862 10.0199  - - -  - - -  78.1677 68.7671 70.3486 64.6174 - - - - 78.8395 - 71.7154 - - - - - 139 0 133 70 0 0 0 0
1703174643.477794000  1000.19 0 50.0047  -  nan  0.0194666 -0.0421549 -0.0542623  0.0194666 -0.0421549 -0.0542623  0.0187293 0.195141 10.1139  0.0187293 0.195141 10.1139  - - -  - - -  77.7836 68.4354 70.5876 64.7417 - - - - - 68.2221 - - - - - - 139 0 133 70 0 0 0 0
1703174643.482829000  1000.19 0 50.0052  -  nan  -0.111914 0.092009 0.0553426  -0.111914 0.092009 0.0553426  -0.0711016 0.153967 9.31854  -0.0711016 0.153967 9.31854  - - -  - - -  77.9243 67.2552 71.586 64.3287 - - - - - - - 65.591 - - - - 139 0 133 70 0 0 0 0
1703174643.487798000  1000.19 0 50.0057  -  nan  -0.0543551 0.00401576 0.0216052  -0.0543551 0.00401576 0.0216052  0.00817346 -0.196287 9.75039  0.00817346 -0.196287 9.75039  - - -  - - -  78.1034 68.5896 70.5161 64.3614 - - - - 78.3208 - - - - - - - 139 0 133 70 0 0 0 0
1703174643.492804000  1000.2 0 50.0071  -  nan  0.00426326 0.0161981 -0.0437708  0.00426326 0.0161981 -0.0437708  -0.20725 0.295177 10.0467  -0.20725 0.295177 10.0467  - - -  - - -  75.8913 68.8424 68.0828 65.7236 - - - - - - 71.0732 - - - - - 139 0 133 70 0 0 0 0
1703174643.497802000  1000.2 0 50.0064  -  nan  -0.0685916 0.0770882 0.0452393  -0.0685916 0.0770882 0.0452393  -0.0348444 -0.0508016 10.0792  -0.0348444 -0.0508016 10.0792  - - -  - - -  75.9905 69.0379 67.9126 65.0927 - - - - - 68.8137 - - - - - - 139 0 133 70 0 0 0 0
