# logged on Thu Dec 21 17:06:54 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1703174814.405406000  1000.52 0 50.004  15.77  nan  0.0920284 -0.0260973 0.00549847  0.0920284 -0.0260973 0.00549847  -0.127516 -0.146572 9.74492  -0.127516 -0.146572 9.74492  nan nan nan  nan nan nan  78.4733 69.5267 71.0709 63.5824 - - - - 79.1014 68.4182 71.286 62.9882 nan nan nan nan 138 146 134 70 0 0 0 0
1703174814.410406000  1000.52 0 50.0046  -  nan  0.0477769 0.00301 0.015036  0.0477769 0.00301 0.015036  -0.16746 0.0963154 10.0649  -0.16746 0.0963154 10.0649  - - -  - - -  78.3068 68.6269 71.7255 64.1142 - - - - - - 71.7154 - - - - - 138 146 134 70 0 0 0 0
1703174814.415409000  1000.52 0 50.0047  -  nan  0.00332379 0.00375362 0.0255636  0.00332379 0.00375362 0.0255636  0.243535 0.000954829 9.79088  0.243535 0.000954829 9.79088  - - -  - - -  78.3877 68.482 71.8682 63.7285 - - - - 78.5793 - - 64.1766 - - - - 138 146 134 70 0 0 0 0
1703174814.420419000  1000.52 0 50.0042  -  nan  0.0477209 0.0187472 0.0280727  0.0477209 0.0187472 0.0280727  -0.307811 -0.0453057 9.56288  -0.307811 -0.0453057 9.56288  - - -  - - -  78.6034 68.9839 71.4646 63.9779 - - - - - 69.2137 - - - - - - 138 146 134 70 0 0 0 0
1703174814.425424000  1000.52 0 50.0042  -  nan  0.0478773 -0.0553831 -0.0246541  0.0478773 -0.0553831 -0.0246541  -0.12726 -0.00819082 10.644  -0.12726 -0.00819082 10.644  - - -  - - -  78.6009 68.6413 71.745 63.9706 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.433408000  1000.52 0 50.0076  -  nan  0.00363335 0.0473122 0.0240433  0.00363335 0.0473122 0.0240433  -0.0259664 0.059406 8.87211  -0.0259664 0.059406 8.87211  - - -  - - -  78.1574 67.8809 72.4279 63.3419 - - - - 78.3208 - 71.5001 63.8325 - - - - 138 146 134 70 0 0 0 0
1703174814.438419000  1000.53 0 50.0079  -  nan  0.0477393 -0.025896 0.002459  0.0477393 -0.025896 0.002459  -0.315737 -0.109047 10.8798  -0.315737 -0.109047 10.8798  - - -  - - -  78.314 68.9826 72.0032 63.398 - - - - - 69.2137 - - - - - - 138 146 134 70 0 0 0 0
1703174814.443416000  1000.55 0 50.0079  -  nan  0.0191387 -0.0410702 -0.0271283  0.0191387 -0.0410702 -0.0271283  0.108277 0.0969308 10.0094  0.108277 0.0969308 10.0094  - - -  - - -  77.6339 67.7241 72.8951 63.0462 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.448400000  1000.56 0 50.0079  -  nan  -0.054519 0.00455808 0.0351722  -0.054519 0.00455808 0.0351722  -0.0723068 0.0588013 8.92836  -0.0723068 0.0588013 8.92836  - - -  - - -  78.1808 68.1928 72.6101 62.8664 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.453414000  1000.56 0 50.0075  -  nan  0.00318539 -0.0393343 0.0134815  0.00318539 -0.0393343 0.0134815  -0.222499 -0.106607 10.6522  -0.222499 -0.106607 10.6522  - - -  - - -  78.0166 69.0238 72.3506 62.9565 - - - - 78.5793 - 71.9321 62.6566 - - - - 138 146 134 70 0 0 0 0
1703174814.458417000  1000.56 0 50.0088  -  nan  -0.0258628 -0.0685799 0.0125276  -0.0258628 -0.0685799 0.0125276  -0.117423 0.197582 9.8846  -0.117423 0.197582 9.8846  - - -  - - -  75.2513 69.3108 69.9482 63.9156 - - - - - 67.8334 - - - - - - 138 146 134 70 0 0 0 0
1703174814.463409000  1000.57 0 50.0088  -  nan  -0.0547838 -0.00908145 0.0492341  -0.0547838 -0.00908145 0.0492341  0.0171828 0.00766022 9.16175  0.0171828 0.00766022 9.16175  - - -  - - -  75.221 70.0606 69.5327 63.6723 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.468413000  1000.57 0 50.0088  -  nan  0.0334203 -0.0116486 0.000974428  0.0334203 -0.0116486 0.000974428  -0.0385356 -0.151453 10.2023  -0.0385356 -0.151453 10.2023  - - -  - - -  75.1467 70.6975 69.4314 63.8624 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.473395000  1000.57 0 50.0075  -  nan  -0.0109696 -0.0256292 -0.00157007  -0.0109696 -0.0256292 -0.00157007  -0.298829 0.296397 9.9319  -0.298829 0.296397 9.9319  - - -  - - -  75.3188 69.9913 69.6738 63.8878 - - - - 77.3036 - 71.0732 63.3232 - - - - 138 146 134 70 0 0 0 0
1703174814.478416000  1000.57 0 50.0078  -  nan  -0.0393055 -0.0271639 -0.0452193  -0.0393055 -0.0271639 -0.0452193  0.193181 -0.148397 9.91803  0.193181 -0.148397 9.91803  - - -  - - -  75.3129 70.0703 70.0046 63.422 - - - - - 68.4182 - - - - - - 138 146 134 70 0 0 0 0
1703174814.483399000  1000.58 0 50.0078  -  nan  0.0348002 0.0138543 -0.096958  0.0348002 0.0138543 -0.096958  -0.0325427 -0.0919761 9.28443  -0.0325427 -0.0919761 9.28443  - - -  - - -  76.0425 69.4417 70.5709 63.0139 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.488413000  1000.59 0 50.0078  -  nan  0.00431923 0.000460928 -0.0568075  0.00431923 0.000460928 -0.0568075  -0.394927 0.195141 10.1109  -0.394927 0.195141 10.1109  - - -  - - -  76.8936 68.5959 71.1641 62.9381 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.493410000  1000.59 0 50.0078  -  nan  0.0196937 -0.0574214 -0.0809013  0.0196937 -0.0574214 -0.0809013  0.192164 -0.196892 9.80832  0.192164 -0.196892 9.80832  - - -  - - -  76.6209 68.6853 71.3036 62.6338 - - - - 75.3466 - 69.6185 64.0041 - - - - 138 146 134 70 0 0 0 0
1703174814.498411000  1000.59 0 50.0091  -  nan  0.0200153 0.0586735 -0.0441955  0.0200153 0.0586735 -0.0441955  0.0199476 0.0137609 8.5909  0.0199476 0.0137609 8.5909  - - -  - - -  77.2113 67.9678 71.5642 63.179 - - - - - 71.5001 - - - - - - 138 146 134 70 0 0 0 0
1703174814.503412000  1000.6 0 50.0091  -  nan  0.0333572 0.00307554 0.0140464  0.0333572 0.00307554 0.0140464  -0.402399 0.0398946 10.6952  -0.402399 0.0398946 10.6952  - - -  - - -  77.3519 68.6242 71.1219 63.5196 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.508411000  1000.62 0 50.0091  -  nan  0.0926959 -0.0283054 -0.0497386  0.0926959 -0.0283054 -0.0497386  0.284903 -0.191407 9.29571  0.284903 -0.191407 9.29571  - - -  - - -  76.1075 68.8375 70.9418 63.8083 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.513410000  1000.62 0 50.0095  -  nan  0.0199781 0.102342 -0.0175773  0.0199781 0.102342 -0.0175773  0.11208 0.0137609 8.59157  0.11208 0.0137609 8.59157  - - -  - - -  76.481 68.1084 71.3974 64.3735 - - - - 76.558 - 73.2601 63.8325 - - - - 138 146 134 70 0 0 0 0
1703174814.518405000  1000.62 0 50.0096  -  nan  0.0480488 0.0176625 0.000938711  0.0480488 0.0176625 0.000938711  -0.35578 0.0411147 10.5813  -0.35578 0.0411147 10.5813  - - -  - - -  76.8143 68.9881 70.6842 64.3967 - - - - - 69.6185 - - - - - - 138 146 134 70 0 0 0 0
1703174814.523409000  1000.62 0 50.0096  -  nan  0.0931695 0.0147109 -0.0648259  0.0931695 0.0147109 -0.0648259  0.194376 -0.192012 9.35163  0.194376 -0.192012 9.35163  - - -  - - -  76.1297 68.3932 71.0854 64.5693 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.528406000  1000.62 0 50.0096  -  nan  0.0201161 0.0728553 -0.0446904  0.0201161 0.0728553 -0.0446904  0.0687562 0.157627 8.97703  0.0687562 0.157627 8.97703  - - -  - - -  76.949 67.4496 71.5469 64.9079 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.533408000  1000.61 0 50.0092  -  nan  0.00432678 0.0740489 -0.0176477  0.00432678 0.0740489 -0.0176477  -0.307502 0.0459952 10.125  -0.307502 0.0459952 10.125  - - -  - - -  77.4191 68.0408 71.3777 64.8625 - - - - 77.3036 - 70.028 65.0533 - - - - 138 146 134 70 0 0 0 0
1703174814.538412000  1000.61 0 50.0082  -  nan  0.0489811 0.029094 -0.0683603  0.0489811 0.029094 -0.0683603  -0.0355817 -0.0986815 9.91188  -0.0355817 -0.0986815 9.91188  - - -  - - -  77.0269 68.0254 71.5126 64.7056 - - - - - 69.2137 - - - - - - 138 146 134 70 0 0 0 0
1703174814.543413000  1000.61 0 50.0082  15.705  nan  -0.00958936 0.0724488 -0.0603073  -0.00958936 0.0724488 -0.0603073  0.157751 0.0581965 8.98664  0.157751 0.0581965 8.98664  - - -  - - -  77.3967 67.3107 71.9992 64.5812 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.548413000  1000.61 0 50.0082  -  nan  -0.0534784 0.103759 0.00453798  -0.0534784 0.103759 0.00453798  -0.214353 0.0944905 10.2354  -0.214353 0.0944905 10.2354  - - -  - - -  78.0141 67.9032 71.8678 64.4636 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.553417000  1000.61 0 50.0089  -  nan  -0.0247142 0.0458163 -0.0186369  -0.0247142 0.0458163 -0.0186369  -0.267185 -0.103562 10.3669  -0.267185 -0.103562 10.3669  - - -  - - -  77.7015 68.54 71.4568 64.4283 - - - - 77.3036 - 70.6514 65.4108 - - - - 138 146 134 70 0 0 0 0
1703174814.558414000  1000.61 0 50.007  -  nan  -0.038328 0.0867617 -0.0627815  -0.038328 0.0867617 -0.0627815  0.341426 0.107297 9.04109  0.341426 0.107297 9.04109  - - -  - - -  77.5748 67.8203 72.2104 64.4229 - - - - - 68.4182 - - - - - - 138 146 134 70 0 0 0 0
1703174814.563412000  1000.61 0 50.007  -  nan  -0.141108 0.163525 0.0372154  -0.141108 0.163525 0.0372154  -0.299382 0.295177 10.0461  -0.299382 0.295177 10.0461  - - -  - - -  78.3225 68.4728 71.89 64.3733 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.568412000  1000.61 0 50.007  -  nan  -0.0396451 -0.0260405 -0.0171163  -0.0396451 -0.0260405 -0.0171163  -0.136089 -0.304248 10.5565  -0.136089 -0.304248 10.5565  - - -  - - -  77.8003 70.2271 70.7818 64.1074 - - - - - - - - - - - - 138 146 134 70 0 0 0 0
1703174814.573408000  1000.61 0 50.0069  -  nan  -0.0240843 0.0147022 -0.086451  -0.0240843 0.0147022 -0.086451  0.433837 0.107912 8.98418  0.433837 0.107912 8.98418  - - -  - - -  77.0459 68.9408 72.1827 64.1443 - - - - 79.3651 - 70.4424 64.5245 - - - - 138 146 134 70 0 0 0 0
1703174814.578420000  1000.61 0 50.0062  -  nan  -0.214628 0.179666 0.0724028  -0.214628 0.179666 0.0724028  -0.437118 0.342452 10.2689  -0.437118 0.342452 10.2689  - - -  - - -  77.9773 69.4412 71.9651 63.8888 - - - - - 69.0131 - - - - - - 138 146 134 70 0 0 0 0
