    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
 0.0050000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0100000   0.0000002   0.0000002   0.0000002   0.0000000   0.0000000   0.0000000   0.0001250   0.0001250   0.0001250   0.0000000   0.0000000   0.0000000
 0.0100000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0100000   0.0000017   0.0000017   0.0000017   0.0000000   0.0000000   0.0000000   0.0005000   0.0005000   0.0005000   0.0000000   0.0000000   0.0000000
 0.0150000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0100000   0.0000056   0.0000056   0.0000056   0.0000000   0.0000000   0.0000000   0.0011250   0.0011250   0.0011250   0.0000000   0.0000000   0.0000000
 0.0200000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0100001   0.0000133   0.0000133   0.0000133   0.0000000   0.0000000   0.0000000   0.0020000   0.0020000   0.0020000   0.0000000   0.0000000   0.0000000
 0.0250000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0100003   0.0000260   0.0000260   0.0000260   0.0000000   0.0000000   0.0000000   0.0031250   0.0031250   0.0031250   0.0000000   0.0000000   0.0000000
 0.0300000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0100005   0.0000450   0.0000450   0.0000450   0.0000000   0.0000000   0.0000000   0.0045000   0.0045000   0.0045000   0.0000000   0.0000000   0.0000000
 0.0350000  -2.5000000  -0.2999990   1.0000000   0.0000000   0.0000000  -0.0100010   0.0000715   0.0000715   0.0000715   0.0000000   0.0000000   0.0000000   0.0061250   0.0061250   0.0061250   0.0000000   0.0000000   0.0000000
 0.0400000  -2.5000000  -0.2999990   1.0000000   0.0000000   0.0000000  -0.0100017   0.0001067   0.0001067   0.0001067   0.0000000   0.0000000   0.0000000   0.0080000   0.0080000   0.0080000   0.0000000   0.0000000   0.0000000
 0.0450000  -2.5000000  -0.2999980   1.0000000   0.0000000   0.0000000  -0.0100027   0.0001519   0.0001519   0.0001519   0.0000000   0.0000000   0.0000000   0.0101250   0.0101250   0.0101250   0.0000000   0.0000000   0.0000000
 0.0500000  -2.5000000  -0.2999970   1.0000000   0.0000000   0.0000000  -0.0100042   0.0002083   0.0002083   0.0002083   0.0000000   0.0000000   0.0000000   0.0125000   0.0125000   0.0125000   0.0000000   0.0000000   0.0000000
 0.0550000  -2.5000000  -0.2999960   1.0000000   0.0000000   0.0000000  -0.0100061   0.0002773   0.0002773   0.0002773   0.0000000   0.0000000   0.0000000   0.0151250   0.0151250   0.0151250   0.0000000   0.0000000   0.0000000
