# pom logged on Wed Jan  3 14:53:02 2024
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1704289982.707534000 0 1 1 1 1 1 -2.48198 -0.293401 0.994367 0.00677112 0.00107761 -0.0315925 -0.0103335 0.0076477 0.00365952 0.00815238 -0.0757017 -0.0280157 0.0510231 0.0558273 -0.277709 2.00577e-06 2.00577e-06 1.77957e-06 5.84622e-06 5.84617e-06 7.54204e-06 8.15616e-05 8.1562e-05 6.02368e-05 8.15616e-05 8.1562e-05 6.02368e-05 0.0517774 0.0517775 0.0512037
1704289982.711524000 0 1 1 1 1 1 -2.48204 -0.293359 0.99434 0.00586413 0.00157511 -0.0311786 -0.0119748 0.00892314 -0.00195165 -0.0754561 0.00104497 0.0221233 -0.101807 0.131347 -0.600952 2.08167e-06 2.08168e-06 1.83808e-06 5.88583e-06 5.88578e-06 7.58174e-06 8.3307e-05 8.33073e-05 6.12304e-05 8.3307e-05 8.33073e-05 6.12304e-05 0.051618 0.051618 0.0510776
1704289982.716523000 0 1 1 1 1 1 -2.48202 -0.293413 0.994431 0.00583135 0.00076711 -0.0313761 -0.0137421 0.0072417 0.00945423 -0.0404073 -0.0746076 -0.00749146 -0.21305 -0.0218689 0.522269 2.05606e-06 2.05606e-06 1.81605e-06 5.88524e-06 5.88516e-06 7.58746e-06 8.31035e-05 8.3104e-05 6.10586e-05 8.31035e-05 8.3104e-05 6.10586e-05 0.0515811 0.0515811 0.0510411
1704289982.722077000 0 1 1 1 1 1 -2.48197 -0.293435 0.994444 0.00593756 0.000334099 -0.0319242 -0.0118838 0.00799033 0.00812477 -0.0212142 -0.068805 -0.0446975 -0.0159123 0.0707645 0.16281 2.03941e-06 2.03941e-06 1.80112e-06 5.90616e-06 5.9061e-06 7.61621e-06 8.34944e-05 8.34949e-05 6.13306e-05 8.34944e-05 8.34949e-05 6.13306e-05 0.0620368 0.0620369 0.0614683
1704289982.726522000 0 1 1 1 1 1 -2.48203 -0.293393 0.994412 0.00485083 0.00076872 -0.031358 -0.0124761 0.00891841 0.00100589 -0.104199 -0.00237702 0.02385 -0.0619605 0.106588 -0.414928 2.12623e-06 2.12624e-06 1.86753e-06 5.93285e-06 5.93278e-06 7.64287e-06 8.51527e-05 8.51531e-05 6.2086e-05 8.51527e-05 8.51531e-05 6.2086e-05 0.0517132 0.0517132 0.0511594
1704289982.731523000 0 1 1 1 1 1 -2.48173 -0.293609 0.994336 0.00489502 0.000173357 -0.0315968 -0.0122922 0.00706019 0.00347292 -0.0560864 -0.0619348 -0.00885722 -0.140999 0.00792623 0.00126703 1.7463e-06 1.74631e-06 1.56413e-06 5.7711e-06 5.77101e-06 7.49921e-06 7.75648e-05 7.75652e-05 5.76767e-05 7.75648e-05 7.75652e-05 5.76767e-05 0.051728 0.0517281 0.0512054
1704289982.736523000 0 1 1 1 1 1 -2.48179 -0.293563 0.99439 0.0046082 8.69365e-05 -0.031822 -0.0126622 0.00841586 0.00750129 -0.0630036 -0.0379839 -0.0208894 -0.110123 0.110893 0.29137 1.83137e-06 1.83137e-06 1.63003e-06 5.8212e-06 5.82112e-06 7.54945e-06 7.98318e-05 7.98323e-05 5.89307e-05 7.98318e-05 7.98323e-05 5.89307e-05 0.0518168 0.0518168 0.0512714
1704289982.741516000 0 1 1 1 1 1 -2.48176 -0.29358 0.994379 0.00391206 0.000166079 -0.0315142 -0.0115193 0.00834714 0.0042907 -0.091675 -0.013195 0.0145931 -0.00366417 0.0730447 -0.105294 1.82576e-06 1.82577e-06 1.6231e-06 5.82653e-06 5.82645e-06 7.5565e-06 8.01575e-05 8.0158e-05 5.90498e-05 8.01575e-05 8.0158e-05 5.90498e-05 0.051746 0.051746 0.0511894
1704289982.746516000 0 1 1 1 1 1 -2.48183 -0.293539 0.994317 0.00387015 6.6094e-05 -0.0315405 -0.0126053 0.00851497 -0.00552415 -0.0555801 -0.0133309 0.0052224 -0.0939393 0.0657939 -0.777022 1.91532e-06 1.91532e-06 1.69189e-06 5.87652e-06 5.87644e-06 7.60658e-06 8.23563e-05 8.23568e-05 6.03013e-05 8.23563e-05 8.23568e-05 6.03013e-05 0.051735 0.051735 0.0512096
1704289982.751518000 0 1 1 1 1 1 -2.48158 -0.293673 0.994303 0.00357485 -1.32196e-05 -0.0315954 -0.0128456 0.00874868 0.00652621 -0.0578095 -0.018358 -0.000714194 -0.164792 0.109286 0.522601 1.59979e-06 1.5998e-06 1.43604e-06 5.72454e-06 5.72445e-06 7.45434e-06 7.60955e-05 7.6096e-05 5.66646e-05 7.60955e-05 7.6096e-05 5.66646e-05 0.0517316 0.0517317 0.0512227
