# logged on Wed Jan  3 14:53:02 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704289982.880059000  1000.91 0 49.9914  15.512  nan  0.0183703 -0.053044 0.0286038  0.0183703 -0.053044 0.0286038  -0.280362 -0.178889 12.768  -0.280362 -0.178889 12.768  nan nan nan  nan nan nan  78.1086 68.1858 70.8716 61.3052 - - - - 78.064 67.2585 71.5001 60.584 nan nan nan nan 139 146 134 70 0 0 0 0
1704289982.885068000  1000.9 0 49.9883  -  nan  0.136283 -0.0295866 -0.0739038  0.136283 -0.0295866 -0.0739038  0.249461 -0.0312796 8.25443  0.249461 -0.0312796 8.25443  - - -  - - -  77.41 66.2726 71.2283 61.2995 - - - - 76.558 67.4491 - - - - - - 139 146 134 70 0 0 0 0
1704289982.890073000  1000.9 0 49.9883  -  nan  -0.0540335 0.120111 0.058311  -0.0540335 0.120111 0.058311  -0.154458 0.263764 8.33897  -0.154458 0.263764 8.33897  - - -  - - -  78.7416 65.9074 71.7236 61.7672 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289982.895079000  1000.9 0 49.9875  -  nan  0.0920284 -0.0260973 0.00549847  0.0920284 -0.0260973 0.00549847  -0.135995 -0.211534 11.176  -0.135995 -0.211534 11.176  - - -  - - -  78.7304 67.6523 70.6863 62.0306 - - - - - - 70.4424 - - - - - 139 146 134 70 0 0 0 0
1704289982.900100000  1000.89 0 49.9887  -  nan  0.121946 0.029304 -0.0497747  0.121946 0.029304 -0.0497747  -0.0720232 0.198186 9.82834  -0.0720232 0.198186 9.82834  - - -  - - -  78.3206 65.9854 71.0193 62.1371 - - - - - - - 61.3648 - - - - 139 146 134 70 0 0 0 0
1704289982.905068000  1000.88 0 49.9881  -  nan  -0.0254332 0.0627098 0.0487031  -0.0254332 0.0627098 0.0487031  0.111594 0.104252 9.32435  0.111594 0.104252 9.32435  - - -  - - -  78.6078 65.7064 71.0961 61.9519 - - - - 79.3651 66.8807 - - - - - - 139 146 134 70 0 0 0 0
1704289982.910077000  1000.88 0 49.9881  -  nan  0.0624685 0.017597 0.00192831  0.0624685 0.017597 0.00192831  -0.124009 -0.0925809 9.34035  -0.124009 -0.0925809 9.34035  - - -  - - -  78.8203 66.9673 70.2595 62.5461 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289982.915089000  1000.88 0 49.9883  -  nan  0.0624237 -0.012322 -0.0106134  0.0624237 -0.012322 -0.0106134  -0.357704 0.17563 11.937  -0.357704 0.17563 11.937  - - -  - - -  78.7362 66.4173 70.7474 62.6892 - - - - - - 69.6185 - - - - - 139 146 134 70 0 0 0 0
1704289982.920082000  1000.88 0 49.9884  -  nan  -0.010768 0.0027345 -0.00256002  -0.010768 0.0027345 -0.00256002  0.293237 0.056361 9.15939  0.293237 0.056361 9.15939  - - -  - - -  78.0492 66.0323 70.8099 61.343 - - - - - - - 62.4922 - - - - 139 146 134 70 0 0 0 0
1704289982.925079000  1000.88 0 49.9877  -  nan  -0.039525 0.0616907 0.0205795  -0.039525 0.0616907 0.0205795  -0.250102 0.0710025 7.7853  -0.250102 0.0710025 7.7853  - - -  - - -  79.0552 66.826 70.4338 61.8992 - - - - 79.8977 66.507 - - - - - - 139 146 134 70 0 0 0 0
1704289982.930092000  1000.87 0 49.9877  -  nan  0.033148 -0.0988762 -0.0241234  0.033148 -0.0988762 -0.0241234  -0.406072 0.216805 12.7314  -0.406072 0.216805 12.7314  - - -  - - -  78.6856 67.1677 70.9286 61.8163 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289982.935084000  1000.86 0 49.987  -  nan  -0.0393686 -0.0124397 -0.0321473  -0.0393686 -0.0124397 -0.0321473  0.339956 0.150307 9.66407  0.339956 0.150307 9.66407  - - -  - - -  77.5873 65.8933 71.5937 60.5465 - - - - - - 70.2346 - - - - - 139 146 134 70 0 0 0 0
1704289982.940127000  1000.86 0 49.9863  -  nan  -0.0979422 0.00529701 0.0457704  -0.0979422 0.00529701 0.0457704  -0.294113 0.0302273 7.04772  -0.294113 0.0302273 7.04772  - - -  - - -  78.293 66.6144 71.1431 60.3968 - - - - - - - 61.207 - - - - 139 146 134 70 0 0 0 0
1704289982.945078000  1000.86 0 49.9841  -  nan  0.0329017 -0.157159 -0.0356751  0.0329017 -0.157159 -0.0356751  -0.3109 0.22351 12.1046  -0.3109 0.22351 12.1046  - - -  - - -  78.2 67.8614 71.6995 61.2642 - - - - 78.8395 66.6933 - - - - - - 139 146 134 70 0 0 0 0
1704289982.950076000  1000.86 0 49.9841  -  nan  -0.0972863 0.00312771 -0.0084976  -0.0972863 0.00312771 -0.0084976  0.111415 0.196362 10.0005  0.111415 0.196362 10.0005  - - -  - - -  77.3079 66.4071 72.2757 60.0489 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289982.955080000  1000.85 0 49.9827  -  nan  -0.0545567 -0.024348 0.0225951  -0.0545567 -0.024348 0.0225951  -0.115256 -0.0270144 7.85265  -0.115256 -0.0270144 7.85265  - - -  - - -  77.8411 67.7267 71.3233 59.8952 - - - - - - 71.7154 - - - - - 139 146 134 70 0 0 0 0
1704289982.960080000  1000.85 0 49.9834  -  nan  -0.011216 -0.083912 -0.0131218  -0.011216 -0.083912 -0.0131218  -0.211768 0.192701 10.3406  -0.211768 0.192701 10.3406  - - -  - - -  77.7364 67.7484 72.2106 61.0607 - - - - - - - 61.0501 - - - - 139 146 134 70 0 0 0 0
1704289982.965082000  1000.84 0 49.9837  -  nan  -0.127812 0.00543276 0.0437205  -0.127812 0.00543276 0.0437205  -0.0797601 0.181115 11.4258  -0.0797601 0.181115 11.4258  - - -  - - -  77.3201 67.6547 71.917 60.1908 - - - - 77.8089 65.591 - - - - - - 139 146 134 70 0 0 0 0
1704289982.970075000  1000.84 0 49.9837  -  nan  0.0034802 -0.0703767 -0.0271632  0.0034802 -0.0703767 -0.0271632  0.158821 -0.0300594 8.13959  0.158821 -0.0300594 8.13959  - - -  - - -  77.1809 68.0032 70.9581 59.753 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704289982.975094000  1000.84 0 49.9833  -  nan  -0.0683645 0.0618217 0.0186003  -0.0683645 0.0618217 0.0186003  -0.198681 0.314084 8.27758  -0.198681 0.314084 8.27758  - - -  - - -  78.0171 67.5108 71.7224 60.8357 - - - - - - 71.7154 - - - - - 139 146 134 70 0 0 0 0
1704289982.980094000  1000.84 0 49.985  -  nan  -0.0688124 -0.0248248 0.00803855  -0.0688124 -0.0248248 0.00803855  -0.322153 0.0136672 13.1501  -0.322153 0.0136672 13.1501  - - -  - - -  78.2389 68.4536 71.035 60.3144 - - - - - - - 59.8229 - - - - 139 146 134 70 0 0 0 0
1704289982.985091000  1000.84 0 49.9868  -  nan  0.0927967 -0.0141235 -0.0502336  0.0927967 -0.0141235 -0.0502336  0.389484 -0.0251789 7.68458  0.389484 -0.0251789 7.68458  - - -  - - -  77.6638 67.0442 70.9819 59.8002 - - - - 77.3036 68.0272 - - - - - - 139 146 134 70 0 0 0 0
