# logged on Fri Jan  5 11:21:50 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704450110.193112000  1000.63 0 49.9958  16.028  nan  0.341324 -0.0452811 -0.0738785  0.341324 -0.0452811 -0.0738785  -0.0362245 -0.0538466 10.3641  -0.0362245 -0.0538466 10.3641  nan nan nan  nan nan nan  77.4269 66.2637 70.6105 65.7142 - - - - 77.5555 67.4491 70.8617 65.4108 nan nan nan nan 138 0 134 70 0 0 0 0
1704450110.198113000  1000.63 0 49.9946  -  nan  -0.0388951 0.0305766 -0.0472346  -0.0388951 0.0305766 -0.0472346  0.0217682 0.201847 9.4865  0.0217682 0.201847 9.4865  - - -  - - -  78.0431 63.8314 71.5648 66.2166 - - - - 78.8395 - 70.6514 - - - - - 138 0 134 70 0 0 0 0
1704450110.203111000  1000.63 0 49.9952  -  nan  -0.127849 -0.0234733 0.0311435  -0.127849 -0.0234733 0.0311435  0.0127589 -0.00210079 10.0751  0.0127589 -0.00210079 10.0751  - - -  - - -  78.3143 66.9128 70.7022 64.2545 - - - - - - - 68.4182 - - - - 138 0 134 70 0 0 0 0
1704450110.208123000  1000.63 0 49.9946  -  nan  0.0927967 -0.0141235 -0.0502336  0.0927967 -0.0141235 -0.0502336  -0.352916 0.139941 10.629  -0.352916 0.139941 10.629  - - -  - - -  77.6482 67.2881 70.7059 64.0711 - - - - - 64.6998 - - - - - - 138 0 134 70 0 0 0 0
1704450110.213142000  1000.63 0 49.9946  -  nan  -0.0972863 0.00312771 -0.0084976  -0.0972863 0.00312771 -0.0084976  0.10874 0.144206 10.2333  0.10874 0.144206 10.2333  - - -  - - -  77.5668 66.6091 71.3646 63.4898 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.218137000  1000.63 0 49.9952  -  nan  -0.142123 0.0206931 0.0422006  -0.142123 0.0206931 0.0422006  -0.0723966 0.104856 9.26641  -0.0723966 0.104856 9.26641  - - -  - - -  77.7511 68.0484 70.7195 62.9911 - - - - 77.5555 - 71.7154 63.3232 - - - - 138 0 134 70 0 0 0 0
1704450110.223125000  1000.63 0 49.9952  -  nan  -0.127421 -0.0103761 0.0035145  -0.127421 -0.0103761 0.0035145  -0.538821 0.1805 11.48  -0.538821 0.1805 11.48  - - -  - - -  77.5208 69.3406 70.4444 62.4836 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.228120000  1000.63 0 49.9957  -  nan  -0.0540648 -0.0259749 -0.0181058  -0.0540648 -0.0259749 -0.0181058  0.336539 0.0502604 9.73058  0.336539 0.0502604 9.73058  - - -  - - -  77.0776 69.2756 70.736 61.5142 - - - - - 66.6933 - - - - - - 138 0 134 70 0 0 0 0
1704450110.233120000  1000.62 0 49.9957  -  nan  -0.185219 0.0203474 0.0256648  -0.185219 0.0203474 0.0256648  0.0270191 0.213433 8.40236  0.0270191 0.213433 8.40236  - - -  - - -  77.3806 68.9382 70.7417 61.9973 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
1704450110.238128000  1000.62 0 49.9971  -  nan  -0.170844 -0.00963714 0.0141127  -0.170844 -0.00963714 0.0141127  -0.495062 0.0829046 11.3175  -0.495062 0.0829046 11.3175  - - -  - - -  77.5587 70.7074 70.5305 60.7839 - - - - 78.8395 - 71.5001 62.1659 - - - - 138 0 134 70 0 0 0 0
1704450110.243129000  1000.62 0 49.9971  -  nan  0.0480413 -0.0559255 -0.0382211  0.0480413 -0.0559255 -0.0382211  0.238127 -0.0562869 10.5945  0.238127 -0.0562869 10.5945  - - -  - - -  76.7758 69.8444 70.9685 60.719 - - - - - - - - - - - - 138 0 134 70 0 0 0 0
