    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
 0.0050000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0300000   0.0000002   0.0000002   0.0000002   0.0000000   0.0000000   0.0000000   0.0001250   0.0001250   0.0001250   0.0000000   0.0000000   0.0000000
 0.0100000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0300000   0.0000017   0.0000017   0.0000017   0.0000000   0.0000000   0.0000000   0.0005000   0.0005000   0.0005000   0.0000000   0.0000000   0.0000000
 0.0150000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0300000   0.0000056   0.0000056   0.0000056   0.0000000   0.0000000   0.0000000   0.0011250   0.0011250   0.0011250   0.0000000   0.0000000   0.0000000
 0.0200000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0300001   0.0000133   0.0000133   0.0000133   0.0000000   0.0000000   0.0000000   0.0020000   0.0020000   0.0020000   0.0000000   0.0000000   0.0000000
 0.0250000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0300003   0.0000260   0.0000260   0.0000260   0.0000000   0.0000000   0.0000000   0.0031250   0.0031250   0.0031250   0.0000000   0.0000000   0.0000000
 0.0300000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0300005   0.0000419   0.0000419   0.0000419   0.0000000   0.0000000   0.0000000   0.0032500   0.0032500   0.0032500   0.0000000   0.0000000   0.0000000
 0.0350000  -2.5000000  -0.2999990   1.0000000   0.0000000   0.0000000  -0.0300009   0.0000590   0.0000590   0.0000590   0.0000000   0.0000000   0.0000000   0.0036250   0.0036250   0.0036250   0.0000000   0.0000000   0.0000000
 0.0400000  -2.5000000  -0.2999990   1.0000000   0.0000000   0.0000000  -0.0300015   0.0000785   0.0000785   0.0000785   0.0000000   0.0000000   0.0000000   0.0042500   0.0042500   0.0042500   0.0000000   0.0000000   0.0000000
 0.0450000  -2.5000000  -0.2999990   1.0000000   0.0000000   0.0000000  -0.0300022   0.0001019   0.0001019   0.0001019   0.0000000   0.0000000   0.0000000   0.0051250   0.0051250   0.0051250   0.0000000   0.0000000   0.0000000
 0.0500000  -2.5000000  -0.2999980   1.0000000   0.0000000   0.0000000  -0.0300031   0.0001302   0.0001302   0.0001302   0.0000000   0.0000000   0.0000000   0.0062500   0.0062500   0.0062500   0.0000000   0.0000000   0.0000000
 0.0550000  -2.5000000  -0.2999970   1.0000000   0.0000000   0.0000000  -0.0300043   0.0001648   0.0001648   0.0001648   0.0000000   0.0000000   0.0000000   0.0076250   0.0076250   0.0076250   0.0000000   0.0000000   0.0000000
 0.0600000  -2.5000000  -0.2999960   1.0000000   0.0000000   0.0000000  -0.0300058   0.0002069   0.0002069   0.0002069   0.0000000   0.0000000   0.0000000   0.0092500   0.0092500   0.0092500   0.0000000   0.0000000   0.0000000
 0.0650000  -2.5000000  -0.2999950   1.0000000   0.0000000   0.0000000  -0.0300076   0.0002577   0.0002577   0.0002577   0.0000000   0.0000000   0.0000000   0.0111250   0.0111250   0.0111250   0.0000000   0.0000000   0.0000000
 0.0700000  -2.4999900  -0.2999940   1.0000100   0.0000000   0.0000000  -0.0300099   0.0003185   0.0003185   0.0003185   0.0000000   0.0000000   0.0000000   0.0132500   0.0132500   0.0132500   0.0000000   0.0000000   0.0000000
 0.0750000  -2.4999900  -0.2999920   1.0000100   0.0000000   0.0000000  -0.0300128   0.0003906   0.0003906   0.0003906   0.0000000   0.0000000   0.0000000   0.0156250   0.0156250   0.0156250   0.0000000   0.0000000   0.0000000
 0.0800000  -2.4999900  -0.2999900   1.0000100   0.0000000   0.0000000  -0.0300162   0.0004752   0.0004752   0.0004752   0.0000000   0.0000000   0.0000000   0.0182500   0.0182500   0.0182500   0.0000000   0.0000000   0.0000000
 0.0850000  -2.4999900  -0.2999870   1.0000100   0.0000000   0.0000000  -0.0300204   0.0005735   0.0005735   0.0005735   0.0000000   0.0000000   0.0000000   0.0211250   0.0211250   0.0211250   0.0000000   0.0000000   0.0000000
 0.0900000  -2.4999800  -0.2999840   1.0000200   0.0000000   0.0000000  -0.0300254   0.0006869   0.0006869   0.0006869   0.0000000   0.0000000   0.0000000   0.0242500   0.0242500   0.0242500   0.0000000   0.0000000   0.0000000
 0.0950000  -2.4999800  -0.2999800   1.0000200   0.0000000   0.0000000  -0.0300314   0.0008165   0.0008165   0.0008165   0.0000000   0.0000000   0.0000000   0.0276250   0.0276250   0.0276250   0.0000000   0.0000000   0.0000000
 0.1000000  -2.4999800  -0.2999760   1.0000200   0.0000000   0.0000000  -0.0300384   0.0009635   0.0009635   0.0009635   0.0000000   0.0000000   0.0000000   0.0312500   0.0312500   0.0312500   0.0000000   0.0000000   0.0000000
 0.1050000  -2.4999700  -0.2999710   1.0000300   0.0000000   0.0000000  -0.0300466   0.0011294   0.0011294   0.0011294   0.0000000   0.0000000   0.0000000   0.0351250   0.0351250   0.0351250   0.0000000   0.0000000   0.0000000
