# logged on Fri Jan  5 14:24:50 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704461090.664129000  1001.39 0 50.0107  16.028  nan  0.167432 0.0541737 -0.130096  0.167432 0.0541737 -0.130096  0.145729 -0.151453 10.2036  0.145729 -0.151453 10.2036  nan nan nan  nan nan nan  76.7215 67.3683 69.3652 65.203 - - - - 78.064 70.2346 70.028 63.3232 nan nan nan nan 139 0 134 70 0 0 0 0
1704461090.669167000  1001.39 0 50.0107  -  nan  0.0922492 0.0758157 0.0426993  0.0922492 0.0758157 0.0426993  0.065182 0.0119254 8.76299  0.065182 0.0119254 8.76299  - - -  - - -  78.017 65.4387 70.3733 64.2478 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.674149000  1001.39 0 50.0095  -  nan  0.0472474 -0.0242691 0.04316  0.0472474 -0.0242691 0.04316  -0.166529 0.190876 10.5117  -0.166529 0.190876 10.5117  - - -  - - -  77.7645 66.7249 69.6792 64.9137 - - - - - 67.0691 - 64.5245 - - - - 139 0 134 70 0 0 0 0
1704461090.681192000  1001.39 0 50.0075  -  nan  0.0339495 -0.0569446 -0.0663447  0.0339495 -0.0569446 -0.0663447  0.00753066 -0.151453 10.2026  0.00753066 -0.151453 10.2026  - - -  - - -  76.923 67.1479 69.747 64.5398 - - - - 78.8395 - 70.2346 - - - - - 139 0 134 70 0 0 0 0
1704461090.686141000  1001.39 0 50.0075  -  nan  0.0335028 0.0471764 0.0260931  0.0335028 0.0471764 0.0260931  0.207872 0.113397 8.46923  0.207872 0.113397 8.46923  - - -  - - -  76.8959 66.4672 70.755 63.5644 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.691138000  1001.39 0 50.0077  -  nan  -0.0399913 0.0196874 0.0356314  -0.0399913 0.0196874 0.0356314  -0.446523 0.18294 11.2523  -0.446523 0.18294 11.2523  - - -  - - -  77.2874 67.8377 70.1347 63.7375 - - - - - - - 64.0041 - - - - 139 0 134 70 0 0 0 0
1704461090.696114000  1001.39 0 50.0054  -  nan  -0.01075 -0.114484 -0.0673689  -0.01075 -0.114484 -0.0673689  -0.0365033 -0.054462 10.4217  -0.0365033 -0.054462 10.4217  - - -  - - -  76.3162 68.6409 69.8358 63.1474 - - - - 77.8089 66.1376 - - - - - - 139 0 134 70 0 0 0 0
1704461090.701134000  1001.39 0 50.0054  -  nan  -0.0247401 0.0168715 -0.032183  -0.0247401 0.0168715 -0.032183  0.345481 0.162497 8.52334  0.345481 0.162497 8.52334  - - -  - - -  76.0628 67.7216 71.0971 62.555 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704461090.706121000  1001.39 0 50.0019  -  nan  -0.098326 0.0221188 0.085941  -0.098326 0.0221188 0.085941  -0.395759 0.193306 10.2827  -0.395759 0.193306 10.2827  - - -  - - -  76.9527 68.283 70.735 62.4381 - - - - - - 70.2346 - - - - - 139 0 134 70 0 0 0 0
1704461090.711132000  1001.39 0 50.0037  -  nan  -0.0399805 -0.0985438 -0.0291421  -0.0399805 -0.0985438 -0.0291421  -0.0802007 -0.00392568 10.2452  -0.0802007 -0.00392568 10.2452  - - -  - - -  76.0152 69.6018 70.03 62.2901 - - - - - - - 63.8325 - - - - 139 0 134 70 0 0 0 0
1704461090.716113000  1001.39 0 50.0041  -  nan  -0.0534788 0.0311844 -0.0346572  -0.0534788 0.0311844 -0.0346572  0.162822 0.161892 8.5786  0.162822 0.161892 8.5786  - - -  - - -  75.9345 68.6092 71.045 61.8684 - - - - 77.5555 70.028 - - - - - - 139 0 134 70 0 0 0 0
1704461090.721129000  1001.39 0 50.0017  -  nan  -0.0978973 0.035216 0.0583121  -0.0978973 0.035216 0.0583121  -0.121115 0.0969308 10.0077  -0.121115 0.0969308 10.0077  - - -  - - -  76.9242 68.8045 70.805 61.7405 - - - - - - 70.6514 - - - - - 139 0 134 70 0 0 0 0
