# pom logged on Fri Jan  5 14:43:08 2024
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1704462188.754005000 0 1 1 1 1 1 -2.47814 -0.294172 0.985181 -0.00208208 0.00243701 -0.0244685 -0.0127502 0.0114905 0.0021768 -0.0186933 0.0665483 0.0147854 -0.153425 0.101325 0.01113 1.13902e-06 1.13903e-06 1.04887e-06 5.65585e-06 5.65565e-06 6.85271e-06 7.43764e-05 7.4377e-05 6.16123e-05 7.43764e-05 7.4377e-05 6.16123e-05 0.101887 0.101887 0.101403
1704462188.758050000 0 1 1 1 1 1 -2.47818 -0.294137 0.985259 -0.00135032 0.00200525 -0.0255081 -0.0117694 0.0104188 0.0101023 0.0453432 0.0123298 -0.07336 -0.0224758 -0.00724518 0.548814 1.19232e-06 1.19233e-06 1.09344e-06 5.63147e-06 5.63126e-06 6.82867e-06 7.48146e-05 7.48154e-05 6.13703e-05 7.48146e-05 7.48154e-05 6.13703e-05 0.0831463 0.0831463 0.0826193
1704462188.763051000 0 1 1 1 1 1 -2.47803 -0.294159 0.985185 -0.00156504 0.00303141 -0.0251757 -0.00830231 0.011097 -0.00521715 0.0170209 0.101419 -0.00663774 0.155405 0.0726154 -0.759804 1.13328e-06 1.13329e-06 1.04235e-06 5.536e-06 5.53576e-06 6.72093e-06 7.2398e-05 7.23986e-05 5.93723e-05 7.2398e-05 7.23986e-05 5.93723e-05 0.0594779 0.059478 0.0589721
1704462188.768004000 0 1 1 1 1 1 -2.47801 -0.294149 0.985226 -0.00173004 0.00348946 -0.0246175 -0.0103861 0.0115847 -0.00181007 0.00246936 0.09857 0.0391492 -0.0678462 0.093335 -0.253574 1.12692e-06 1.12693e-06 1.03622e-06 5.60893e-06 5.60869e-06 6.78772e-06 7.38713e-05 7.38717e-05 6.08281e-05 7.38713e-05 7.38717e-05 6.08281e-05 0.0908355 0.0908355 0.0903527
1704462188.773048000 0 1 1 1 1 1 -2.47807 -0.294106 0.985292 -0.000781855 0.00262882 -0.0252407 -0.0104369 0.00991008 0.00516663 0.076389 -0.00641307 -0.0288038 -0.0240305 -0.0580813 0.268273 1.19413e-06 1.19413e-06 1.09229e-06 5.62613e-06 5.62591e-06 6.80514e-06 7.53382e-05 7.53387e-05 6.14719e-05 7.53382e-05 7.53387e-05 6.14719e-05 0.0799219 0.079922 0.0794047
1704462188.778055000 0 1 1 1 1 1 -2.47764 -0.29425 0.985314 -0.00082107 0.0036458 -0.025189 -0.00651021 0.0104073 -0.0062831 0.0507475 0.0919581 0.000393454 0.090618 0.0678932 -0.72273 9.51945e-07 9.5195e-07 8.84268e-07 5.36248e-06 5.36225e-06 6.50268e-06 6.75963e-05 6.75967e-05 5.59734e-05 6.75963e-05 6.75967e-05 5.59734e-05 0.0588708 0.0588708 0.05839
1704462188.783541000 0 1 1 1 1 1 -2.4775 -0.294307 0.985376 -0.00100293 0.00324855 -0.0245876 -0.00881197 0.0102315 0.00188323 0.0264353 0.0281192 0.0522847 -0.172921 0.0594991 0.196507 8.32979e-07 8.32983e-07 7.79312e-07 5.22146e-06 5.22126e-06 6.32203e-06 6.41844e-05 6.41847e-05 5.36053e-05 6.41844e-05 6.41847e-05 5.36053e-05 0.0646077 0.0646077 0.0641533
1704462188.788025000 0 1 1 1 1 1 -2.47753 -0.294267 0.985393 -0.000458945 0.00296252 -0.0250007 -0.00850762 0.00970895 0.00335961 0.0610316 -0.00477625 -0.00237436 -0.0863724 -0.000251793 0.226424 8.7904e-07 8.79043e-07 8.18537e-07 5.38278e-06 5.38259e-06 6.48344e-06 6.823e-05 6.82303e-05 5.70295e-05 6.823e-05 6.82303e-05 5.70295e-05 0.0990031 0.0990031 0.0985318
1704462188.793078000 0 1 1 1 1 1 -2.47751 -0.294233 0.98535 -0.000278064 0.00340247 -0.0253163 -0.00692584 0.0104181 -0.00391507 0.050591 0.0380768 -0.0170822 0.0317539 0.0639723 -0.396184 8.93154e-07 8.93157e-07 8.29681e-07 5.3807e-06 5.3805e-06 6.47275e-06 6.89982e-05 6.89985e-05 5.75e-05 6.89982e-05 6.89985e-05 5.75e-05 0.0923292 0.0923293 0.0918495
1704462188.798207000 0 1 1 1 1 1 -2.47756 -0.294176 0.985393 -0.000315527 0.00263525 -0.0247591 -0.00902264 0.0109624 0.00277351 0.0331065 -0.0454551 0.0273641 -0.139806 0.0718202 0.34641 9.50422e-07 9.50425e-07 8.78034e-07 5.34299e-06 5.34282e-06 6.43516e-06 6.92623e-05 6.92625e-05 5.70485e-05 6.92623e-05 6.92625e-05 5.70485e-05 0.0482572 0.0482572 0.0477719
