# logged on Fri Jan  5 14:43:08 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704462188.819320000  1000.13 0 50.0025  15.931  nan  0.0620058 -0.14365 -0.0477579  0.0620058 -0.14365 -0.0477579  0.152343 0.000954829 9.79021  0.152343 0.000954829 9.79021  nan nan nan  nan nan nan  76.5577 68.7142 70.0556 63.1914 - - - - 77.5555 69.0131 67.8334 62.822 nan nan nan nan 139 146 133 71 0 0 0 0
1704462188.824323000  1000.13 0 50.0033  -  nan  -0.0113799 -0.0833696 0.000445203  -0.0113799 -0.0833696 0.000445203  0.256136 0.212828 8.46063  0.256136 0.212828 8.46063  - - -  - - -  76.5874 68.1023 70.915 63.2692 - - - - 76.558 - - - - - - - 139 146 133 71 0 0 0 0
1704462188.829324000  1000.13 0 50.0034  -  nan  -0.0263923 -0.095859 0.0406516  -0.0263923 -0.095859 0.0406516  -0.542301 -0.0112464 10.9269  -0.542301 -0.0112464 10.9269  - - -  - - -  76.94 68.9503 70.5253 63.5273 - - - - - 68.4182 70.028 64.0041 - - - - 139 146 133 71 0 0 0 0
1704462188.834326000  1000.12 0 50.0034  -  nan  0.0619051 -0.157832 -0.0472629  0.0619051 -0.157832 -0.0472629  0.0545186 -0.195672 9.69314  0.0545186 -0.195672 9.69314  - - -  - - -  76.583 69.5918 69.7178 63.4609 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.839317000  1000.12 0 50.0034  -  nan  -0.0253517 0.00334236 0.0100174  -0.0253517 0.00334236 0.0100174  0.168545 0.359534 8.67491  0.168545 0.359534 8.67491  - - -  - - -  76.1185 68.2695 70.8667 63.4354 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.844347000  1000.11 0 50.003  -  nan  -0.0844547 -0.00620002 0.116059  -0.0844547 -0.00620002 0.116059  -0.495956 -0.0106311 10.8696  -0.495956 -0.0106311 10.8696  - - -  - - -  76.9659 69.8269 69.253 63.6266 - - - - 77.3036 - - - - - - - 139 146 133 71 0 0 0 0
1704462188.849336000  1000.11 0 50.0059  -  nan  0.135343 -0.114606 -0.0437646  0.135343 -0.114606 -0.0437646  -0.0814683 -0.190792 9.23544  -0.0814683 -0.190792 9.23544  - - -  - - -  75.691 70.3869 68.6342 63.8185 - - - - - 67.2585 70.8617 62.004 - - - - 139 146 133 71 0 0 0 0
1704462188.854349000  1000.1 0 50.0059  -  nan  -0.00999215 0.0882963 -0.0191322  -0.00999215 0.0882963 -0.0191322  0.21083 0.304938 9.1364  0.21083 0.304938 9.1364  - - -  - - -  76.4241 68.5118 70.1559 63.7945 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.859328000  1000.1 0 50.0059  -  nan  -0.0554065 0.0230456 0.117013  -0.0554065 0.0230456 0.117013  -0.360976 -0.107222 10.7087  -0.360976 -0.107222 10.7087  - - -  - - -  77.5975 69.1219 69.1606 63.5514 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.864338000  1000.1 0 50.0059  -  nan  0.151269 -0.0460421 -0.127656  0.151269 -0.0460421 -0.127656  0.10455 -0.0944164 9.51378  0.10455 -0.0944164 9.51378  - - -  - - -  76.0952 70.4729 67.6979 64.1031 - - - - - - - - - - - - 139 146 133 71 0 0 0 0
1704462188.869341000  1000.1 0 50.0042  -  nan  0.0780221 0.0573267 -0.0673711  0.0780221 0.0573267 -0.0673711  0.294995 0.152747 9.43539  0.294995 0.152747 9.43539  - - -  - - -  77.4229 67.7282 69.6027 63.7276 - - - - 76.8049 70.6514 70.4424 64.8761 - - - - 139 146 133 71 0 0 0 0
