# logged on Fri Jan  5 15:25:07 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704464707.720108000  1000.15 0 49.9868  16.06  nan  -0.0108495 0.0621019 0.0361257  -0.0108495 0.0621019 0.0361257  0.340873 0.106076 9.15526  0.340873 0.106076 9.15526  nan nan nan  nan nan nan  77.0308 67.4748 70.5361 62.3466 - - - - 78.064 68.4182 70.2346 61.0501 nan nan nan nan 139 146 0 71 0 0 0 0
1704464707.725114000  1000.15 0 49.9881  -  nan  -0.0393866 0.104779 0.0326616  -0.0393866 0.104779 0.0326616  -0.166628 0.0981509 9.89319  -0.166628 0.0981509 9.89319  - - -  - - -  77.8559 68.1289 69.4779 62.4669 - - - - - 67.6407 - - - - - - 139 146 0 71 0 0 0 0
1704464707.730110000  1000.15 0 49.9892  -  nan  0.0628897 -0.0428938 -0.0648605  0.0628897 -0.0428938 -0.0648605  -0.0849658 -0.106002 10.5966  -0.0849658 -0.106002 10.5966  - - -  - - -  77.6018 67.8709 69.5665 62.365 - - - - 76.8049 - - 62.1659 - - - - 139 146 0 71 0 0 0 0
1704464707.735102000  1000.16 0 49.9892  -  nan  0.00496876 0.115471 -0.0472357  0.00496876 0.115471 -0.0472357  0.341889 0.154572 9.26497  0.341889 0.154572 9.26497  - - -  - - -  78.0433 66.201 70.6494 61.9039 - - - - - - 71.5001 - - - - - 139 146 0 71 0 0 0 0
1704464707.740110000  1000.16 0 49.9892  -  nan  -0.0401808 0.06386 0.0748475  -0.0401808 0.06386 0.0748475  -0.306675 0.0478201 9.95423  -0.306675 0.0478201 9.95423  - - -  - - -  78.6593 67.1365 69.721 62.0104 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.745113000  1000.16 0 49.9913  -  nan  0.0191646 -0.0121254 -0.0135822  0.0191646 -0.0121254 -0.0135822  -0.176711 -0.107222 10.7101  -0.176711 -0.107222 10.7101  - - -  - - -  77.5051 67.3053 69.652 62.1452 - - - - - 66.1376 - - - - - - 139 146 0 71 0 0 0 0
1704464707.750112000  1000.16 0 49.9922  -  nan  0.00430088 0.0451041 -0.0311938  0.00430088 0.0451041 -0.0311938  0.15914 0.200022 9.65827  0.15914 0.200022 9.65827  - - -  - - -  77.954 66.2632 70.2824 61.9548 - - - - 78.5793 - - 62.4922 - - - - 139 146 0 71 0 0 0 0
1704464707.755101000  1000.16 0 49.9929  -  nan  -0.0548653 0.050286 0.0879199  -0.0548653 0.050286 0.0879199  0.0205678 0.106692 9.09533  0.0205678 0.106692 9.09533  - - -  - - -  78.0709 67.2244 69.6761 62.04 - - - - - - 69.0131 - - - - - 139 146 0 71 0 0 0 0
1704464707.760111000  1000.16 0 49.9929  -  nan  0.0482128 0.0171202 -0.0126283  0.0482128 0.0171202 -0.0126283  -0.264789 -0.0520217 10.1917  -0.264789 -0.0520217 10.1917  - - -  - - -  77.5972 68.0536 69.4047 62.3408 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1704464707.765111000  1000.17 0 49.9957  -  nan  0.0337855 -0.0564023 -0.0527777  0.0337855 -0.0564023 -0.0527777  -0.0768204 0.0950953 10.1798  -0.0768204 0.0950953 10.1798  - - -  - - -  77.592 66.7636 70.258 62.256 - - - - - 67.6407 - - - - - - 139 146 0 71 0 0 0 0
1704464707.770115000  1000.17 0 49.9956  -  nan  -0.0544111 0.0197529 0.0346418  -0.0544111 0.0197529 0.0346418  0.250323 0.0612415 8.70237  0.250323 0.0612415 8.70237  - - -  - - -  77.349 66.9407 70.3993 61.8978 - - - - 79.1014 - - 62.4922 - - - - 139 146 0 71 0 0 0 0
