# logged on Fri Jan  5 15:41:41 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704465701.125501000  1000.03 0 49.9888  15.899  nan  0.0333388 0.0477188 0.0396601  0.0333388 0.0477188 0.0396601  0.198068 -0.0913607 9.22853  0.198068 -0.0913607 9.22853  nan nan nan  nan nan nan  77.0231 66.8084 69.0674 64.5005 - - - - 75.1089 66.1376 69.6185 64.0041 nan nan nan nan 138 146 133 70 0 0 0 0
1704465701.130511000  1000.03 0 49.9889  -  nan  0.0632113 0.073201 -0.0281547  0.0632113 0.073201 -0.0281547  -0.531543 0.150307 9.6577  -0.531543 0.150307 9.6577  - - -  - - -  77.7387 67.2412 68.4742 64.7278 - - - - 78.5793 - - 64.5245 - - - - 138 146 133 70 0 0 0 0
1704465701.135519000  1000.03 0 49.987  -  nan  0.0476685 -0.0847599 -0.0236288  0.0476685 -0.0847599 -0.0236288  0.0498254 -0.067268 11.6207  0.0498254 -0.067268 11.6207  - - -  - - -  77.1413 66.8373 69.099 64.4106 - - - - - - 69.0131 - - - - - 138 146 133 70 0 0 0 0
1704465701.140564000  1000.02 0 49.987  -  nan  0.00399887 0.0751336 0.00948632  0.00399887 0.0751336 0.00948632  0.345296 0.115837 8.24188  0.345296 0.115837 8.24188  - - -  - - -  76.7565 66.5909 69.5353 64.0175 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.145539000  1000.02 0 49.9863  -  nan  -0.0693858 0.0361696 0.0874252  -0.0693858 0.0361696 0.0874252  -0.86044 0.0877851 10.8581  -0.86044 0.0877851 10.8581  - - -  - - -  77.493 67.5062 68.5896 64.1695 - - - - - 65.7722 - - - - - - 138 146 133 70 0 0 0 0
1704465701.150548000  1000.03 0 49.987  -  nan  0.0187722 -0.187084 -0.0763758  0.0187722 -0.187084 -0.0763758  0.0979193 -0.109047 10.8829  0.0979193 -0.109047 10.8829  - - -  - - -  75.263 68.0527 69.0076 63.501 - - - - 77.3036 - - 64.0041 - - - - 138 146 133 70 0 0 0 0
1704465701.155538000  1000.04 0 49.9843  -  nan  -0.0672682 0.0727109 -0.0642657  -0.0672682 0.0727109 -0.0642657  0.303474 0.217708 8.00427  0.303474 0.217708 8.00427  - - -  - - -  76.3999 66.2936 70.7309 62.5372 - - - - - - 68.4182 - - - - - 138 146 133 70 0 0 0 0
1704465701.160537000  1000.05 0 49.9843  -  nan  -0.157684 -0.0200495 0.111535  -0.157684 -0.0200495 0.111535  -0.904663 0.138105 10.7967  -0.904663 0.138105 10.7967  - - -  - - -  77.6557 68.6704 68.9786 62.0823 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.165536000  1000.06 0 49.9849  -  nan  0.0189031 -0.217584 -0.103453  0.0189031 -0.217584 -0.103453  0.190605 -0.107827 10.7694  0.190605 -0.107827 10.7694  - - -  - - -  75.0808 69.7182 69.2863 61.8272 - - - - - 66.6933 - - - - - - 138 146 133 70 0 0 0 0
1704465701.170537000  1000.06 0 49.9864  -  nan  -0.125712 0.0866172 -0.0823567  -0.125712 0.0866172 -0.0823567  0.217003 0.272304 7.54246  0.217003 0.272304 7.54246  - - -  - - -  76.3538 67.0229 71.5595 60.9792 - - - - - - - 62.6566 - - - - 138 146 133 70 0 0 0 0
1704465701.175542000  1000.05 0 49.9842  -  nan  -0.23179 -0.0610677 0.163274  -0.23179 -0.0610677 0.163274  -0.81356 0.18416 11.1354  -0.81356 0.18416 11.1354  - - -  - - -  77.5887 69.1246 70.1556 60.5886 - - - - 75.1089 - 70.028 - - - - - 138 146 133 70 0 0 0 0
1704465701.180537000  1000.04 0 49.9842  -  nan  0.019231 -0.218669 -0.130587  0.019231 -0.218669 -0.130587  0.190416 -0.154498 10.4889  0.190416 -0.154498 10.4889  - - -  - - -  74.2261 70.8836 69.7462 61.1967 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.185545000  1000.04 0 49.9858  -  nan  -0.096712 0.0603258 -0.0240799  -0.096712 0.0603258 -0.0240799  0.347593 0.0746523 7.44814  0.347593 0.0746523 7.44814  - - -  - - -  75.9686 67.7867 71.9318 60.1649 - - - - - 68.0272 - - - - - - 138 146 133 70 0 0 0 0
1704465701.190538000  1000.03 0 49.9856  -  nan  -0.144197 -0.0315466 0.181824  -0.144197 -0.0315466 0.181824  -0.627357 0.188436 10.7367  -0.627357 0.188436 10.7367  - - -  - - -  76.5661 70.2776 70.1452 60.8087 - - - - - - 69.8227 59.5238 - - - - 138 146 133 70 0 0 0 0
1704465701.195524000  1000.03 0 49.984  -  nan  0.0481529 -0.159975 -0.10349  0.0481529 -0.159975 -0.10349  0.0492678 -0.207258 10.7773  0.0492678 -0.207258 10.7773  - - -  - - -  74.1909 70.9181 69.7377 61.7003 - - - - 76.558 - - - - - - - 138 146 133 70 0 0 0 0
1704465701.200549000  1000.03 0 49.984  -  nan  0.0484144 0.0454839 -0.0136182  0.0484144 0.0454839 -0.0136182  0.34028 -0.12461 7.69317  0.34028 -0.12461 7.69317  - - -  - - -  75.7584 67.7201 71.5015 61.2191 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.205544000  1000.03 0 49.9846  -  nan  -0.0123113 0.0233913 0.133549  -0.0123113 0.0233913 0.133549  -0.392068 0.293957 10.1596  -0.392068 0.293957 10.1596  - - -  - - -  76.4231 69.0363 70.2912 62.7265 - - - - - 68.8137 - - - - - - 138 146 133 70 0 0 0 0
1704465701.210545000  1000.02 0 49.9862  -  nan  0.121062 -0.0714527 -0.0326721  0.121062 -0.0714527 -0.0326721  -0.184736 -0.263689 11.4085  -0.184736 -0.263689 11.4085  - - -  - - -  74.768 69.9839 69.0328 63.6014 - - - - - - - 61.3648 - - - - 138 146 133 70 0 0 0 0
1704465701.215539000  1000.02 0 49.984  -  nan  0.151113 0.0280883 -0.0749294  0.151113 0.0280883 -0.0749294  0.430843 -0.174325 7.69831  0.430843 -0.174325 7.69831  - - -  - - -  75.4716 67.1841 70.5927 63.5868 - - - - 75.3466 - 70.4424 - - - - - 138 146 133 70 0 0 0 0
1704465701.220550000  1000.03 0 49.984  -  nan  0.0476698 0.106008 0.0793708  0.0476698 0.106008 0.0793708  -0.345723 0.294572 10.1023  -0.345723 0.294572 10.1023  - - -  - - -  77.2078 66.9423 70.5148 64.4987 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1704465701.225545000  1000.04 0 49.9856  -  nan  0.106347 -0.0403447 0.00698305  0.106347 -0.0403447 0.00698305  -0.331476 -0.420351 12.219  -0.331476 -0.420351 12.219  - - -  - - -  76.0568 68.3578 68.8451 64.3521 - - - - - 69.0131 - - - - - - 138 146 133 70 0 0 0 0
1704465701.230553000  1000.05 0 49.986  -  nan  0.240799 0.0385361 -0.152686  0.240799 0.0385361 -0.152686  0.572355 -0.167015 7.01528  0.572355 -0.167015 7.01528  - - -  - - -  75.8521 65.4427 70.5554 64.47 - - - - - - - 64.6998 - - - - 138 146 133 70 0 0 0 0
1704465701.235539000  1000.06 0 49.9839  -  nan  0.0483073 0.148482 0.0507165  0.0483073 0.148482 0.0507165  -0.436408 0.389328 10.4353  -0.436408 0.389328 10.4353  - - -  - - -  78.1422 64.1915 71.3267 64.8182 - - - - 74.638 - 69.4155 - - - - - 138 146 133 70 0 0 0 0
1704465701.240548000  1000.07 0 49.9839  -  nan  0.14907 -0.0688334 0.0381111  0.14907 -0.0688334 0.0381111  -0.237897 -0.325595 12.5534  -0.237897 -0.325595 12.5534  - - -  - - -  76.4907 67.2351 68.8134 64.7763 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
