# logged on Fri Jan  5 16:00:36 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704466836.184550000  1000.86 0 49.9977  16.06  nan  -0.112007 0.151415 0.0949973  -0.112007 0.151415 0.0949973  -0.252763 0.296397 9.93224  -0.252763 0.296397 9.93224  nan nan nan  nan nan nan  78.2266 66.6781 70.6384 64.6648 - - - - 77.8089 67.4491 69.0131 64.1766 nan nan nan nan 138 146 0 70 0 0 0 0
1704466836.189546000  1000.85 0 49.9981  -  nan  -0.0119909 -0.0512813 0.0672549  -0.0119909 -0.0512813 0.0672549  -0.464173 -0.270395 12.0339  -0.464173 -0.270395 12.0339  - - -  - - -  77.6996 69.4312 68.6021 63.9663 - - - - 76.8049 - - 65.4108 - - - - 138 146 0 70 0 0 0 0
1704466836.194566000  1000.85 0 49.9981  -  nan  0.1376 0.0106405 -0.158764  0.1376 0.0106405 -0.158764  0.570432 -0.0324997 8.37095  0.570432 -0.0324997 8.37095  - - -  - - -  76.3896 68.0629 70.3543 64.0834 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.199554000  1000.85 0 49.9981  -  nan  -0.111302 0.178113 0.0523373  -0.111302 0.178113 0.0523373  -0.064394 0.399089 9.52464  -0.064394 0.399089 9.52464  - - -  - - -  79.2739 66.8549 70.3001 63.6439 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.206583000  1000.86 0 50.0007  -  nan  0.0768359 -0.0859756 -0.0487836  0.0768359 -0.0859756 -0.0487836  0.0484359 -0.209093 10.949  0.0484359 -0.209093 10.949  - - -  - - -  79.0107 69.3485 68.456 63.584 - - - - 77.5555 69.0131 70.8617 63.4921 - - - - 138 146 0 70 0 0 0 0
1704466836.211562000  1000.87 0 50.0007  -  nan  0.0056694 0.143221 -0.088962  0.0056694 0.143221 -0.088962  0.39616 0.218929 7.89077  0.39616 0.218929 7.89077  - - -  - - -  78.1497 66.9389 70.964 63.4167 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.216555000  1000.88 0 50.0007  -  nan  -0.143913 0.0556422 0.205953  -0.143913 0.0556422 0.205953  -0.450214 0.0822893 11.3754  -0.450214 0.0822893 11.3754  - - -  - - -  79.3732 69.1164 68.9667 63.0938 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.221561000  1000.88 0 50.0007  -  nan  0.00385292 -0.0415423 -0.0417555  0.00385292 -0.0415423 -0.0417555  0.00799382 -0.104177 10.4265  0.00799382 -0.104177 10.4265  - - -  - - -  77.05 71.5168 67.6977 63.3488 - - - - - 68.2221 - - - - - - 138 146 0 70 0 0 0 0
1704466836.226644000  1000.89 0 50.0039  -  nan  -0.024337 0.0735989 -0.0341629  -0.024337 0.0735989 -0.0341629  0.0680141 0.109737 8.81074  0.0680141 0.109737 8.81074  - - -  - - -  77.5371 69.4536 69.3407 63.1256 - - - - 78.8395 - 70.028 63.6618 - - - - 138 146 0 70 0 0 0 0
1704466836.231557000  1000.9 0 50.0039  -  nan  -0.113962 -0.00386091 0.169317  -0.113962 -0.00386091 0.169317  -0.121757 0.141766 10.4599  -0.121757 0.141766 10.4599  - - -  - - -  78.0875 69.8719 69.0544 62.9647 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.236553000  1000.9 0 50.0039  -  nan  -0.0104961 0.017387 -0.0166574  -0.0104961 0.017387 -0.0166574  -0.216632 -0.00210079 10.0735  -0.216632 -0.00210079 10.0735  - - -  - - -  76.6456 71.7548 67.8676 63.4764 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1704466836.241554000  1000.91 0 50.0039  -  nan  0.00401688 -0.0420847 -0.0553225  0.00401688 -0.0420847 -0.0553225  -0.0322014 0.000339461 9.84645  -0.0322014 0.000339461 9.84645  - - -  - - -  77.3993 70.1545 69.2405 62.9728 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
