# logged on Fri Jan  5 16:14:48 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704467688.668481000  1000.68 0 49.9971  16.06  nan  -0.0564844 -0.0324868 0.174265  -0.0564844 -0.0324868 0.174265  -0.219793 0.0362342 11.039  -0.219793 0.0362342 11.039  nan nan nan  nan nan nan  78.7659 66.2672 69.8526 65.3842 - - - - 78.8395 65.9544 67.8334 64.5245 nan nan nan nan 139 0 134 70 0 0 0 0
1704467688.673543000  1000.68 0 49.9983  -  nan  0.0777757 -0.000956079 -0.0789228  0.0777757 -0.000956079 -0.0789228  -0.123825 -0.0459211 9.62181  -0.123825 -0.0459211 9.62181  - - -  - - -  76.4087 68.6887 68.4039 65.5245 - - - - 79.1014 - 69.0131 - - - - - 139 0 134 70 0 0 0 0
1704467688.678509000  1000.68 0 49.9983  -  nan  0.00389054 -0.0126363 -0.0291785  0.00389054 -0.0126363 -0.0291785  -0.121578 0.0496556 9.78383  -0.121578 0.0496556 9.78383  - - -  - - -  77.899 66.6761 70.212 64.7947 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.683569000  1000.68 0 49.9971  -  nan  -0.0554772 -0.0358182 0.0909251  -0.0554772 -0.0358182 0.0909251  0.0198352 0.197582 9.8856  0.0198352 0.197582 9.8856  - - -  - - -  77.7189 67.3057 70.0847 64.6088 - - - - - - - 65.7722 - - - - 139 0 134 70 0 0 0 0
1704467688.688529000  1000.68 0 49.9974  -  nan  -0.0252254 -0.026106 -0.0161267  -0.0252254 -0.026106 -0.0161267  -0.354121 0.0447751 10.2388  -0.354121 0.0447751 10.2388  - - -  - - -  76.9088 68.8152 69.4212 64.2436 - - - - 77.0535 65.7722 - - - - - - 139 0 134 70 0 0 0 0
1704467688.693483000  1000.68 0 49.9996  -  nan  -0.0250313 -0.0713303 -0.0562764  -0.0250313 -0.0713303 -0.0562764  0.0163557 0.00583534 9.33252  0.0163557 0.00583534 9.33252  - - -  - - -  76.8729 68.5035 70.0515 63.7061 - - - - - - 69.6185 - - - - - 139 0 134 70 0 0 0 0
1704467688.698489000  1000.68 0 49.9996  -  nan  -0.112172 -0.03881 0.00556474  -0.112172 -0.03881 0.00556474  0.0232475 0.297617 9.82008  0.0232475 0.297617 9.82008  - - -  - - -  77.5464 68.3745 70.7323 63.4116 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
1704467688.703600000  1000.67 0 50  -  nan  -0.0982262 -0.0818918 0.0216416  -0.0982262 -0.0818918 0.0216416  -0.315926 -0.155718 10.5994  -0.315926 -0.155718 10.5994  - - -  - - -  77.3249 69.6724 69.9963 62.7507 - - - - - 68.8137 - 65.2316 - - - - 139 0 134 70 0 0 0 0
1704467688.708476000  1000.66 0 50.001  16.028  nan  0.00387128 -0.0861855 -0.0673692  0.00387128 -0.0861855 -0.0673692  0.110578 0.0557563 9.21464  0.110578 0.0557563 9.21464  - - -  - - -  76.4961 70.0306 69.7543 62.6179 - - - - 76.558 - - - - - - - 139 0 134 70 0 0 0 0
1704467688.713460000  1000.65 0 50.0019  -  nan  -0.127484 0.00434811 0.0165865  -0.127484 0.00434811 0.0165865  -0.0246619 0.247297 9.8808  -0.0246619 0.247297 9.8808  - - -  - - -  77.1518 68.6262 71.1231 62.7009 - - - - - - 70.028 - - - - - 139 0 134 70 0 0 0 0
1704467688.718480000  1000.64 0 50.0019  -  nan  -0.0835601 -0.0236746 0.0341829  -0.0835601 -0.0236746 0.0341829  -0.311682 -0.0538466 10.3621  -0.311682 -0.0538466 10.3621  - - -  - - -  77.1388 70.1146 69.8685 62.1034 - - - - - - - - - - - - 139 0 134 70 0 0 0 0
