# pom logged on Tue Dec 19 14:00:12 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1702990812.237368000 0 1 1 1 1 1 -2.49811 -0.297688 0.977195 -0.001684 6.86154e-05 -0.0128473 0.00708056 0.00331377 0.00517413 -0.0432172 0.0102493 0.0334346 -0.191808 0.295406 0.204063 5.85738e-09 5.85738e-09 5.85529e-09 2.15772e-07 2.15772e-07 2.15804e-07 9.36046e-06 9.36047e-06 9.35181e-06 9.36046e-06 9.36047e-06 9.35181e-06 0.033968 0.033968 0.0339585
1702990812.242363000 0 1 1 1 1 1 -2.49808 -0.297763 0.977203 -0.00167107 -9.70402e-05 -0.0128107 0.0102301 -0.00656782 0.00637498 -0.0370908 0.0139293 0.0340597 0.218922 -0.47039 0.3235 5.85574e-09 5.85574e-09 5.85366e-09 2.15675e-07 2.15675e-07 2.15706e-07 9.35768e-06 9.35769e-06 9.34906e-06 9.35768e-06 9.35769e-06 9.34906e-06 0.0339223 0.0339223 0.0339128
1702990812.247372000 0 1 1 1 1 1 -2.49802 -0.297709 0.977166 -0.00171105 -0.000256802 -0.0125152 0.015988 0.00243313 0.00118078 -0.0395577 0.0174848 0.0539602 0.586173 0.359785 -0.131972 5.8589e-09 5.8589e-09 5.85682e-09 2.15882e-07 2.15882e-07 2.15914e-07 9.36347e-06 9.36348e-06 9.35483e-06 9.36347e-06 9.36348e-06 9.35483e-06 0.0340387 0.0340387 0.0340292
1702990812.252359000 0 1 1 1 1 1 -2.49808 -0.297717 0.977179 -0.00176648 -0.000378653 -0.0126516 0.00589831 0.00121873 0.00298489 -0.0441832 0.0198769 0.0266788 -0.231097 0.0994483 0.00465212 5.85459e-09 5.85459e-09 5.8525e-09 2.15608e-07 2.15608e-07 2.1564e-07 9.35584e-06 9.35584e-06 9.3472e-06 9.35584e-06 9.35584e-06 9.3472e-06 0.0338727 0.0338727 0.0338633
1702990812.257373000 0 1 1 1 1 1 -2.49804 -0.297782 0.97721 -0.00169936 -0.000516652 -0.0125535 0.0117016 -0.00699384 0.00742304 -0.0338674 0.021766 0.0351321 0.374936 -0.478168 0.381226 5.85947e-09 5.85947e-09 5.85739e-09 2.15923e-07 2.15923e-07 2.15955e-07 9.36462e-06 9.36462e-06 9.35599e-06 9.36462e-06 9.36462e-06 9.35599e-06 0.0340553 0.0340553 0.0340458
1702990812.262389000 0 1 1 1 1 1 -2.498 -0.297716 0.977181 -0.00161174 -0.000589406 -0.0122835 0.0146353 0.0035937 0.00338132 -0.0254889 0.0279448 0.050448 0.479184 0.436094 0.055252 5.86492e-09 5.86492e-09 5.86283e-09 2.16272e-07 2.16272e-07 2.16303e-07 9.37436e-06 9.37436e-06 9.36573e-06 9.37436e-06 9.37436e-06 9.36573e-06 0.0342649 0.0342649 0.0342555
1702990812.267376000 0 1 1 1 1 1 -2.49807 -0.297736 0.977172 -0.00161264 -0.000590913 -0.0125384 0.00382278 0.000384376 0.00214879 -0.0307165 0.0371016 0.0148006 -0.358486 0.00589306 -0.0448385 5.86055e-09 5.86055e-09 5.85846e-09 2.15989e-07 2.15989e-07 2.16021e-07 9.36654e-06 9.36654e-06 9.35792e-06 9.36654e-06 9.36654e-06 9.35792e-06 0.0340933 0.0340933 0.0340839
1702990812.272376000 0 1 1 1 1 1 -2.498 -0.297798 0.977193 -0.00148498 -0.000679238 -0.0123572 0.0130727 -0.00718429 0.005275 -0.0233135 0.0367353 0.0358099 0.525218 -0.467079 0.214662 5.86063e-09 5.86063e-09 5.85854e-09 2.15998e-07 2.15998e-07 2.16029e-07 9.36678e-06 9.36678e-06 9.35817e-06 9.36678e-06 9.36678e-06 9.35817e-06 0.0340937 0.0340937 0.0340842
1702990812.277361000 0 1 1 1 1 1 -2.49798 -0.297705 0.977166 -0.00129809 -0.000685725 -0.0122521 0.0138196 0.00682141 0.00173989 -0.0127738 0.0405598 0.0370238 0.411035 0.686585 -0.0609168 5.8555e-09 5.8555e-09 5.85342e-09 2.15665e-07 2.15665e-07 2.15696e-07 9.35756e-06 9.35757e-06 9.34897e-06 9.35756e-06 9.35757e-06 9.34897e-06 0.0338988 0.0338988 0.0338894
1702990812.282380000 0 1 1 1 1 1 -2.49806 -0.297763 0.977173 -0.00132753 -0.000595454 -0.0126821 0.00252286 -0.00211613 0.00297892 -0.0223541 0.0511729 -0.00484135 -0.393915 -0.23064 0.0479828 5.86205e-09 5.86205e-09 5.85996e-09 2.16085e-07 2.16085e-07 2.16116e-07 9.36927e-06 9.36928e-06 9.36068e-06 9.36927e-06 9.36928e-06 9.36068e-06 0.0341479 0.0341479 0.0341385
1702990812.287380000 0 1 1 1 1 1 -2.49796 -0.297808 0.977195 -0.00127658 -0.000605557 -0.0125146 0.0157705 -0.00690696 0.00649656 -0.0245584 0.0523763 0.0244238 0.780739 -0.417016 0.344793 5.86202e-09 5.86202e-09 5.85994e-09 2.16086e-07 2.16086e-07 2.16117e-07 9.36931e-06 9.36931e-06 9.36071e-06 9.36931e-06 9.36931e-06 9.36071e-06 0.0341435 0.0341435 0.0341341
1702990812.292390000 0 1 1 1 1 1 -2.49798 -0.297706 0.977158 -0.00112264 -0.000532879 -0.0126463 0.0107322 0.00778764 0.00183527 -0.0183702 0.0555555 0.00941585 0.168719 0.711998 -0.01936 5.86547e-09 5.86547e-09 5.86339e-09 2.16317e-07 2.16317e-07 2.16348e-07 9.3757e-06 9.37571e-06 9.36712e-06 9.3757e-06 9.37571e-06 9.36712e-06 0.034276 0.034276 0.0342667
1702990812.297361000 0 1 1 1 1 1 -2.49805 -0.297795 0.977154 -0.00109502 -0.000376759 -0.0131875 0.00203159 -0.00536972 0.00174947 -0.0200847 0.0653743 -0.029525 -0.360913 -0.503876 -0.0354253 5.85554e-09 5.85554e-09 5.85347e-09 2.15678e-07 2.15678e-07 2.15709e-07 9.35801e-06 9.35801e-06 9.34943e-06 9.35801e-06 9.35801e-06 9.34943e-06 0.0338968 0.0338968 0.0338874
1702990812.302387000 0 1 1 1 1 1 -2.49794 -0.297793 0.977174 -0.00102621 -0.000304248 -0.0131139 0.0165851 -0.00357607 0.0048872 -0.0195743 0.0678739 0.00182302 0.843622 -0.124991 0.214363 5.86442e-09 5.86442e-09 5.86234e-09 2.16246e-07 2.16246e-07 2.16278e-07 9.37392e-06 9.37393e-06 9.36532e-06 9.37392e-06 9.37393e-06 9.36532e-06 0.0342367 0.0342367 0.0342273
1702990812.307367000 0 1 1 1 1 1 -2.49802 -0.297735 0.977158 -0.000912327 -0.000228512 -0.0135153 0.00459053 0.00455905 0.00381731 -0.0205386 0.0689493 -0.0275542 -0.29789 0.376555 0.175279 5.52905e-09 5.52905e-09 5.52722e-09 1.97397e-07 1.97397e-07 1.97427e-07 8.81491e-06 8.81491e-06 8.80685e-06 8.81491e-06 8.81491e-06 8.80685e-06 0.0254854 0.0254854 0.0254761
1702990812.312397000 0 1 1 1 1 1 -2.49801 -0.297825 0.977153 -0.000846528 -0.000128775 -0.01402 0.00735995 -0.00877478 0.00359947 -0.0205543 0.0668622 -0.0475537 0.180741 -0.747274 0.1459 5.53858e-09 5.53858e-09 5.53673e-09 1.97883e-07 1.97884e-07 1.97914e-07 8.83014e-06 8.83015e-06 8.82205e-06 8.83014e-06 8.83015e-06 8.82205e-06 0.02561 0.02561 0.0256007
1702990812.317372000 0 1 1 1 1 1 -2.49793 -0.297777 0.977149 -0.000721813 0.00014216 -0.0140065 0.0168442 -0.000181128 0.00289707 -0.0128674 0.0807856 -0.0150214 0.851386 0.16642 0.0429454 5.85937e-09 5.85937e-09 5.85729e-09 2.1592e-07 2.1592e-07 2.15952e-07 9.36504e-06 9.36504e-06 9.35642e-06 9.36504e-06 9.36504e-06 9.35642e-06 0.0340422 0.0340422 0.0340327
1702990812.322380000 0 1 1 1 1 1 -2.49801 -0.297747 0.977154 -0.000670488 0.000311993 -0.0144005 0.00449341 0.00383436 0.00390733 -0.0175337 0.0805579 -0.0355496 -0.239383 0.312378 0.140708 5.8621e-09 5.8621e-09 5.86002e-09 2.16093e-07 2.16093e-07 2.16125e-07 9.36986e-06 9.36987e-06 9.36126e-06 9.36986e-06 9.36987e-06 9.36126e-06 0.0341463 0.0341463 0.0341369
1702990812.327382000 0 1 1 1 1 1 -2.49798 -0.297828 0.977155 -0.000527348 0.000435709 -0.0150681 0.0103346 -0.00731144 0.00507093 -0.0142041 0.0813781 -0.0612702 0.45967 -0.529708 0.253915 5.53387e-09 5.53388e-09 5.53203e-09 1.97637e-07 1.97637e-07 1.97668e-07 8.82261e-06 8.82261e-06 8.8145e-06 8.82261e-06 8.82261e-06 8.8145e-06 0.0255475 0.0255475 0.025538
1702990812.332393000 0 1 1 1 1 1 -2.49797 -0.297759 0.977133 -0.000353055 0.000724826 -0.0150869 0.0119351 0.0041321 0.00226812 -0.00789072 0.0932233 -0.0219719 0.42883 0.536743 0.0193374 5.53734e-09 5.53734e-09 5.53549e-09 1.97807e-07 1.97807e-07 1.97837e-07 8.82794e-06 8.82795e-06 8.81984e-06 8.82794e-06 8.82795e-06 8.81984e-06 0.0255981 0.0255982 0.0255888
1702990812.337395000 0 1 1 1 1 1 -2.49802 -0.297788 0.977126 -0.000298876 0.00100686 -0.0155769 0.00287998 -0.0001143 0.00146057 -0.0107059 0.0933973 -0.0496506 -0.305633 0.0114834 -0.0596525 5.86722e-09 5.86722e-09 5.86513e-09 2.16412e-07 2.16412e-07 2.16444e-07 9.37873e-06 9.37873e-06 9.37011e-06 9.37873e-06 9.37873e-06 9.37011e-06 0.0343437 0.0343437 0.0343343
1702990812.342427000 0 1 1 1 1 1 -2.49797 -0.297831 0.977141 -8.92253e-05 0.00119664 -0.0163097 0.0125223 -0.00523601 0.00477974 -0.00508477 0.0947869 -0.0744636 0.629779 -0.272028 0.235067 5.54817e-09 5.54818e-09 5.54632e-09 1.98354e-07 1.98354e-07 1.98385e-07 8.84499e-06 8.84499e-06 8.83686e-06 8.84499e-06 8.84499e-06 8.83686e-06 0.0257453 0.0257453 0.0257359
1702990812.347356000 0 1 1 1 1 1 -2.49797 -0.297776 0.977119 4.43236e-05 0.00158416 -0.0163072 0.0108327 0.00384989 0.00202182 -0.00302766 0.10469 -0.0314979 0.327353 0.475821 0.0356681 5.8539e-09 5.85391e-09 5.85183e-09 2.15553e-07 2.15552e-07 2.15584e-07 9.35471e-06 9.35471e-06 9.34614e-06 9.35471e-06 9.35471e-06 9.34614e-06 0.0338245 0.0338245 0.0338152
1702990812.352410000 0 1 1 1 1 1 -2.49801 -0.297844 0.977092 0.000189782 0.0018588 -0.0170448 0.00521246 -0.00575573 -0.000549222 -0.00553139 0.105841 -0.0769041 -0.021677 -0.430087 -0.177336 5.54266e-09 5.54267e-09 5.54082e-09 1.98072e-07 1.98071e-07 1.98102e-07 8.83607e-06 8.83607e-06 8.82799e-06 8.83607e-06 8.83607e-06 8.82799e-06 0.0256668 0.0256668 0.0256575
1702990812.357322000 0 1 1 1 1 1 -2.49796 -0.297845 0.977121 0.000386134 0.00225046 -0.0176964 0.0128999 -0.00413489 0.0043861 0.00223502 0.112413 -0.0916076 0.607104 -0.142093 0.228175 5.84225e-09 5.84225e-09 5.84018e-09 2.14802e-07 2.14801e-07 2.14834e-07 9.33368e-06 9.33368e-06 9.32512e-06 9.33368e-06 9.33368e-06 9.32512e-06 0.0334124 0.0334124 0.033403
1702990812.362373000 0 1 1 1 1 1 -2.49799 -0.297804 0.977105 0.000588805 0.00266141 -0.0176279 0.00720891 0.00240474 0.00344809 0.00522756 0.119061 -0.0352308 0.0445955 0.320604 0.214449 5.85957e-09 5.85957e-09 5.8575e-09 2.159e-07 2.15899e-07 2.15931e-07 9.36416e-06 9.36416e-06 9.35562e-06 9.36416e-06 9.36416e-06 9.35562e-06 0.0340669 0.0340669 0.0340577
1702990812.367317000 0 1 1 1 1 1 -2.498 -0.297874 0.977059 0.000738629 0.00305026 -0.018371 0.00670506 -0.00665094 -0.00135215 0.00283887 0.120684 -0.0787802 0.116882 -0.434232 -0.180876 5.84053e-09 5.84054e-09 5.83848e-09 2.14687e-07 2.14685e-07 2.14718e-07 9.33013e-06 9.33014e-06 9.32161e-06 9.33013e-06 9.33014e-06 9.32161e-06 0.0333481 0.0333481 0.0333388
1702990812.372317000 0 1 1 1 1 1 -2.49796 -0.297843 0.97706 0.00100592 0.00353077 -0.0190815 0.0125593 -0.000663898 0.000345911 0.00857588 0.131876 -0.0906423 0.530968 0.164083 -0.0501585 5.84056e-09 5.84056e-09 5.8385e-09 2.1469e-07 2.14688e-07 2.14722e-07 9.33012e-06 9.33012e-06 9.32158e-06 9.33012e-06 9.33012e-06 9.32158e-06 0.0333421 0.0333421 0.0333327
1702990812.377370000 0 1 1 1 1 1 -2.49802 -0.29786 0.977052 0.00133106 0.00398797 -0.0190859 0.00480267 -0.00232204 0.00188427 0.0155206 0.138986 -0.0412038 -0.109166 -0.10368 0.145024 5.52987e-09 5.52987e-09 5.52804e-09 1.9741e-07 1.97407e-07 1.9744e-07 8.81493e-06 8.81493e-06 8.8069e-06 8.81493e-06 8.81493e-06 8.8069e-06 0.0255071 0.0255071 0.0254977
