# logged on Tue Dec 19 14:00:12 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1702990812.246772000  1000.48 0 50.0443  16  nan  -0.0140678 0.051252 0.0305988  -0.0140678 0.051252 0.0305988  -1.64807 1.35184 12.1718  -1.64807 1.35184 12.1718  6.03e-06 2.292e-05 -4.198e-05  6.03e-06 2.292e-05 -4.198e-05  75.1132 72.3194 68.0701 68.7654 - - - - 75.8265 71.9321 69.2137 69.8227 nan nan nan nan 0 0 0 0 0 0 0 0
1702990812.251771000  1000.48 0 50.0443  -  nan  -0.0838429 0.0451265 -0.013795  -0.0838429 0.0451265 -0.013795  -0.687785 -2.25461 7.99243  -0.687785 -2.25461 7.99243  - - -  - - -  73.7641 72.6157 69.6431 67.7908 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.256795000  1000.48 0 50.0443  -  nan  -0.0935129 0.0642885 0.112642  -0.0935129 0.0642885 0.112642  2.15069 1.46089 7.9019  2.15069 1.46089 7.9019  - - -  - - -  70.8359 74.1365 65.6357 72.886 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.261788000  1000.48 0 50.0443  -  nan  0.00901458 0.0587423 0.0329488  0.00901458 0.0587423 0.0329488  -1.31763 1.83618 11.1495  -1.31763 1.83618 11.1495  - - -  - - -  71.9005 75.7911 64.2628 72.0391 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.266769000  1000.49 0 50.0446  -  nan  0.0127949 0.0511918 0.0339921  0.0127949 0.0511918 0.0339921  0.714072 -2.85699 10.5323  0.714072 -2.85699 10.5323  - - -  - - -  70.5018 75.5791 66.4002 71.499 - - - - 70.4424 76.3126 64.1766 71.9321 - - - - 0 0 0 0 0 0 0 0
1702990812.271782000  1000.48 0 50.0446  -  nan  -0.0739327 0.100499 0.102872  -0.0739327 0.100499 0.102872  2.88412 1.26247 9.66404  2.88412 1.26247 9.66404  - - -  - - -  71.0586 73.6647 65.4155 73.4138 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.276790000  1000.49 0 50.0446  -  nan  -0.0961488 0.0782351 -0.0665062  -0.0961488 0.0782351 -0.0665062  -2.87962 0.181472 11.0496  -2.87962 0.181472 11.0496  - - -  - - -  71.6594 76.112 64.8849 71.3816 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.281806000  1000.49 0 50.0446  -  nan  -0.00105185 0.0587133 0.00329091  -0.00105185 0.0587133 0.00329091  0.557332 -3.40666 9.0365  0.557332 -3.40666 9.0365  - - -  - - -  70.3143 75.0744 67.0626 71.4194 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.286804000  1000.48 0 50.0483  -  nan  0.00235701 0.121973 0.0726752  0.00235701 0.121973 0.0726752  1.50447 3.47598 8.3381  1.50447 3.47598 8.3381  - - -  - - -  71.642 73.6887 65.0821 73.143 - - - - 69.4155 74.8727 68.2221 71.7154 - - - - 0 0 0 0 0 0 0 0
1702990812.291797000  1000.47 0 50.0483  -  nan  -0.0817609 0.074998 -0.0773048  -0.0817609 0.074998 -0.0773048  -3.16368 0.391845 11.5797  -3.16368 0.391845 11.5797  - - -  - - -  72.1554 76.2499 64.8355 71.0069 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.296784000  1000.46 0 50.0483  -  nan  -0.0667675 0.0422159 0.0247238  -0.0667675 0.0422159 0.0247238  2.97829 -2.05109 10.329  2.97829 -2.05109 10.329  - - -  - - -  70.5842 74.3788 67.3263 71.6486 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.301784000  1000.45 0 50.0483  -  nan  -0.00945044 0.149878 0.0657061  -0.00945044 0.149878 0.0657061  1.63851 3.39406 8.508  1.63851 3.39406 8.508  - - -  - - -  72.3226 73.607 64.6838 72.5698 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.306774000  1000.45 0 50.0472  -  nan  -0.0238835 0.129449 -0.110446  -0.0238835 0.129449 -0.110446  -2.24356 -2.53649 10.5055  -2.24356 -2.53649 10.5055  - - -  - - -  71.2308 75.8339 66.43 70.2336 - - - - 72.812 75.1089 64.3501 72.59 - - - - 0 0 0 0 0 0 0 0
1702990812.311771000  1000.45 0 50.0472  -  nan  -0.0507054 0.0635723 -0.0194214  -0.0507054 0.0635723 -0.0194214  2.76943 -1.9251 10.5774  2.76943 -1.9251 10.5774  - - -  - - -  70.9461 73.5265 67.6293 71.9193 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.316796000  1000.44 0 50.0472  -  nan  -0.0453305 0.108094 0.0140312  -0.0453305 0.108094 0.0140312  -1.24186 2.85983 9.40925  -1.24186 2.85983 9.40925  - - -  - - -  72.7111 74.0256 64.9125 71.7429 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1702990812.321772000  1000.44 0 50.0472  -  nan  -0.0244109 0.12165 -0.116414  -0.0244109 0.12165 -0.116414  -1.88008 -2.3856 9.3377  -1.88008 -2.3856 9.3377  - - -  - - -  71.2823 75.6214 66.4942 69.9434 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
