    ts      x      y      z   roll  pitch    yaw     vx     vy     vz     wx     wy     wz     ax     ay     az    dwx    dwy    dwz
 0.0050000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0400000   0.0000002  -0.0000002  -0.0000002   0.0000000   0.0000000   0.0000000   0.0001250  -0.0001250  -0.0001250   0.0000000   0.0000000   0.0000000
 0.0100000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0400000   0.0000017  -0.0000017  -0.0000017   0.0000000   0.0000000   0.0000000   0.0005000  -0.0005000  -0.0005000   0.0000000   0.0000000   0.0000000
 0.0150000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0400000   0.0000056  -0.0000056  -0.0000056   0.0000000   0.0000000   0.0000000   0.0011250  -0.0011250  -0.0011250   0.0000000   0.0000000   0.0000000
 0.0200000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0399999   0.0000133  -0.0000133  -0.0000133   0.0000000   0.0000000   0.0000000   0.0020000  -0.0020000  -0.0020000   0.0000000   0.0000000   0.0000000
 0.0250000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0399997   0.0000260  -0.0000260  -0.0000260   0.0000000   0.0000000   0.0000000   0.0031250  -0.0031250  -0.0031250   0.0000000   0.0000000   0.0000000
 0.0300000  -2.5000000  -0.3000000   1.0000000   0.0000000   0.0000000  -0.0399995   0.0000450  -0.0000450  -0.0000450   0.0000000   0.0000000   0.0000000   0.0045000  -0.0045000  -0.0045000   0.0000000   0.0000000   0.0000000
 0.0350000  -2.5000000  -0.3000010   0.9999990   0.0000000   0.0000000  -0.0399990   0.0000715  -0.0000715  -0.0000715   0.0000000   0.0000000   0.0000000   0.0061250  -0.0061250  -0.0061250   0.0000000   0.0000000   0.0000000
 0.0400000  -2.5000000  -0.3000010   0.9999990   0.0000000   0.0000000  -0.0399983   0.0001067  -0.0001067  -0.0001067   0.0000000   0.0000000   0.0000000   0.0080000  -0.0080000  -0.0080000   0.0000000   0.0000000   0.0000000
 0.0450000  -2.5000000  -0.3000020   0.9999980   0.0000000   0.0000000  -0.0399973   0.0001519  -0.0001519  -0.0001519   0.0000000   0.0000000   0.0000000   0.0101250  -0.0101250  -0.0101250   0.0000000   0.0000000   0.0000000
 0.0500000  -2.5000000  -0.3000030   0.9999970   0.0000000   0.0000000  -0.0399958   0.0002083  -0.0002083  -0.0002083   0.0000000   0.0000000   0.0000000   0.0125000  -0.0125000  -0.0125000   0.0000000   0.0000000   0.0000000
 0.0550000  -2.5000000  -0.3000040   0.9999960   0.0000000   0.0000000  -0.0399939   0.0002773  -0.0002773  -0.0002773   0.0000000   0.0000000   0.0000000   0.0151250  -0.0151250  -0.0151250   0.0000000   0.0000000   0.0000000
 0.0600000  -2.4999900  -0.3000050   0.9999950   0.0000000   0.0000000  -0.0399914   0.0003600  -0.0003600  -0.0003600   0.0000000   0.0000000   0.0000000   0.0180000  -0.0180000  -0.0180000   0.0000000   0.0000000   0.0000000
 0.0650000  -2.4999900  -0.3000070   0.9999930   0.0000000   0.0000000  -0.0399881   0.0004577  -0.0004577  -0.0004577   0.0000000   0.0000000   0.0000000   0.0211250  -0.0211250  -0.0211250   0.0000000   0.0000000   0.0000000
 0.0700000  -2.4999900  -0.3000100   0.9999900   0.0000000   0.0000000  -0.0399840   0.0005717  -0.0005717  -0.0005717   0.0000000   0.0000000   0.0000000   0.0245000  -0.0245000  -0.0245000   0.0000000   0.0000000   0.0000000
 0.0750000  -2.4999900  -0.3000130   0.9999870   0.0000000   0.0000000  -0.0399789   0.0007031  -0.0007031  -0.0007031   0.0000000   0.0000000   0.0000000   0.0281250  -0.0281250  -0.0281250   0.0000000   0.0000000   0.0000000
 0.0800000  -2.4999800  -0.3000170   0.9999830   0.0000000   0.0000000  -0.0399727   0.0008533  -0.0008533  -0.0008533   0.0000000   0.0000000   0.0000000   0.0320000  -0.0320000  -0.0320000   0.0000000   0.0000000   0.0000000
 0.0850000  -2.4999800  -0.3000220   0.9999780   0.0000000   0.0000000  -0.0399652   0.0010235  -0.0010235  -0.0010235   0.0000000   0.0000000   0.0000000   0.0361250  -0.0361250  -0.0361250   0.0000000   0.0000000   0.0000000
 0.0900000  -2.4999700  -0.3000270   0.9999730   0.0000000   0.0000000  -0.0399563   0.0012150  -0.0012150  -0.0012150   0.0000000   0.0000000   0.0000000   0.0405000  -0.0405000  -0.0405000   0.0000000   0.0000000   0.0000000
 0.0950000  -2.4999700  -0.3000340   0.9999660   0.0000000   0.0000000  -0.0399457   0.0014290  -0.0014290  -0.0014290   0.0000000   0.0000000   0.0000000   0.0451250  -0.0451250  -0.0451250   0.0000000   0.0000000   0.0000000
 0.1000000  -2.4999600  -0.3000420   0.9999580   0.0000000   0.0000000  -0.0399333   0.0016667  -0.0016667  -0.0016667   0.0000000   0.0000000   0.0000000   0.0500000  -0.0500000  -0.0500000   0.0000000   0.0000000   0.0000000
 0.1050000  -2.4999500  -0.3000510   0.9999490   0.0000000   0.0000000  -0.0399190   0.0019294  -0.0019294  -0.0019294   0.0000000   0.0000000   0.0000000   0.0551250  -0.0551250  -0.0551250   0.0000000   0.0000000   0.0000000
 0.1100000  -2.4999400  -0.3000610   0.9999390   0.0000000   0.0000000  -0.0399024   0.0022183  -0.0022183  -0.0022183   0.0000000   0.0000000   0.0000000   0.0605000  -0.0605000  -0.0605000   0.0000000   0.0000000   0.0000000
 0.1150000  -2.4999300  -0.3000730   0.9999270   0.0000000   0.0000000  -0.0398835   0.0025348  -0.0025348  -0.0025348   0.0000000   0.0000000   0.0000000   0.0661250  -0.0661250  -0.0661250   0.0000000   0.0000000   0.0000000
 0.1200000  -2.4999100  -0.3000860   0.9999140   0.0000000   0.0000000  -0.0398619   0.0028800  -0.0028800  -0.0028800   0.0000000   0.0000000   0.0000000   0.0720000  -0.0720000  -0.0720000   0.0000000   0.0000000   0.0000000
 0.1250000  -2.4999000  -0.3001020   0.9998980   0.0000000   0.0000000  -0.0398377   0.0032552  -0.0032552  -0.0032552   0.0000000   0.0000000   0.0000000   0.0781250  -0.0781244  -0.0781250   0.0000000   0.0000000   0.0000000
 0.1300000  -2.4998800  -0.3001190   0.9998810   0.0000000   0.0000000  -0.0398106   0.0036617  -0.0036612  -0.0036617   0.0000000   0.0000000   0.0000000   0.0845000  -0.0842250  -0.0845000   0.0000000   0.0000000   0.0000000
 0.1350000  -2.4998600  -0.3001380   0.9998620   0.0000000   0.0000000  -0.0397804   0.0041006  -0.0040970  -0.0041006   0.0000000   0.0000000   0.0000000   0.0911250  -0.0900755  -0.0911250   0.0000000   0.0000000   0.0000000
 0.1400000  -2.4998400  -0.3001600   0.9998400   0.0000000   0.0000000  -0.0397470   0.0045733  -0.0045615  -0.0045733   0.0000000   0.0000000   0.0000000   0.0980000  -0.0956761  -0.0980000   0.0000000   0.0000000   0.0000000
 0.1450000  -2.4998200  -0.3001840   0.9998160   0.0000000   0.0000000  -0.0397104   0.0050810  -0.0050534  -0.0050810   0.0000000   0.0000000   0.0000000   0.1051250  -0.1010270  -0.1051250   0.0000000   0.0000000   0.0000000
 0.1500000  -2.4997900  -0.3002110   0.9997890   0.0000000   0.0000000  -0.0396703   0.0056250  -0.0055714  -0.0056250   0.0000000   0.0000000   0.0000000   0.1125000  -0.1061270  -0.1125000   0.0000000   0.0000000   0.0000000
 0.1550000  -2.4997600  -0.3002400   0.9997590   0.0000000   0.0000000  -0.0396267   0.0062065  -0.0061142  -0.0062065   0.0000000   0.0000000   0.0000000   0.1201250  -0.1109780  -0.1201250   0.0000000   0.0000000   0.0000000
 0.1600000  -2.4997300  -0.3002720   0.9997270   0.0000000   0.0000000  -0.0395795   0.0068267  -0.0066807  -0.0068267   0.0000000   0.0000000   0.0000000   0.1280000  -0.1155780  -0.1280000   0.0000000   0.0000000   0.0000000
 0.1650000  -2.4996900  -0.3003070   0.9996910   0.0000000   0.0000000  -0.0395285   0.0074869  -0.0072696  -0.0074869   0.0000000   0.0000000   0.0000000   0.1361250  -0.1199290  -0.1361250   0.0000000   0.0000000   0.0000000
 0.1700000  -2.4996500  -0.3003450   0.9996520   0.0000000   0.0000000  -0.0394738   0.0081883  -0.0078796  -0.0081883   0.0000000   0.0000000   0.0000000   0.1445000  -0.1240290  -0.1445000   0.0000000   0.0000000   0.0000000
 0.1750000  -2.4996100  -0.3003850   0.9996090   0.0000000   0.0000000  -0.0394151   0.0089323  -0.0085095  -0.0089323   0.0000000   0.0000000   0.0000000   0.1531250  -0.1278800  -0.1531250   0.0000000   0.0000000   0.0000000
