# pom logged on Tue Jan  9 15:09:42 2024
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1704809382.421678000 0 1 1 1 1 1 -1.97974 -1.01827 1.47203 -0.000965826 0.00175813 -0.0345137 -0.0157733 0.0197994 -0.0168268 -0.00712046 0.0316124 -0.0292036 -0.074216 0.0183774 -0.547762 2.8878e-06 2.88776e-06 2.41148e-06 7.32534e-06 7.32573e-06 1.142e-05 0.000108486 0.000108484 7.24838e-05 0.000108486 0.000108484 7.24838e-05 0.097573 0.097573 0.0969076
1704809382.425162000 0 1 1 1 1 1 -1.97983 -1.0182 1.47213 -0.00127452 0.00123658 -0.034011 -0.0194425 0.0202687 0.000136318 -0.0301774 -0.0197835 0.0217472 -0.325436 0.0445018 0.877837 2.98237e-06 2.98233e-06 2.47719e-06 7.37659e-06 7.37699e-06 1.14714e-05 0.000110761 0.000110759 7.373e-05 0.000110761 0.000110759 7.373e-05 0.104852 0.104852 0.104179
1704809382.430188000 0 1 1 1 1 1 -1.97974 -1.01833 1.47205 -0.000739104 0.000491207 -0.0348113 -0.0164621 0.0177107 -0.000892331 0.0207856 -0.0572383 -0.0517424 -0.0197188 -0.0900721 0.371988 2.88558e-06 2.88554e-06 2.40869e-06 7.24447e-06 7.24491e-06 1.13476e-05 0.000107464 0.000107462 7.12385e-05 0.000107464 0.000107462 7.12385e-05 0.0717001 0.0717003 0.0709528
1704809382.435374000 0 1 1 1 1 1 -1.97984 -1.01822 1.47192 -0.00083517 0.00132272 -0.0350618 -0.0169874 0.0186989 -0.0127624 0.00741759 0.032756 -0.0426844 -0.0642578 0.00986014 -0.524012 3.02732e-06 3.02728e-06 2.507e-06 7.30336e-06 7.3038e-06 1.14066e-05 0.000110351 0.000110349 7.26622e-05 0.000110351 0.000110349 7.26622e-05 0.0757943 0.0757943 0.0750967
1704809382.440169000 0 1 1 1 1 1 -1.97982 -1.01835 1.47197 -0.00105919 0.000768897 -0.0345344 -0.0198539 0.0183379 0.00181294 -0.0161148 -0.0230629 0.0143747 -0.269679 0.0414153 0.693489 2.9399e-06 2.93986e-06 2.4454e-06 7.31198e-06 7.31242e-06 1.14219e-05 0.000109495 0.000109493 7.27579e-05 0.000109495 0.000109493 7.27579e-05 0.0992503 0.0992504 0.0985674
1704809382.445125000 0 1 1 1 1 1 -1.97991 -1.01827 1.472 -0.000678728 0.000222494 -0.0350969 -0.0185098 0.0173012 0.00698644 0.0186922 -0.047626 -0.0356627 -0.0723515 -0.0469183 0.738074 3.07796e-06 3.07791e-06 2.54062e-06 7.35639e-06 7.35684e-06 1.1467e-05 0.000112338 0.000112336 7.39107e-05 0.000112338 0.000112336 7.39107e-05 0.0977226 0.0977228 0.0969734
1704809382.451177000 0 1 1 1 1 1 -1.97988 -1.01838 1.47184 -0.000662111 0.000850097 -0.0352449 -0.0180969 0.0167341 -0.00555763 0.00874846 0.0131797 -0.0244848 -0.063825 -0.00638933 -0.256129 3.01939e-06 3.01935e-06 2.49925e-06 7.38897e-06 7.38943e-06 1.15069e-05 0.000112321 0.000112319 7.45378e-05 0.000112321 0.000112319 7.45378e-05 0.105779 0.105779 0.105066
1704809382.456159000 0 1 1 1 1 1 -1.97984 -1.01854 1.47192 -0.000623344 0.000246526 -0.0346398 -0.0197993 0.0163674 0.0121774 0.0029281 -0.0402838 0.0321917 -0.202433 0.0401354 1.1576 2.92709e-06 2.92705e-06 2.43443e-06 7.33711e-06 7.33756e-06 1.14629e-05 0.000110656 0.000110654 7.38137e-05 0.000110656 0.000110654 7.38137e-05 0.107439 0.107439 0.106716
1704809382.461156000 0 1 1 1 1 1 -1.97993 -1.01846 1.47192 -0.000591716 0.000367245 -0.0352833 -0.019147 0.0156465 0.0101178 0.0044224 -0.01345 -0.0261402 -0.0898603 -0.0236027 0.584958 3.06589e-06 3.06584e-06 2.53006e-06 7.36129e-06 7.36175e-06 1.14875e-05 0.000113126 0.000113124 7.45503e-05 0.000113126 0.000113124 7.45503e-05 0.100428 0.100428 0.0996427
1704809382.466160000 0 1 1 1 1 1 -1.97988 -1.01861 1.47179 -0.000647104 0.0005224 -0.0351707 -0.0187003 0.0148739 -0.00302061 -0.00524324 0.000911858 -0.00603682 -0.0689081 0.000567057 -0.443223 2.9817e-06 2.98166e-06 2.47109e-06 7.31008e-06 7.31053e-06 1.14435e-05 0.00011114 0.000111138 7.35299e-05 0.00011114 0.000111138 7.35299e-05 0.0987046 0.0987047 0.097976
1704809382.471637000 0 1 1 1 1 1 -1.97986 -1.01875 1.47183 -0.000935436 0.000626151 -0.0349771 -0.01993 0.0153044 0.00717319 -0.028094 0.00833485 0.00794783 -0.160643 0.0849556 0.435017 2.90845e-06 2.90841e-06 2.41959e-06 7.31245e-06 7.3129e-06 1.14533e-05 0.000110217 0.000110215 7.35013e-05 0.000110217 0.000110215 7.35013e-05 0.114708 0.114708 0.114023
1704809382.476173000 0 1 1 1 1 1 -1.97995 -1.01869 1.47191 -0.00110615 0.000667401 -0.0353708 -0.0206361 0.0145101 0.013083 -0.0288906 0.00756214 -0.0250031 -0.152089 0.000389887 0.63338 3.03343e-06 3.03339e-06 2.50574e-06 7.31073e-06 7.31117e-06 1.1452e-05 0.000112012 0.000112011 7.37937e-05 0.000112012 0.000112011 7.37937e-05 0.0982909 0.0982911 0.0975579
1704809382.481175000 0 1 1 1 1 1 -1.9799 -1.01885 1.47177 -0.00122414 0.000904532 -0.0357387 -0.0186005 0.0137743 -0.00228792 -0.0306383 0.0246688 -0.0416621 -0.00312836 0.0235748 -0.604305 2.94884e-06 2.9488e-06 2.44658e-06 7.24606e-06 7.24648e-06 1.13947e-05 0.000109868 0.000109867 7.25985e-05 0.000109868 0.000109867 7.25985e-05 0.0826935 0.0826935 0.0819893
1704809382.486321000 0 1 1 1 1 1 -1.98003 -1.01875 1.47191 -0.00207319 0.00139637 -0.0355342 -0.0219643 0.0156268 0.0132875 -0.0819458 0.0543979 -0.00637449 -0.251629 0.132216 0.816286 3.0928e-06 3.09276e-06 2.54564e-06 7.28082e-06 7.28124e-06 1.14295e-05 0.000112418 0.000112417 7.36526e-05 0.000112418 0.000112417 7.36526e-05 0.0760039 0.0760039 0.0753188
1704809382.491170000 0 1 1 1 1 1 -1.97999 -1.01893 1.47196 -0.00223212 0.00113602 -0.0357201 -0.0222581 0.0132434 0.0196522 -0.0659696 0.0124218 -0.0187926 -0.216633 -0.0148831 0.950337 3.00257e-06 3.00253e-06 2.48288e-06 7.28561e-06 7.28598e-06 1.14427e-05 0.000111634 0.000111633 7.36828e-05 0.000111634 0.000111633 7.36828e-05 0.0986891 0.0986894 0.0979484
1704809382.496309000 0 1 1 1 1 1 -1.97993 -1.01907 1.47177 -0.00261435 0.00164618 -0.0365418 -0.0182366 0.0136478 -0.00233198 -0.0719806 0.057443 -0.0687488 0.088578 0.0930517 -0.850773 2.92307e-06 2.92304e-06 2.42746e-06 7.18216e-06 7.18252e-06 1.13475e-05 0.000108744 0.000108743 7.17262e-05 0.000108744 0.000108743 7.17262e-05 0.0724599 0.07246 0.0717609
1704809382.501114000 0 1 1 1 1 1 -1.98005 -1.01898 1.47185 -0.00374986 0.00241818 -0.0362993 -0.0209378 0.0157994 0.00512481 -0.128106 0.0986127 -0.0203367 -0.134311 0.199049 0.00508773 3.05609e-06 3.05606e-06 2.51918e-06 7.28087e-06 7.28125e-06 1.14464e-05 0.000112174 0.000112173 7.38564e-05 0.000112174 0.000112173 7.38564e-05 0.0955299 0.0955299 0.0948773
1704809382.506680000 0 1 1 1 1 1 -1.98003 -1.01915 1.47195 -0.00407843 0.00158722 -0.0362496 -0.0221079 0.0131343 0.0179693 -0.0992309 -0.00112992 -0.0116838 -0.175657 0.0102114 0.777515 2.97588e-06 2.97585e-06 2.46343e-06 7.29059e-06 7.29091e-06 1.14649e-05 0.000111501 0.000111501 7.39647e-05 0.000111501 0.000111501 7.39647e-05 0.115135 0.115135 0.114436
1704809382.511156000 0 1 1 1 1 1 -1.9801 -1.01906 1.47183 -0.00420673 0.00192654 -0.0373442 -0.01816 0.0143527 -0.000300382 -0.0752175 0.0379718 -0.0849476 0.14194 0.0936466 -0.703671 3.10183e-06 3.10179e-06 2.54989e-06 7.28404e-06 7.28439e-06 1.14584e-05 0.000113082 0.000113081 7.41791e-05 0.000113082 0.000113081 7.41791e-05 0.0966179 0.0966179 0.0959209
1704809382.516181000 0 1 1 1 1 1 -1.98011 -1.01919 1.4718 -0.00570056 0.00302096 -0.0365174 -0.0216721 0.0158717 0.00106902 -0.156813 0.106517 0.0176416 -0.184953 0.209128 -0.259118 3.01434e-06 3.0143e-06 2.48957e-06 7.24087e-06 7.24123e-06 1.14234e-05 0.000111058 0.000111057 7.33293e-05 0.000111058 0.000111057 7.33293e-05 0.0971128 0.0971127 0.096482
