# logged on Tue Jan  9 15:09:42 2024
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1704809382.501138000  1000.95 0 49.9893  15.383  nan  -0.157445 -0.0353548 0.0839272  -0.157445 -0.0353548 0.0839272  -0.554713 -0.176449 12.5376  -0.554713 -0.176449 12.5376  nan nan nan  nan nan nan  79.1414 62.7207 71.8175 64.4173 - - - - 78.064 61.5233 72.1501 66.3218 nan nan nan nan 139 146 134 70 0 0 0 0
1704809382.506143000  1000.94 0 49.9894  -  nan  0.00535194 -0.0465007 -0.165797  0.00535194 -0.0465007 -0.165797  0.572917 -0.0270144 7.85768  0.572917 -0.0270144 7.85768  - - -  - - -  76.349 63.056 71.6076 64.3089 - - - - - - 72.812 - - - - - 139 146 134 70 0 0 0 0
1704809382.511145000  1000.95 0 49.9904  -  nan  -0.213726 0.235779 0.0296865  -0.213726 0.235779 0.0296865  -0.287981 0.411895 8.32466  -0.287981 0.411895 8.32466  - - -  - - -  78.4264 61.2716 73.2247 64.1059 - - - - - - - 65.9544 - - - - 139 146 134 70 0 0 0 0
1704809382.516154000  1000.94 0 49.9904  -  nan  -0.158624 -0.105069 0.141675  -0.158624 -0.105069 0.141675  -0.510216 -0.226165 12.5424  -0.510216 -0.226165 12.5424  - - -  - - -  78.846 64.3187 71.1114 64.0388 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.521154000  1000.95 0 49.9932  -  nan  0.0357508 -0.0193574 -0.191871  0.0357508 -0.0193574 -0.191871  0.525623 0.0155857 8.42383  0.525623 0.0155857 8.42383  - - -  - - -  75.7565 64.4122 71.467 64.414 - - - - 77.0535 64.0041 - - - - - - 139 146 134 70 0 0 0 0
1704809382.526147000  1000.94 0 49.9938  -  nan  -0.18433 0.192627 0.0468237  -0.18433 0.192627 0.0468237  -0.24521 0.266809 8.05337  -0.24521 0.266809 8.05337  - - -  - - -  78.5059 61.71 72.8331 64.0056 - - - - - - 72.59 - - - - - 139 146 134 70 0 0 0 0
1704809382.531151000  1000.95 0 49.9935  -  nan  -0.0855585 -0.0906772 0.159765  -0.0855585 -0.0906772 0.159765  -0.319972 -0.0721379 12.0737  -0.319972 -0.0721379 12.0737  - - -  - - -  78.5678 64.5731 71.0776 64.3476 - - - - - - - 64.1766 - - - - 139 146 134 70 0 0 0 0
1704809382.536149000  1000.94 0 49.9935  -  nan  0.0364635 0.0809286 -0.195371  0.0364635 0.0809286 -0.195371  0.290442 -0.0404252 9.11055  0.290442 -0.0404252 9.11055  - - -  - - -  76.0009 63.9849 71.5645 65.2344 - - - - - - - - - - - - 139 146 134 70 0 0 0 0
1704809382.541168000  1000.95 0 49.9957  -  nan  -0.11175 0.0914667 0.0417756  -0.11175 0.0914667 0.0417756  -0.16046 0.0655067 8.30025  -0.16046 0.0655067 8.30025  - - -  - - -  79.0684 61.1278 72.9592 64.3502 - - - - 77.3036 64.5245 - - - - - - 139 146 134 70 0 0 0 0
1704809382.546141000  1000.94 0 49.9971  -  nan  -0.0560256 -0.0640715 0.120053  -0.0560256 -0.0640715 0.120053  -0.361863 0.0276933 11.8372  -0.361863 0.0276933 11.8372  - - -  - - -  78.2389 63.4875 71.9418 65.1003 - - - - - - 72.59 - - - - - 139 146 134 70 0 0 0 0
1704809382.551161000  1000.95 0 49.9974  -  nan  0.0639228 -0.0172804 -0.134654  0.0639228 -0.0172804 -0.134654  0.102518 -0.191407 9.29437  0.102518 -0.191407 9.29437  - - -  - - -  76.0349 63.6276 71.5445 65.8838 - - - - - - - 64.8761 - - - - 139 146 134 70 0 0 0 0
