# logged on Fri Dec  1 17:10:58 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701447058.681497000  1000.09 0 50.0005  15.544  nan  0.0188998 -0.025765 0.000479811  0.0188998 -0.025765 0.000479811  0.0152497 0.00339508 9.56086  0.0152497 0.00339508 9.56086  nan nan nan  nan nan nan  72.7256 67.6446 71.2822 70.5468 - - - - 73.4862 69.0131 71.5001 68.6153 nan nan nan nan 139 146 0 70 0 0 0 0
1701447058.686515000  1000.09 0 50.0004  -  nan  0.0766088 -0.0707091 -0.0221446  0.0766088 -0.0707091 -0.0221446  0.0144179 0.00155959 9.73261  0.0144179 0.00155959 9.73261  - - -  - - -  72.9647 67.3949 71.3369 70.8216 - - - - - 70.028 - 69.8227 - - - - 139 146 0 70 0 0 0 0
1701447058.691501000  1000.1 0 50.0004  -  nan  0.0333827 -0.0405547 -0.0116026  0.0333827 -0.0405547 -0.0116026  0.012363 0.0423349 10.4699  0.012363 0.0423349 10.4699  - - -  - - -  72.7475 66.9566 71.7727 70.9008 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.696531000  1000.11 0 49.9993  -  nan  0.0480488 0.0176625 0.000938711  0.0480488 0.0176625 0.000938711  0.0166298 0.0064401 9.27593  0.0166298 0.0064401 9.27593  - - -  - - -  72.7574 66.9659 71.5507 70.7132 - - - - 72.3694 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.701504000  1000.11 0 49.9984  -  nan  0.0766419 -0.0407513 -0.00863382  0.0766419 -0.0407513 -0.00863382  0.0146968 0.00217496 9.67503  0.0146968 0.00217496 9.67503  - - -  - - -  73.1318 66.9886 71.1619 71.194 - - - - - - 71.0732 - - - - - 139 146 0 70 0 0 0 0
1701447058.706516000  1000.12 0 49.9968  -  nan  0.00348775 0.00321129 0.0119966  0.00348775 0.00321129 0.0119966  0.0111 -0.00576117 10.4176  0.0111 -0.00576117 10.4176  - - -  - - -  72.9255 66.959 71.3188 71.022 - - - - - 67.0691 - 70.6514 - - - - 139 146 0 70 0 0 0 0
1701447058.711509000  1000.12 0 49.9968  -  nan  0.0336667 0.0466341 0.0125262  0.0336667 0.0466341 0.0125262  0.0163557 0.00583534 9.33252  0.0163557 0.00583534 9.33252  - - -  - - -  73.1149 67.4928 70.6304 70.8013 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701447058.716514000  1000.13 0 49.9971  -  nan  0.0478401 -0.0117142 0.00196402  0.0478401 -0.0117142 0.00196402  0.0624844 0.0975355 9.95245  0.0624844 0.0975355 9.95245  - - -  - - -  73.3396 67.4617 70.542 71.2038 - - - - 71.5001 - - - - - - - 139 146 0 70 0 0 0 0
1701447058.721512000  1000.13 0 49.9977  -  nan  -0.0395626 0.0327846 0.00800247  -0.0395626 0.0327846 0.00800247  0.0584293 0.0423349 10.4702  0.0584293 0.0423349 10.4702  - - -  - - -  73.2902 67.6349 70.5045 70.6504 - - - - - 66.6933 70.4424 - - - - - 139 146 0 70 0 0 0 0
1701447058.726511000  1000.14 0 49.9979  -  nan  0.00406204 0.0604094 -0.0035857  0.00406204 0.0604094 -0.0035857  0.0152497 0.00339508 9.56086  0.0152497 0.00339508 9.56086  - - -  - - -  73.6318 67.8868 70.1228 70.4668 - - - - - - - 70.6514 - - - - 139 146 0 70 0 0 0 0
1701447058.731503000  1000.15 0 49.9979  -  nan  -0.0249158 0.0174526 -0.0176469  -0.0249158 0.0174526 -0.0176469  0.107445 0.0950953 10.1811  0.107445 0.0950953 10.1811  - - -  - - -  73.795 67.7534 70.1587 70.4743 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
