# logged on Fri Dec  1 17:22:00 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701447720.573538000  1000.92 0 49.998  15.286  nan  0.0478401 -0.0117142 0.00196402  0.0478401 -0.0117142 0.00196402  0.0557862 -0.00880619 10.7029  0.0557862 -0.00880619 10.7029  nan nan nan  nan nan nan  76.3748 68.8526 69.2768 69.9518 - - - - 76.8049 67.8334 70.028 69.6185 nan nan nan nan 139 146 0 71 0 0 0 0
1701447720.578526000  1000.93 0 50.0012  -  nan  0.00369652 0.032588 0.0109713  0.00369652 0.032588 0.0109713  0.014849 0.0478201 9.95658  0.014849 0.0478201 9.95658  - - -  - - -  75.5679 68.1557 69.7115 70.0953 - - - - - - - 68.6153 - - - - 139 146 0 71 0 0 0 0
1701447720.583542000  1000.92 0 49.9981  -  nan  0.0193478 0.0608815 0.0110416  0.0193478 0.0608815 0.0110416  -0.0262405 0.0588013 8.9287  -0.0262405 0.0588013 8.9287  - - -  - - -  75.837 68.3747 69.3461 70.2149 - - - - - 69.2137 68.8137 - - - - - 139 146 0 71 0 0 0 0
1701447720.588547000  1000.92 0 49.9973  -  nan  0.0620582 -0.0401434 0.00394358  0.0620582 -0.0401434 0.00394358  0.00889291 -0.0106311 10.8733  0.00889291 -0.0106311 10.8733  - - -  - - -  75.9583 68.0994 69.5236 70.6357 - - - - 77.0535 - - - - - - - 139 146 0 71 0 0 0 0
1701447720.593530000  1000.92 0 49.9973  -  nan  0.0192094 0.0177936 -0.00104048  0.0192094 0.0177936 -0.00104048  0.0135908 -0.000265298 9.90338  0.0135908 -0.000265298 9.90338  - - -  - - -  75.3102 67.6425 70.0346 70.5115 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1701447720.598551000  1000.92 0 49.9996  -  nan  0.0624237 -0.012322 -0.0106134  0.0624237 -0.012322 -0.0106134  -0.0717538 0.0600214 8.81419  -0.0717538 0.0600214 8.81419  - - -  - - -  75.6346 67.5534 69.942 70.4691 - - - - - - - 70.2346 - - - - 139 146 0 71 0 0 0 0
1701447720.603532000  1000.91 0 49.9988  -  nan  0.0187542 -0.0698659 -0.0115669  0.0187542 -0.0698659 -0.0115669  0.00723399 -0.0142915 11.2159  0.00723399 -0.0142915 11.2159  - - -  - - -  75.5591 67.31 70.4784 70.7895 - - - - - 69.4155 69.2137 - - - - - 139 146 0 71 0 0 0 0
1701447720.608547000  1000.91 0 49.9989  -  nan  0.0622222 -0.0406858 -0.00962342  0.0622222 -0.0406858 -0.00962342  -0.0295583 0.0514805 9.61373  -0.0295583 0.0514805 9.61373  - - -  - - -  74.8026 67.2241 70.6712 70.3223 - - - - 75.8265 - - - - - - - 139 146 0 71 0 0 0 0
1701447720.613525000  1000.91 0 49.9989  -  nan  0.0620582 -0.0401434 0.00394358  0.0620582 -0.0401434 0.00394358  -0.0696317 0.110957 8.69555  -0.0696317 0.110957 8.69555  - - -  - - -  74.9214 66.961 70.8742 70.8658 - - - - - - - - - - - - 139 146 0 71 0 0 0 0
1701447720.618546000  1000.91 0 50  -  nan  -0.0404841 -0.0968781 0.012528  -0.0404841 -0.0968781 0.012528  0.00274295 -0.115763 11.5106  0.00274295 -0.115763 11.5106  - - -  - - -  74.8563 67.2221 70.9728 71.0349 - - - - - - - 71.0732 - - - - 139 146 0 71 0 0 0 0
1701447720.623520000  1000.9 0 49.9972  -  nan  0.0918645 -0.025555 0.0190655  0.0918645 -0.025555 0.0190655  -0.0705486 0.155187 9.20436  -0.0705486 0.155187 9.20436  - - -  - - -  74.0782 67.5487 70.867 70.3245 - - - - - 67.4491 71.7154 - - - - - 139 146 0 71 0 0 0 0
