# logged on Fri Dec  1 17:29:21 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701448161.650994000  999.161 0 49.9963  16.125  nan  0.0619126 -0.0842443 -0.00810313  0.0619126 -0.0842443 -0.00810313  -0.0328762 0.0441598 10.2988  -0.0328762 0.0441598 10.2988  nan nan nan  nan nan nan  73.9973 68.2173 71.7494 70.9877 - - - - 75.3466 69.4155 72.1501 70.2346 nan nan nan nan 139 0 0 70 0 0 0 0
1701448161.655995000  999.157 0 49.9977  -  nan  0.0192094 0.0177936 -0.00104048  0.0192094 0.0177936 -0.00104048  0.0163557 0.00583534 9.33252  0.0163557 0.00583534 9.33252  - - -  - - -  73.5556 67.4374 72.2385 71.3682 - - - - 73.9426 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.660989000  999.156 0 49.9977  -  nan  0.0190638 -0.0263073 -0.0130872  0.0190638 -0.0263073 -0.0130872  0.060763 0.00217496 9.67537  0.060763 0.00217496 9.67537  - - -  - - -  74.0327 67.659 71.8697 71.437 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.666744000  999.151 0 49.997  -  nan  0.0765787 -0.0260271 0.00443819  0.0765787 -0.0260271 0.00443819  0.012206 -0.00332092 10.1893  0.012206 -0.00332092 10.1893  - - -  - - -  73.9359 67.328 72.1016 71.6273 - - - - - 68.8137 - 72.1501 - - - - 139 0 0 70 0 0 0 0
1701448161.671028000  999.147 0 49.9963  -  nan  0.0334652 0.0182704 0.0135161  0.0334652 0.0182704 0.0135161  0.0597789 -0.0453057 9.56557  0.0597789 -0.0453057 9.56557  - - -  - - -  73.8282 67.0544 71.9188 71.9143 - - - - - - 71.9321 - - - - - 139 0 0 70 0 0 0 0
1701448161.676019000  999.143 0 49.9967  -  nan  0.0920284 -0.0260973 0.00549847  0.0920284 -0.0260973 0.00549847  0.015955 0.0502604 9.72824  0.015955 0.0502604 9.72824  - - -  - - -  74.0575 67.2964 71.555 72.0951 - - - - 73.4862 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.681006000  999.141 0 49.9967  -  nan  0.0620958 -0.0112374 0.0165206  0.0620958 -0.0112374 0.0165206  0.012206 -0.00332092 10.1893  0.012206 -0.00332092 10.1893  - - -  - - -  73.8313 66.8779 71.8172 72.531 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.686012000  999.14 0 49.997  -  nan  0.0478217 0.032929 0.0275777  0.0478217 0.032929 0.0275777  0.0126067 -0.047746 9.79358  0.0126067 -0.047746 9.79358  - - -  - - -  73.959 67.0429 71.4866 72.3945 - - - - - 67.2585 - - - - - - 139 0 0 70 0 0 0 0
1701448161.691028000  999.139 0 49.9949  -  nan  0.0622598 -0.0117797 0.00295362  0.0622598 -0.0117797 0.00295362  0.0591041 -0.00148542 10.0179  0.0591041 -0.00148542 10.0179  - - -  - - -  74.0633 67.1058 71.2483 72.7287 - - - - - - 72.59 72.3694 - - - - 139 0 0 70 0 0 0 0
1701448161.695997000  999.145 0 49.9944  -  nan  0.0193478 0.0608815 0.0110416  0.0193478 0.0608815 0.0110416  0.016697 0.0981509 9.89454  0.016697 0.0981509 9.89454  - - -  - - -  73.9662 66.8579 71.4799 72.6712 - - - - 74.173 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.701002000  999.151 0 49.9944  -  nan  0.0337299 0.0319099 -0.000545863  0.0337299 0.0319099 -0.000545863  0.0610371 0.00277971 9.61878  0.0610371 0.00277971 9.61878  - - -  - - -  74.3963 67.1739 70.9733 72.2882 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.705998000  999.156 0 49.996  -  nan  0.0335843 -0.012191 -0.0125926  0.0335843 -0.012191 -0.0125926  0.0606412 0.0472154 10.0135  0.0606412 0.0472154 10.0135  - - -  - - -  74.5221 66.9165 71.1853 72.2861 - - - - - 66.6933 - - - - - - 139 0 0 70 0 0 0 0
1701448161.711001000  999.156 0 49.9939  -  nan  -0.0246766 0.0747223 -0.00605987  -0.0246766 0.0747223 -0.00605987  0.0623001 0.0508758 9.67099  0.0623001 0.0508758 9.67099  - - -  - - -  74.306 66.8156 71.4562 72.0608 - - - - - - 71.5001 73.2601 - - - - 139 0 0 70 0 0 0 0
1701448161.716008000  999.154 0 49.9945  -  nan  0.00359573 0.0184061 0.0114662  0.00359573 0.0184061 0.0114662  0.018077 0.101196 9.6096  0.018077 0.101196 9.6096  - - -  - - -  74.6817 67.2428 70.9632 71.8214 - - - - 75.3466 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.721009000  999.159 0 49.9945  -  nan  -0.0541911 0.00347343 0.00803818  -0.0541911 0.00347343 0.00803818  0.0589823 0.043555 10.356  0.0589823 0.043555 10.356  - - -  - - -  74.332 67.1142 71.1778 71.9878 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.726006000  999.159 0 49.9951  -  nan  -0.0682637 0.0760036 0.0181053  -0.0682637 0.0760036 0.0181053  0.0652493 0.103636 9.3816  0.0652493 0.103636 9.3816  - - -  - - -  74.1582 67.5237 71.0734 71.4287 - - - - - 66.1376 - - - - - - 139 0 0 70 0 0 0 0
1701448161.731000000  999.158 0 49.9951  -  nan  -0.0251429 0.0327191 0.00899206  -0.0251429 0.0327191 0.00899206  0.01863 0.102416 9.49543  0.01863 0.102416 9.49543  - - -  - - -  74.4178 67.8231 70.7664 71.3745 - - - - - - 70.8617 71.9321 - - - - 139 0 0 70 0 0 0 0
1701448161.736007000  999.158 0 49.9946  -  nan  -0.097715 -0.0099695 0.0191314  -0.097715 -0.0099695 0.0191314  0.0576022 0.04051 10.641  0.0576022 0.04051 10.641  - - -  - - -  74.2289 67.6506 70.9765 71.5829 - - - - 72.59 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.741002000  999.161 0 49.9946  -  nan  -0.0826834 0.0760691 0.0171157  -0.0826834 0.0760691 0.0171157  0.019736 0.104856 9.26709  0.019736 0.104856 9.26709  - - -  - - -  73.6304 67.9501 71.1592 70.9897 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.746029000  999.158 0 49.9961  -  nan  -0.0394995 0.0180604 -0.00506955  -0.0394995 0.0180604 -0.00506955  0.01725 0.099371 9.78036  0.01725 0.099371 9.78036  - - -  - - -  73.894 67.986 71.0561 71.1118 - - - - - 67.8334 - - - - - - 139 0 0 70 0 0 0 0
1701448161.751018000  999.159 0 49.9941  -  nan  -0.0975511 -0.0105118 0.00556438  -0.0975511 -0.0105118 0.00556438  0.0570492 0.0392899 10.7551  0.0570492 0.0392899 10.7551  - - -  - - -  73.6134 67.4839 71.474 71.3171 - - - - - - 71.0732 70.8617 - - - - 139 0 0 70 0 0 0 0
1701448161.756066000  999.16 0 49.9947  -  nan  -0.0393355 0.0175181 -0.0186365  -0.0393355 0.0175181 -0.0186365  0.0181669 0.0551409 9.27155  0.0181669 0.0551409 9.27155  - - -  - - -  73.3581 67.5135 71.6251 70.8964 - - - - 72.812 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.761022000  999.16 0 49.9947  -  nan  -0.0395443 -0.0118586 -0.0176112  -0.0395443 -0.0118586 -0.0176112  0.0169711 0.0987557 9.83795  0.0169711 0.0987557 9.83795  - - -  - - -  73.3636 67.1388 71.903 71.2817 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.766019000  999.158 0 49.9952  -  nan  -0.0971784 0.0183226 -0.00902793  -0.0971784 0.0183226 -0.00902793  0.0584293 0.0423349 10.4702  0.0584293 0.0423349 10.4702  - - -  - - -  72.9568 66.7067 72.3322 71.3606 - - - - - 68.6153 - - - - - - 139 0 0 70 0 0 0 0
1701448161.771019000  999.155 0 49.9934  -  nan  -0.0248782 0.0463586 -0.00506991  -0.0248782 0.0463586 -0.00506991  -0.0265146 0.0581965 8.98529  -0.0265146 0.0581965 8.98529  - - -  - - -  72.731 66.8 72.0577 71.061 - - - - - - 72.1501 70.6514 - - - - 139 0 0 70 0 0 0 0
1701448161.776011000  999.148 0 49.9951  -  nan  -0.0396075 0.00286557 -0.00453921  -0.0396075 0.00286557 -0.00453921  0.014849 0.0478201 9.95658  0.014849 0.0478201 9.95658  - - -  - - -  72.7948 66.5228 72.1695 71.6072 - - - - 73.2601 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.781010000  999.143 0 49.9951  -  nan  -0.082721 0.0471631 0.0045387  -0.082721 0.0471631 0.0045387  0.105997 0.000339461 9.84746  0.105997 0.000339461 9.84746  - - -  - - -  72.2247 66.0619 72.2439 71.8225 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.786015000  999.141 0 49.9966  -  nan  -0.0104208 0.0751991 0.00849672  -0.0104208 0.0751991 0.00849672  0.0189987 0.0569764 9.0998  0.0189987 0.0569764 9.0998  - - -  - - -  72.2872 66.1709 71.9511 72.0342 - - - - - 67.4491 - - - - - - 139 0 0 70 0 0 0 0
1701448161.791021000  999.141 0 49.9964  -  nan  -0.0538816 0.047032 0.00651789  -0.0538816 0.047032 0.00651789  0.0585511 -0.00270555 10.1321  0.0585511 -0.00270555 10.1321  - - -  - - -  72.3274 65.6089 72.0762 72.5747 - - - - - - 71.0732 71.0732 - - - - 139 0 0 70 0 0 0 0
1701448161.796016000  999.138 0 49.9968  -  nan  -0.0679989 0.0896431 0.00404336  -0.0679989 0.0896431 0.00404336  0.109594 0.00827559 9.10485  0.109594 0.00827559 9.10485  - - -  - - -  71.9327 65.212 72.0926 72.4728 - - - - 72.3694 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.801017000  999.14 0 49.9968  -  nan  -0.0390587 0.103694 0.00552758  -0.0390587 0.103694 0.00552758  0.0635903 0.0999758 9.72411  0.0635903 0.0999758 9.72411  - - -  - - -  72.046 65.1354 72.0131 72.6915 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.806024000  999.14 0 49.9971  -  nan  -0.082381 0.118615 0.0156308  -0.082381 0.118615 0.0156308  0.103668 0.04051 10.6413  0.103668 0.04051 10.6413  - - -  - - -  71.9137 64.7688 71.9942 72.8686 - - - - - 65.7722 - - - - - - 139 0 0 70 0 0 0 0
1701448161.811026000  999.14 0 49.9968  -  nan  -0.0822803 0.132797 0.0151358  -0.0822803 0.132797 0.0151358  0.158299 0.059406 8.87346  0.158299 0.059406 8.87346  - - -  - - -  71.4714 64.576 71.6597 72.6811 - - - - - - 72.3694 73.2601 - - - - 139 0 0 70 0 0 0 0
1701448161.816018000  999.138 0 49.9961  -  nan  -0.110911 0.162304 0.0121313  -0.110911 0.162304 0.0121313  0.0662654 0.152131 9.4913  0.0662654 0.152131 9.4913  - - -  - - -  71.7092 64.4652 71.6937 73.1166 - - - - 72.59 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.821024000  999.139 0 49.9961  -  nan  -0.140717 0.147716 -0.00299057  -0.140717 0.147716 -0.00299057  0.149735 0.04051 10.6416  0.149735 0.04051 10.6416  - - -  - - -  71.7254 64.396 71.6432 72.9928 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.826010000  999.138 0 49.9975  -  nan  -0.125831 0.189654 -0.0170529  -0.125831 0.189654 -0.0170529  0.1127 0.106692 9.09601  0.1127 0.106692 9.09601  - - -  - - -  71.4685 64.1733 71.5335 72.5839 - - - - - 64.6998 - - - - - - 139 0 0 70 0 0 0 0
1701448161.831026000  999.137 0 49.9989  -  nan  -0.1832 0.233474 -0.0225316  -0.1832 0.233474 -0.0225316  0.112332 0.152131 9.49164  0.112332 0.152131 9.49164  - - -  - - -  71.8142 64.0011 71.6714 72.618 - - - - - - 71.9321 72.812 - - - - 139 0 0 70 0 0 0 0
1701448161.836013000  999.138 0 49.9991  -  nan  -0.213335 0.219971 -0.0105195  -0.213335 0.219971 -0.0105195  0.151304 0.0902254 10.6372  0.151304 0.0902254 10.6372  - - -  - - -  71.9948 64.1101 71.4822 72.3285 - - - - 72.3694 - - - - - - - 139 0 0 70 0 0 0 0
1701448161.841022000  999.137 0 49.9991  -  nan  -0.213133 0.248334 -0.0115094  -0.213133 0.248334 -0.0115094  0.15932 0.107912 8.98217  0.15932 0.107912 8.98217  - - -  - - -  71.8204 63.8856 71.3671 72.134 - - - - - - - - - - - - 139 0 0 70 0 0 0 0
1701448161.846025000  999.136 0 49.9991  -  nan  -0.271268 0.305799 -0.0311208  -0.271268 0.305799 -0.0311208  0.157571 0.150307 9.66274  0.157571 0.150307 9.66274  - - -  - - -  72.0405 64.0676 71.3982 72.1766 - - - - - 64.0041 - - - - - - 139 0 0 70 0 0 0 0
