# logged on Fri Dec  1 17:38:01 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701448681.636255000  1000.27 0 49.9846  15.931  nan  -0.0251429 0.0327191 0.00899206  -0.0251429 0.0327191 0.00899206  0.0561822 -0.0532418 10.3082  0.0561822 -0.0532418 10.3082  nan nan nan  nan nan nan  73.8967 67.6848 72.8427 72.6337 - - - - 73.0353 68.4182 72.59 71.5001 nan nan nan nan 138 146 0 70 0 0 0 0
1701448681.641254000  1000.27 0 49.9846  -  nan  0.0770522 0.0169891 -0.0106491  0.0770522 0.0169891 -0.0106491  -0.0774358 0.00217496 9.67436  -0.0774358 0.00217496 9.67436  - - -  - - -  74.0915 67.9227 72.4088 72.2779 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.646246000  1000.27 0 49.9846  -  nan  0.0335211 0.00253321 0.000479449  0.0335211 0.00253321 0.000479449  0.10655 0.00155959 9.73329  0.10655 0.00155959 9.73329  - - -  - - -  74.2482 67.1675 72.5317 72.8526 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.651251000  1000.27 0 49.9841  -  nan  0.00369652 0.032588 0.0109713  0.00369652 0.032588 0.0109713  0.0120537 -0.0489661 9.90775  0.0120537 -0.0489661 9.90775  - - -  - - -  74.203 67.141 72.5731 72.7902 - - - - - - 73.2601 - - - - - 138 146 0 70 0 0 0 0
1701448681.656243000  1000.27 0 49.9868  -  nan  0.106814 0.00165853 -0.00806888  0.106814 0.00165853 -0.00806888  0.0146968 0.00217496 9.67503  0.0146968 0.00217496 9.67503  - - -  - - -  74.2043 67.3597 72.3481 72.6705 - - - - 74.173 67.6407 - 71.0732 - - - - 138 146 0 70 0 0 0 0
1701448681.661264000  1000.27 0 49.9868  -  nan  0.0335211 0.00253321 0.000479449  0.0335211 0.00253321 0.000479449  0.0582722 -0.00332092 10.1896  0.0582722 -0.00332092 10.1896  - - -  - - -  74.1837 66.5551 72.6322 73.3152 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.666266000  1000.27 0 49.9868  -  nan  0.0192094 0.0177936 -0.00104048  0.0192094 0.0177936 -0.00104048  0.0149708 0.00277971 9.61844  0.0149708 0.00277971 9.61844  - - -  - - -  73.994 66.8175 72.5534 72.9963 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.671267000  1000.26 0 49.9871  -  nan  0.0921292 -0.0119155 0.0050035  0.0921292 -0.0119155 0.0050035  -0.0295583 0.0514805 9.61373  -0.0295583 0.0514805 9.61373  - - -  - - -  74.0677 67.0982 72.4603 72.8478 - - - - - - 72.1501 - - - - - 138 146 0 70 0 0 0 0
1701448681.676264000  1000.25 0 49.9883  -  nan  -0.0110959 0.00381915 0.024574  -0.0110959 0.00381915 0.024574  0.103786 -0.00454105 10.3041  0.103786 -0.00454105 10.3041  - - -  - - -  73.9489 66.7041 72.6159 73.3155 - - - - 74.173 66.8807 - 73.7137 - - - - 138 146 0 70 0 0 0 0
1701448681.681260000  1000.24 0 49.9883  -  nan  0.00343177 0.0189485 0.0250332  0.00343177 0.0189485 0.0250332  -0.0753457 0.0520959 9.55581  -0.0753457 0.0520959 9.55581  - - -  - - -  73.7647 67.4568 72.3443 72.8203 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.686287000  1000.24 0 49.9883  -  nan  0.0331556 -0.0252882 0.0150364  0.0331556 -0.0252882 0.0150364  0.0151279 0.0484355 9.899  0.0151279 0.0484355 9.899  - - -  - - -  73.84 67.6683 72.2995 72.8705 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.691274000  1000.23 0 49.9867  -  nan  -0.0542919 -0.0107084 0.00853316  -0.0542919 -0.0107084 0.00853316  0.014849 0.0478201 9.95658  0.014849 0.0478201 9.95658  - - -  - - -  73.5804 67.4706 72.5252 72.9994 - - - - - - 72.59 73.0353 - - - - 138 146 0 70 0 0 0 0
1701448681.696274000  1000.22 0 49.9892  -  nan  -0.0105592 0.0321112 -0.00358534  -0.0105592 0.0321112 -0.00358534  -0.0756246 0.0514805 9.61339  -0.0756246 0.0514805 9.61339  - - -  - - -  73.5002 67.8948 72.4374 72.4062 - - - - 74.4048 67.0691 - - - - - - 138 146 0 70 0 0 0 0
1701448681.701275000  1000.23 0 49.9892  -  nan  0.00334934 -0.0398766 -8.54921e-05  0.00334934 -0.0398766 -8.54921e-05  0.0603623 0.0466 10.0711  0.0603623 0.0466 10.0711  - - -  - - -  73.9064 67.7768 72.4889 72.395 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.706268000  1000.22 0 49.9892  -  nan  -0.0829674 -0.0111197 -0.00701302  -0.0829674 -0.0111197 -0.00701302  0.0164181 0.0975355 9.95212  0.0164181 0.0975355 9.95212  - - -  - - -  73.4765 67.6557 72.8257 72.2221 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.711266000  1000.22 0 49.9894  -  nan  -0.0394995 0.0180604 -0.00506955  -0.0394995 0.0180604 -0.00506955  -0.0735025 0.102416 9.49476  -0.0735025 0.102416 9.49476  - - -  - - -  73.5801 68.1016 72.7748 71.7233 - - - - - - 72.3694 72.1501 - - - - 138 146 0 70 0 0 0 0
1701448681.716252000  1000.22 0 49.9895  -  nan  -0.0398466 -0.0544042 -0.0161263  -0.0398466 -0.0544042 -0.0161263  0.0600882 0.0459952 10.1277  0.0600882 0.0459952 10.1277  - - -  - - -  73.5946 68.0081 72.815 71.7908 - - - - 73.2601 67.4491 - - - - - - 138 146 0 70 0 0 0 0
1701448681.721270000  1000.22 0 49.9895  -  nan  -0.0973871 -0.0110541 -0.00800262  -0.0973871 -0.0110541 -0.00800262  -0.0268833 0.103636 9.38092  -0.0268833 0.103636 9.38092  - - -  - - -  73.3356 67.863 73.1657 71.4312 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.726245000  1000.22 0 49.9895  -  nan  -0.039809 -0.0254981 -0.00354926  -0.039809 -0.0254981 -0.00354926  -0.0303854 0.0496556 9.78449  -0.0303854 0.0496556 9.78449  - - -  - - -  73.5602 68.412 73.0641 71.1714 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.731272000  1000.21 0 49.9897  -  nan  -0.0398466 -0.0544042 -0.0161263  -0.0398466 -0.0544042 -0.0161263  0.104064 -0.00392568 10.2466  0.104064 -0.00392568 10.2466  - - -  - - -  73.4995 68.3158 73.1435 71.3151 - - - - - - 73.0353 71.5001 - - - - 138 146 0 70 0 0 0 0
1701448681.736268000  1000.19 0 49.9897  -  nan  -0.0539192 0.018126 -0.00605914  -0.0539192 0.018126 -0.00605914  -0.0238443 0.110342 8.75347  -0.0238443 0.110342 8.75347  - - -  - - -  73.3234 68.171 73.2529 71.2309 - - - - 73.9426 67.2585 - - - - - - 138 146 0 70 0 0 0 0
1701448681.741263000  1000.18 0 49.9897  -  nan  -0.0252885 -0.0113818 -0.00305464  -0.0252885 -0.0113818 -0.00305464  -0.0317702 0.0466 10.0704  -0.0317702 0.0466 10.0704  - - -  - - -  73.8703 68.4749 73.0057 71.5562 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.746263000  1000.16 0 49.9897  -  nan  -0.039809 -0.0254981 -0.00354926  -0.039809 -0.0254981 -0.00354926  0.0577193 -0.00454105 10.3038  0.0577193 -0.00454105 10.3038  - - -  - - -  73.6401 68.3488 73.0957 71.5673 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.751247000  1000.15 0 49.9879  -  nan  -0.0251429 0.0327191 0.00899206  -0.0251429 0.0327191 0.00899206  -0.0246714 0.108517 8.92423  -0.0246714 0.108517 8.92423  - - -  - - -  73.4076 68.2388 73.0957 71.5626 - - - - - - 73.2601 70.028 - - - - 138 146 0 70 0 0 0 0
1701448681.756264000  1000.15 0 49.9883  -  nan  -0.010932 0.00327683 0.011007  -0.010932 0.00327683 0.011007  0.104617 -0.00270555 10.1324  0.104617 -0.00270555 10.1324  - - -  - - -  73.8117 68.4163 72.8199 71.8768 - - - - 73.2601 67.2585 - - - - - - 138 146 0 70 0 0 0 0
1701448681.761262000  1000.15 0 49.9883  -  nan  0.0187359 -0.0252226 0.0140468  0.0187359 -0.0252226 0.0140468  0.057567 -0.0501862 10.0223  0.057567 -0.0501862 10.0223  - - -  - - -  73.6342 68.0927 72.8145 72.0254 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.766252000  1000.15 0 49.9883  -  nan  0.019083 0.047242 0.0251036  0.019083 0.047242 0.0251036  -0.0270675 0.0569764 9.09946  -0.0270675 0.0569764 9.09946  - - -  - - -  73.3319 67.8601 72.8865 72.3152 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.771265000  1000.15 0 49.9887  -  nan  0.0192094 0.0177936 -0.00104048  0.0192094 0.0177936 -0.00104048  0.10517 -0.00148542 10.0182  0.10517 -0.00148542 10.0182  - - -  - - -  73.7172 67.8966 72.5929 72.6866 - - - - - - 71.7154 70.6514 - - - - 138 146 0 70 0 0 0 0
1701448681.776260000  1000.15 0 49.9871  -  nan  0.0334203 -0.0116486 0.000974428  0.0334203 -0.0116486 0.000974428  0.05812 -0.0489661 9.90809  0.05812 -0.0489661 9.90809  - - -  - - -  73.5903 67.5854 72.6978 72.7409 - - - - 74.173 68.0272 - - - - - - 138 146 0 70 0 0 0 0
1701448681.781262000  1000.15 0 49.9871  -  nan  0.0336036 0.0613583 0.0255982  0.0336036 0.0613583 0.0255982  0.0160768 0.00521997 9.3901  0.0160768 0.00521997 9.3901  - - -  - - -  73.4462 67.3461 72.8658 72.8831 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.786256000  1000.15 0 49.9871  -  nan  0.0334203 -0.0116486 0.000974428  0.0334203 -0.0116486 0.000974428  0.102684 -0.00697069 10.5315  0.102684 -0.00697069 10.5315  - - -  - - -  73.7003 67.3127 72.5485 73.2204 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.791246000  1000.15 0 49.9874  -  nan  0.0336291 0.0177281 -5.08847e-05  0.0336291 0.0177281 -5.08847e-05  0.061869 0.00461521 9.44702  0.061869 0.00461521 9.44702  - - -  - - -  73.2214 66.7352 72.7987 73.1687 - - - - - - 72.3694 - - - - - 138 146 0 70 0 0 0 0
1701448681.796257000  1000.14 0 49.9863  -  nan  0.0338307 0.0460918 -0.00104084  0.0338307 0.0460918 -0.00104084  0.0165079 0.0514805 9.61407  0.0165079 0.0514805 9.61407  - - -  - - -  73.2422 66.5295 73.0194 73.2483 - - - - 72.812 68.2221 - 73.9426 - - - - 138 146 0 70 0 0 0 0
1701448681.801253000  1000.15 0 49.9863  -  nan  0.0191014 0.00259875 -0.000510146  0.0191014 0.00259875 -0.000510146  0.0566181 -0.00697069 10.5312  0.0566181 -0.00697069 10.5312  - - -  - - -  73.4022 66.1729 73.0147 73.3867 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.806249000  1000.16 0 49.9863  -  nan  0.00396126 0.0462275 -0.00309072  0.00396126 0.0462275 -0.00309072  -0.0290054 0.0527006 9.49956  -0.0290054 0.0527006 9.49956  - - -  - - -  72.8287 66.0208 73.1226 73.2301 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.811249000  1000.15 0 49.9877  -  nan  0.019247 0.0466996 0.0115366  0.019247 0.0466996 0.0115366  0.0628531 0.0520959 9.55682  0.0628531 0.0520959 9.55682  - - -  - - -  72.8994 66.0198 73.0483 73.3788 - - - - - - 73.0353 - - - - - 138 146 0 70 0 0 0 0
1701448681.816260000  1000.14 0 49.9856  -  nan  -0.0252437 0.0185372 0.00948704  -0.0252437 0.0185372 0.00948704  0.0119319 -0.00392568 10.2459  0.0119319 -0.00392568 10.2459  - - -  - - -  72.7279 65.9221 73.0479 73.5703 - - - - 73.7137 66.3218 - 73.7137 - - - - 138 146 0 70 0 0 0 0
1701448681.821254000  1000.14 0 49.9856  -  nan  -0.0392979 0.0464241 -0.0060595  -0.0392979 0.0464241 -0.0060595  -0.0274363 0.102416 9.49509  -0.0274363 0.102416 9.49509  - - -  - - -  72.319 65.9186 73.1426 73.372 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.826280000  1000.13 0 49.9856  -  nan  -0.0394995 0.0180604 -0.00506955  -0.0394995 0.0180604 -0.00506955  0.109383 0.099371 9.78104  0.109383 0.099371 9.78104  - - -  - - -  72.3498 65.9742 73.2098 73.2672 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.831266000  1000.12 0 49.988  -  nan  -0.082721 0.0471631 0.0045387  -0.082721 0.0471631 0.0045387  0.0156809 0.0496556 9.78483  0.0156809 0.0496556 9.78483  - - -  - - -  72.0718 65.7906 73.4448 73.1777 - - - - - - 73.2601 - - - - - 138 146 0 70 0 0 0 0
1701448681.836256000  1000.12 0 49.9886  -  nan  -0.067835 0.0891008 -0.00952363  -0.067835 0.0891008 -0.00952363  0.0189089 0.103031 9.43785  0.0189089 0.103031 9.43785  - - -  - - -  72.0277 65.8506 73.3646 72.9993 - - - - 72.59 65.4108 - 73.9426 - - - - 138 146 0 70 0 0 0 0
1701448681.841247000  1000.11 0 49.9886  -  nan  -0.096876 0.0608681 -0.0105129  -0.096876 0.0608681 -0.0105129  0.110952 0.149086 9.77657  0.110952 0.149086 9.77657  - - -  - - -  71.9707 65.681 73.335 73.1033 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.846263000  1000.11 0 49.9886  -  nan  -0.140964 0.0894331 -0.0145423  -0.140964 0.0894331 -0.0145423  0.0636802 0.0539208 9.38606  0.0636802 0.0539208 9.38606  - - -  - - -  71.8627 65.722 73.4339 72.7544 - - - - - - - - - - - - 138 146 0 70 0 0 0 0
1701448681.851263000  1000.11 0 49.9897  -  nan  -0.126342 0.117731 -0.0145427  -0.126342 0.117731 -0.0145427  0.0646065 0.148471 9.83382  0.0646065 0.148471 9.83382  - - -  - - -  71.987 65.7956 73.4277 72.5111 - - - - - - 71.9321 - - - - - 138 146 0 70 0 0 0 0
