# pom logged on Fri Dec  1 17:55:47 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1701449747.197284000 0 1 1 1 1 1 -1.99304 -1.01824 1.47066 -0.00609477 -0.0153694 -0.00992582 0.0312582 -0.0173379 0.00567506 -0.110174 -0.0706416 0.169442 0.000968998 0.0378726 0.424892 1.41249e-06 1.41248e-06 1.24902e-06 5.6723e-06 5.67104e-06 7.27868e-06 7.96024e-05 7.96024e-05 6.13666e-05 7.96024e-05 7.96024e-05 6.13666e-05 0.0775815 0.0775815 0.0770291
1701449747.201270000 0 1 1 1 1 1 -1.99292 -1.01831 1.47065 -0.00678094 -0.0152256 -0.00912946 0.0305836 -0.0169322 0.00245885 -0.133318 -0.0280254 0.180288 -0.0571406 0.0592712 0.00538106 1.47697e-06 1.47697e-06 1.29964e-06 5.71665e-06 5.7154e-06 7.32306e-06 8.16287e-05 8.16287e-05 6.26365e-05 8.16287e-05 8.16287e-05 6.26365e-05 0.0663917 0.0663917 0.0658347
1701449747.206274000 0 1 1 1 1 1 -1.99265 -1.01853 1.47074 -0.00741899 -0.0155542 -0.00813147 0.0309728 -0.0174386 0.00715461 -0.132613 -0.0504344 0.187538 -0.0499113 0.0489422 0.357511 1.41517e-06 1.41516e-06 1.25124e-06 5.67635e-06 5.67505e-06 7.28195e-06 7.99145e-05 7.99146e-05 6.16598e-05 7.99145e-05 7.99146e-05 6.16598e-05 0.0687384 0.0687384 0.0681946
1701449747.211275000 0 1 1 1 1 1 -1.9924 -1.01873 1.47083 -0.00786428 -0.0164848 -0.00717153 0.0315269 -0.0176445 0.00999705 -0.118231 -0.105871 0.187646 -0.0297844 0.0567617 0.394605 1.37255e-06 1.37255e-06 1.21773e-06 5.6279e-06 5.62646e-06 7.23285e-06 7.8236e-05 7.82361e-05 6.04613e-05 7.8236e-05 7.82361e-05 6.04613e-05 0.0638597 0.0638597 0.0633069
1701449747.218282000 0 1 1 1 1 1 -1.99219 -1.01885 1.47085 -0.00908655 -0.0167998 -0.00574275 0.0304769 -0.0166285 0.00686113 -0.145875 -0.0734754 0.193719 -0.0822911 0.0959591 0.0337287 1.48486e-06 1.48485e-06 1.30607e-06 5.8026e-06 5.80106e-06 7.40756e-06 8.32609e-05 8.3261e-05 6.41723e-05 8.32609e-05 8.3261e-05 6.41723e-05 0.102879 0.102879 0.102326
1701449747.223240000 0 1 1 1 1 1 -1.99194 -1.01905 1.47097 -0.00962859 -0.017844 -0.00492455 0.0310971 -0.0173381 0.0121053 -0.13185 -0.13375 0.180247 -0.042456 0.0518394 0.382324 1.43578e-06 1.43577e-06 1.26773e-06 5.7608e-06 5.75906e-06 7.3652e-06 8.18458e-05 8.18459e-05 6.33341e-05 8.18458e-05 8.18459e-05 6.33341e-05 0.096729 0.096729 0.096179
1701449747.228256000 0 1 1 1 1 1 -1.9917 -1.01925 1.47103 -0.0104218 -0.0184457 -0.00411359 0.0305343 -0.0169423 0.00842666 -0.146328 -0.127729 0.170621 -0.106759 0.105616 -0.0750633 1.38491e-06 1.3849e-06 1.22785e-06 5.66246e-06 5.66064e-06 7.26655e-06 7.91653e-05 7.91654e-05 6.1261e-05 7.91653e-05 7.91654e-05 6.1261e-05 0.0677684 0.0677684 0.0672209
1701449747.233299000 0 1 1 1 1 1 -1.99154 -1.01933 1.47106 -0.0112527 -0.0189409 -0.00329927 0.0300155 -0.0163487 0.00767686 -0.152807 -0.120077 0.165406 -0.101779 0.107493 -0.0619715 1.46556e-06 1.46556e-06 1.29138e-06 5.70383e-06 5.70189e-06 7.30795e-06 8.11032e-05 8.11034e-05 6.23087e-05 8.11032e-05 8.11034e-05 6.23087e-05 0.0645232 0.0645232 0.0639937
1701449747.238240000 0 1 1 1 1 1 -1.9913 -1.01953 1.47118 -0.0118324 -0.0200354 -0.00254945 0.0303361 -0.0167074 0.0120628 -0.14103 -0.161905 0.158822 -0.0776336 0.0867334 0.23928 1.416e-06 1.416e-06 1.25269e-06 5.765e-06 5.7628e-06 7.36892e-06 8.13903e-05 8.13904e-05 6.32009e-05 8.13903e-05 8.13904e-05 6.32009e-05 0.101499 0.101499 0.100973
1701449747.243258000 0 1 1 1 1 1 -1.99116 -1.01961 1.47118 -0.0126813 -0.0204945 -0.00176291 0.0293927 -0.0157688 0.00599528 -0.155112 -0.129193 0.157584 -0.118813 0.124629 -0.304919 1.49798e-06 1.49798e-06 1.31712e-06 5.75043e-06 5.74814e-06 7.35441e-06 8.25143e-05 8.25144e-05 6.33977e-05 8.25143e-05 8.25144e-05 6.33977e-05 0.0688489 0.0688489 0.0683186
1701449747.248272000 0 1 1 1 1 1 -1.99092 -1.01981 1.47129 -0.0133377 -0.0211799 -0.00090371 0.0297884 -0.0159193 0.0101175 -0.146291 -0.139097 0.160884 -0.0785524 0.108104 0.128207 1.44556e-06 1.44556e-06 1.27631e-06 5.72366e-06 5.72121e-06 7.32752e-06 8.11464e-05 8.11466e-05 6.26906e-05 8.11464e-05 8.11466e-05 6.26906e-05 0.0697782 0.0697781 0.069259
1701449747.253800000 0 1 1 1 1 1 -1.99067 -1.02002 1.47141 -0.014101 -0.0221514 -1.13387e-05 0.0296276 -0.0163816 0.0133425 -0.144987 -0.156573 0.159198 -0.0906781 0.0775804 0.257633 1.40258e-06 1.40258e-06 1.24276e-06 5.69838e-06 5.69571e-06 7.30229e-06 7.98832e-05 7.98833e-05 6.19259e-05 7.98832e-05 7.98833e-05 6.19259e-05 0.07706 0.07706 0.0765237
1701449747.258250000 0 1 1 1 1 1 -1.99054 -1.02009 1.47142 -0.0147643 -0.022541 0.00070909 0.029024 -0.0153771 0.0089575 -0.146378 -0.131905 0.159247 -0.105368 0.123068 -0.128512 1.47447e-06 1.47446e-06 1.29941e-06 5.76672e-06 5.7639e-06 7.37065e-06 8.22318e-05 8.22319e-05 6.34474e-05 8.22318e-05 8.22319e-05 6.34474e-05 0.088663 0.088663 0.0881231
1701449747.263787000 0 1 1 1 1 1 -1.9903 -1.02029 1.47152 -0.0156068 -0.0231011 0.00168677 0.0292747 -0.0153657 0.0117507 -0.150117 -0.12265 0.164831 -0.0750418 0.111606 0.126874 1.42947e-06 1.42947e-06 1.26437e-06 5.80321e-06 5.80023e-06 7.40698e-06 8.21277e-05 8.21278e-05 6.3915e-05 8.21277e-05 8.21278e-05 6.3915e-05 0.111076 0.111076 0.110549
1701449747.268252000 0 1 1 1 1 1 -1.99017 -1.02036 1.47158 -0.0162594 -0.0238217 0.0024636 0.028655 -0.0148879 0.0127386 -0.147056 -0.134992 0.166467 -0.0963679 0.116504 0.12128 1.50286e-06 1.50286e-06 1.32211e-06 5.75567e-06 5.75253e-06 7.35954e-06 8.2477e-05 8.24771e-05 6.34052e-05 8.2477e-05 8.24771e-05 6.34052e-05 0.0674139 0.0674139 0.0668674
1701449747.273269000 0 1 1 1 1 1 -1.98995 -1.02055 1.47165 -0.0167881 -0.0242481 0.00331639 0.0285069 -0.0144201 0.00986023 -0.132624 -0.118005 0.166794 -0.100262 0.151753 -0.125328 1.45273e-06 1.45273e-06 1.28313e-06 5.70604e-06 5.7028e-06 7.31009e-06 8.05812e-05 8.05813e-05 6.21373e-05 8.05812e-05 8.05813e-05 6.21373e-05 0.0638483 0.0638482 0.0633164
1701449747.278204000 0 1 1 1 1 1 -1.98973 -1.02076 1.47177 -0.0175222 -0.0246433 0.00413189 0.0285779 -0.0147633 0.0132326 -0.14084 -0.107542 0.163581 -0.0912678 0.119549 0.145289 1.39461e-06 1.39461e-06 1.23762e-06 5.70645e-06 5.70309e-06 7.31036e-06 7.9519e-05 7.9519e-05 6.17888e-05 7.9519e-05 7.9519e-05 6.17888e-05 0.0870535 0.0870534 0.0865291
1701449747.283201000 0 1 1 1 1 1 -1.98959 -1.02083 1.47181 -0.0180298 -0.025292 0.0049025 0.0280045 -0.0140608 0.0114246 -0.123029 -0.116052 0.15864 -0.0997596 0.129946 -0.0426571 1.47509e-06 1.47509e-06 1.30118e-06 5.78403e-06 5.78045e-06 7.38801e-06 8.22986e-05 8.22986e-05 6.36445e-05 8.22986e-05 8.22986e-05 6.36445e-05 0.0922109 0.0922108 0.091678
1701449747.288265000 0 1 1 1 1 1 -1.98937 -1.02103 1.4719 -0.0184614 -0.0256221 0.00570399 0.0279953 -0.0137377 0.0101979 -0.111138 -0.0986545 0.157027 -0.0929762 0.152081 -0.12052 1.41788e-06 1.41788e-06 1.25646e-06 5.74906e-06 5.74539e-06 7.35283e-06 8.07363e-05 8.07363e-05 6.27888e-05 8.07363e-05 8.07363e-05 6.27888e-05 0.0825449 0.0825448 0.0820232
1701449747.293272000 0 1 1 1 1 1 -1.98923 -1.0211 1.47197 -0.0191999 -0.02591 0.00648618 0.0275646 -0.0134177 0.011942 -0.125018 -0.0824742 0.155284 -0.0914988 0.118645 0.0334569 1.49973e-06 1.49973e-06 1.32102e-06 5.76059e-06 5.75683e-06 7.36443e-06 8.2227e-05 8.22269e-05 6.33508e-05 8.2227e-05 8.22269e-05 6.33508e-05 0.0669408 0.0669407 0.0664079
1701449747.298222000 0 1 1 1 1 1 -1.98903 -1.02129 1.47204 -0.0195594 -0.0262692 0.00720085 0.0273962 -0.0133915 0.010412 -0.106911 -0.0821294 0.149204 -0.0968697 0.124225 -0.0922471 1.44362e-06 1.44362e-06 1.2772e-06 5.8154e-06 5.8115e-06 7.41871e-06 8.22783e-05 8.22782e-05 6.40746e-05 8.22783e-05 8.22782e-05 6.40746e-05 0.102085 0.102085 0.10156
