# logged on Fri Dec  1 17:55:47 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701449747.255725000  1000.06 0 49.9962  15.383  nan  -0.144368 -0.104592 0.156231  -0.144368 -0.104592 0.156231  0.065065 0.0569764 9.10013  0.065065 0.0569764 9.10013  nan nan nan  nan nan nan  69.023 71.4521 69.3228 75.1415 - - - - 70.028 70.2346 70.6514 75.5858 nan nan nan nan 138 146 134 71 0 0 0 0
1701449747.260735000  1000.07 0 49.9976  -  nan  -0.159172 -0.133322 0.170803  -0.159172 -0.133322 0.170803  0.191432 -0.106002 10.5986  0.191432 -0.106002 10.5986  - - -  - - -  69.2358 71.9268 69.0563 75.2213 - - - - - - - 73.7137 - - - - 138 146 134 71 0 0 0 0
1701449747.265754000  1000.08 0 49.9989  -  nan  -0.130434 -0.147635 0.173277  -0.130434 -0.147635 0.173277  0.10655 0.00155959 9.73329  0.10655 0.00155959 9.73329  - - -  - - -  68.8572 72.0271 68.714 75.1859 - - - - - - 68.6153 - - - - - 138 146 134 71 0 0 0 0
1701449747.270770000  1000.1 0 49.998  -  nan  -0.114674 -0.104147 0.172817  -0.114674 -0.104147 0.172817  0.109193 0.0527006 9.50057  0.109193 0.0527006 9.50057  - - -  - - -  68.6587 72.1059 68.7408 75.3775 - - - - 69.4155 - - - - - - - 138 146 134 71 0 0 0 0
1701449747.275743000  1000.1 0 49.9962  -  nan  -0.144368 -0.104592 0.156231  -0.144368 -0.104592 0.156231  0.144902 -0.153277 10.3744  0.144902 -0.153277 10.3744  - - -  - - -  68.7376 72.3167 68.4766 75.5514 - - - - - 72.59 - - - - - - 138 146 134 71 0 0 0 0
1701449747.280733000  1000.11 0 49.9986  -  nan  -0.0855961 -0.119583 0.147188  -0.0855961 -0.119583 0.147188  0.153723 0.00399984 9.50528  0.153723 0.00399984 9.50528  - - -  - - -  68.6176 72.3662 68.2982 75.3945 - - - - - - - 75.3466 - - - - 138 146 134 71 0 0 0 0
1701449747.285735000  1000.11 0 50.0006  -  nan  -0.0999782 -0.0906117 0.158776  -0.0999782 -0.0906117 0.158776  0.153449 0.00339508 9.56187  0.153449 0.00339508 9.56187  - - -  - - -  68.5339 72.2564 68.5023 75.6656 - - - - 67.4491 - 68.2221 - - - - - 138 146 134 71 0 0 0 0
1701449747.290731000  1000.13 0 50.0006  -  nan  -0.129747 -0.0762941 0.156231  -0.129747 -0.0762941 0.156231  0.148958 -0.0980767 9.85664  0.148958 -0.0980767 9.85664  - - -  - - -  68.693 72.3841 68.0799 75.7381 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701449747.295739000  1000.13 0 49.9996  -  nan  -0.0563911 -0.0918929 0.13461  -0.0563911 -0.0918929 0.13461  0.152186 -0.044701 9.50966  0.152186 -0.044701 9.50966  - - -  - - -  68.7269 72.5155 67.8427 75.7178 - - - - - 72.1501 - - - - - - 138 146 134 71 0 0 0 0
1701449747.300730000  1000.13 0 50.0006  -  nan  -0.0994487 -0.0633326 0.130652  -0.0994487 -0.0633326 0.130652  0.150684 -0.00270555 10.1327  0.150684 -0.00270555 10.1327  - - -  - - -  68.699 72.3509 68.011 75.9049 - - - - - - - 75.5858 - - - - 138 146 134 71 0 0 0 0
1701449747.305733000  1000.14 0 50.0015  -  nan  -0.12921 -0.048002 0.128071  -0.12921 -0.048002 0.128071  0.195856 -0.0962412 9.68522  0.195856 -0.0962412 9.68522  - - -  - - -  68.8094 72.3129 67.8324 75.7358 - - - - - - 68.6153 - - - - - 138 146 134 71 0 0 0 0
