# logged on Fri Dec  1 18:10:03 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701450603.724304000  1001.27 0 50.0034  15.286  nan  0.0183896 0.0205052 0.0667945  0.0183896 0.0205052 0.0667945  0.157202 0.195746 10.0584  0.157202 0.195746 10.0584  nan nan nan  nan nan nan  72.9967 68.3626 70.7136 74.3609 - - - - 72.812 67.8334 72.59 72.59 nan nan nan nan 139 146 134 71 0 0 0 0
1701450603.729312000  1001.27 0 50.0036  -  nan  0.0617047 0.00457144 0.0567266  0.0617047 0.00457144 0.0567266  0.11547 0.251562 9.48271  0.11547 0.251562 9.48271  - - -  - - -  73.0961 68.4333 70.4956 74.4096 - - - - - 67.2585 - 74.8727 - - - - 139 146 134 71 0 0 0 0
1701450603.734301000  1001.28 0 50.0033  -  nan  -0.0116886 -0.00873573 0.0657699  -0.0116886 -0.00873573 0.0657699  0.155359 0.145426 10.1194  0.155359 0.145426 10.1194  - - -  - - -  73.1615 68.1073 70.5286 74.7585 - - - - - - 71.5001 - - - - - 139 146 134 71 0 0 0 0
1701450603.739330000  1001.28 0 50.0033  -  nan  0.0183448 -0.00941381 0.0542528  0.0183448 -0.00941381 0.0542528  0.156739 0.148471 9.83449  0.156739 0.148471 9.83449  - - -  - - -  73.0618 68.1188 70.5436 74.6385 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.744329000  1001.28 0 50.0029  -  nan  0.0615032 -0.0237923 0.0577166  0.0615032 -0.0237923 0.0577166  0.114643 0.249737 9.65347  0.114643 0.249737 9.65347  - - -  - - -  73.0531 68.1155 70.5216 74.6546 - - - - 71.9321 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.749334000  1001.28 0 50.0014  -  nan  -0.0260451 -0.0233944 0.0517083  -0.0260451 -0.0233944 0.0517083  0.155633 0.146031 10.0628  0.155633 0.146031 10.0628  - - -  - - -  73.0124 68.0769 70.5655 74.7452 - - - - - 67.6407 - 75.3466 - - - - 139 146 134 71 0 0 0 0
1701450603.754356000  1001.28 0 50.0002  -  nan  0.0182064 -0.0525017 0.0421707  0.0182064 -0.0525017 0.0421707  0.111689 0.196966 9.94386  0.111689 0.196966 9.94386  - - -  - - -  72.7762 68.1463 70.5328 74.6125 - - - - - - 71.0732 - - - - - 139 146 134 71 0 0 0 0
1701450603.759306000  1001.28 0 50.0002  -  nan  0.0326261 -0.0525673 0.0431603  0.0326261 -0.0525673 0.0431603  0.113811 0.247902 9.82522  0.113811 0.247902 9.82522  - - -  - - -  72.6699 67.8967 70.7464 74.7094 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701450603.764309000  1001.28 0 49.9992  -  nan  -0.0407296 -0.0369684 0.0647807  -0.0407296 -0.0369684 0.0647807  0.111505 0.150307 9.6624  0.111505 0.150307 9.6624  - - -  - - -  72.5053 67.7764 70.8657 74.8219 - - - - 73.7137 - - - - - - - 139 146 134 71 0 0 0 0
1701450603.769307000  1001.28 0 49.9965  -  nan  0.00248475 -0.067084 0.0552078  0.00248475 -0.067084 0.0552078  0.0642426 0.193921 10.2285  0.0642426 0.193921 10.2285  - - -  - - -  72.5017 68.1617 70.6293 74.752 - - - - - 68.2221 - 75.5858 - - - - 139 146 134 71 0 0 0 0
1701450603.774305000  1001.28 0 49.9968  -  nan  0.00228318 -0.0954477 0.0561978  0.00228318 -0.0954477 0.0561978  0.110862 0.195141 10.1146  0.110862 0.195141 10.1146  - - -  - - -  72.1251 67.8829 70.7797 74.983 - - - - - - 70.8617 - - - - - 139 146 134 71 0 0 0 0
