# pom logged on Mon Dec  4 14:28:01 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1701696481.854663000 0 1 1 1 1 1 -1.9908 -0.998712 1.47682 -0.00897031 -0.00922741 -0.0176488 0.00452122 0.0112187 -0.00508061 0.0390182 -0.0588995 -0.0110741 -0.0540922 0.085946 -0.411727 1.57837e-06 1.57834e-06 1.38269e-06 5.67423e-06 5.67399e-06 7.66552e-06 7.81899e-05 7.81866e-05 5.88278e-05 7.81899e-05 7.81866e-05 5.88278e-05 0.101545 0.101545 0.101052
1701696481.858172000 0 1 1 1 1 1 -1.99079 -0.998673 1.47687 -0.00834958 -0.00995849 -0.0177959 0.00456994 0.0115066 0.00113322 0.0773146 -0.102432 -0.0199612 -0.0371248 0.0870366 0.124324 1.6371e-06 1.63708e-06 1.42776e-06 5.67093e-06 5.67061e-06 7.66232e-06 7.90387e-05 7.90354e-05 5.90165e-05 7.90387e-05 7.90354e-05 5.90165e-05 0.085877 0.085877 0.085376
1701696481.863172000 0 1 1 1 1 1 -1.99075 -0.99874 1.47678 -0.00794569 -0.0102686 -0.0179792 0.00455173 0.0115407 -0.0037934 0.0734648 -0.0835854 -0.0239821 -0.0305934 0.0948247 -0.276621 1.51969e-06 1.51967e-06 1.337e-06 5.60005e-06 5.59969e-06 7.58913e-06 7.60961e-05 7.6093e-05 5.73159e-05 7.60961e-05 7.6093e-05 5.73159e-05 0.0856947 0.0856947 0.0851899
1701696481.868153000 0 1 1 1 1 1 -1.99072 -0.998683 1.47674 -0.00779934 -0.0100206 -0.0180791 0.00465303 0.0117935 -0.00642138 0.0598203 -0.0336902 -0.0226996 -0.0133645 0.0806872 -0.320963 1.60081e-06 1.60079e-06 1.3995e-06 5.68928e-06 5.68895e-06 7.67839e-06 7.90342e-05 7.90309e-05 5.9367e-05 7.90342e-05 7.90309e-05 5.9367e-05 0.0948379 0.0948378 0.094343
1701696481.873127000 0 1 1 1 1 1 -1.99068 -0.998737 1.47672 -0.00694778 -0.0103037 -0.0182894 0.00435529 0.0120685 -0.000428779 0.102205 -0.0453676 -0.0279777 -0.0380678 0.108958 0.223749 1.49747e-06 1.49745e-06 1.31891e-06 5.60361e-06 5.60324e-06 7.58696e-06 7.61461e-05 7.61429e-05 5.75397e-05 7.61461e-05 7.61429e-05 5.75397e-05 0.0864634 0.0864634 0.0859627
1701696481.878605000 0 1 1 1 1 1 -1.99063 -0.998784 1.47663 -0.00670685 -0.0102237 -0.0185914 0.00482657 0.0120011 -0.00539967 0.075525 -0.021093 -0.0360371 0.0022168 0.0949019 -0.196407 1.41466e-06 1.41464e-06 1.25345e-06 5.58026e-06 5.57991e-06 7.55554e-06 7.46862e-05 7.46832e-05 5.69013e-05 7.46862e-05 7.46832e-05 5.69013e-05 0.0993394 0.0993394 0.0988345
1701696481.883190000 0 1 1 1 1 1 -1.99061 -0.998729 1.4766 -0.00670471 -0.00982751 -0.0187509 0.00538995 0.01234 -0.00656404 0.0521296 0.0163389 -0.0360606 0.0368082 0.0901916 -0.196482 1.48452e-06 1.48449e-06 1.30767e-06 5.59228e-06 5.59197e-06 7.56763e-06 7.60058e-05 7.60027e-05 5.74219e-05 7.60058e-05 7.60027e-05 5.74219e-05 0.0858496 0.0858496 0.0853509
1701696481.888694000 0 1 1 1 1 1 -1.99056 -0.998759 1.47657 -0.00603537 -0.00948786 -0.018986 0.00490482 0.0129035 -0.00189061 0.0807308 0.0328048 -0.0368951 -0.018302 0.124231 0.204416 1.40881e-06 1.40878e-06 1.24757e-06 5.58069e-06 5.58042e-06 7.54654e-06 7.48842e-05 7.48811e-05 5.70538e-05 7.48842e-05 7.48811e-05 5.70538e-05 0.101613 0.101613 0.101115
1701696481.893350000 0 1 1 1 1 1 -1.99053 -0.998701 1.47652 -0.00611917 -0.00927229 -0.0191361 0.00563468 0.0130573 -0.00509812 0.0416209 0.0364875 -0.0346098 0.0446807 0.0917119 -0.109293 1.47981e-06 1.47978e-06 1.30261e-06 5.54372e-06 5.54349e-06 7.50971e-06 7.53758e-05 7.53726e-05 5.66787e-05 7.53758e-05 7.53726e-05 5.66787e-05 0.0637234 0.0637233 0.0632087
1701696481.898163000 0 1 1 1 1 1 -1.99048 -0.998733 1.47646 -0.00615232 -0.00895095 -0.0192211 0.00583013 0.0134763 -0.00546103 0.0253467 0.0477873 -0.0262616 0.0312027 0.122539 -0.0786233 1.39661e-06 1.39659e-06 1.23662e-06 5.52983e-06 5.52962e-06 7.4852e-06 7.41358e-05 7.41327e-05 5.62933e-05 7.41358e-05 7.41327e-05 5.62933e-05 0.0844258 0.0844257 0.0839231
1701696481.903608000 0 1 1 1 1 1 -1.99042 -0.998753 1.47642 -0.00587448 -0.00837162 -0.0192908 0.00545311 0.0138916 -0.0027298 0.0360698 0.068106 -0.0198738 -0.0127554 0.132637 0.145041 1.33054e-06 1.33052e-06 1.18359e-06 5.49544e-06 5.49529e-06 7.43934e-06 7.28149e-05 7.28119e-05 5.5628e-05 7.28149e-05 7.28119e-05 5.5628e-05 0.0825289 0.0825288 0.0820281
1701696481.908176000 0 1 1 1 1 1 -1.99039 -0.998694 1.47641 -0.00608546 -0.00850233 -0.0194129 0.00611303 0.0137848 -0.0020521 0.00437432 0.0312195 -0.0226417 0.0416245 0.0787371 0.136011 1.39704e-06 1.39702e-06 1.23542e-06 5.55357e-06 5.55341e-06 7.4976e-06 7.51015e-05 7.50983e-05 5.70819e-05 7.51015e-05 7.50983e-05 5.70819e-05 0.0886438 0.0886437 0.0881272
1701696481.913160000 0 1 1 1 1 1 -1.99033 -0.998703 1.47631 -0.00631567 -0.00843178 -0.019551 0.00613378 0.0147535 -0.00699885 -0.0121937 0.0255933 -0.022595 0.0126608 0.147863 -0.226626 1.33062e-06 1.3306e-06 1.18218e-06 5.4938e-06 5.49363e-06 7.42589e-06 7.32401e-05 7.32371e-05 5.59035e-05 7.32401e-05 7.32371e-05 5.59035e-05 0.0843981 0.084398 0.083895
1701696481.918176000 0 1 1 1 1 1 -1.9903 -0.998623 1.47631 -0.00641291 -0.0079745 -0.0196398 0.00548158 0.0158611 -0.00393523 -0.0153753 0.0489073 -0.020882 -0.0319305 0.168523 0.0764309 1.40419e-06 1.40417e-06 1.23946e-06 5.54306e-06 5.54293e-06 7.47522e-06 7.53431e-05 7.53399e-05 5.71303e-05 7.53431e-05 7.53399e-05 5.71303e-05 0.0844629 0.0844627 0.0839609
1701696481.923171000 0 1 1 1 1 1 -1.99024 -0.998637 1.47627 -0.00671069 -0.00842222 -0.0199148 0.00603565 0.0155738 -0.0020286 -0.031719 -0.00854399 -0.0334053 0.00503678 0.116632 0.149187 1.33854e-06 1.33851e-06 1.1869e-06 5.53433e-06 5.53415e-06 7.45428e-06 7.45684e-05 7.45652e-05 5.70007e-05 7.45684e-05 7.45652e-05 5.70007e-05 0.0938749 0.0938747 0.0933656
1701696481.928178000 0 1 1 1 1 1 -1.99021 -0.99855 1.47621 -0.00678955 -0.00854741 -0.0201479 0.00531384 0.0169685 -0.00779566 -0.0255779 -0.0106364 -0.0381441 -0.0510086 0.176169 -0.295601 1.41284e-06 1.41281e-06 1.24464e-06 5.56379e-06 5.56362e-06 7.48378e-06 7.63529e-05 7.63495e-05 5.79022e-05 7.63529e-05 7.63495e-05 5.79022e-05 0.0864858 0.0864856 0.0859795
1701696481.933153000 0 1 1 1 1 1 -1.99016 -0.998547 1.47617 -0.00702364 -0.00826407 -0.0203282 0.00500763 0.0174085 -0.00478378 -0.0333219 0.010891 -0.0364362 -0.0608562 0.167455 0.0476506 1.34923e-06 1.34921e-06 1.19385e-06 5.50935e-06 5.5092e-06 7.41713e-06 7.46153e-05 7.46118e-05 5.68443e-05 7.46153e-05 7.46118e-05 5.68443e-05 0.0838055 0.0838053 0.083312
1701696481.938167000 0 1 1 1 1 1 -1.99009 -0.99854 1.47616 -0.00726585 -0.00926862 -0.0206339 0.00569028 0.0173402 -0.000185793 -0.037587 -0.0717694 -0.0442121 -0.00548585 0.130334 0.327714 1.29406e-06 1.29404e-06 1.14955e-06 5.46487e-06 5.46465e-06 7.36116e-06 7.32142e-05 7.32108e-05 5.59904e-05 7.32142e-05 7.32108e-05 5.59904e-05 0.083592 0.0835918 0.0830841
1701696481.943117000 0 1 1 1 1 1 -1.99007 -0.998448 1.47611 -0.00727681 -0.00942185 -0.0207948 0.00497491 0.0184741 -0.0047771 -0.0252482 -0.053818 -0.0392651 -0.0532819 0.162599 -0.0961929 1.36586e-06 1.36583e-06 1.20549e-06 5.56049e-06 5.56026e-06 7.45681e-06 7.62251e-05 7.62215e-05 5.81058e-05 7.62251e-05 7.62215e-05 5.81058e-05 0.0953605 0.0953603 0.0948439
1701696481.948170000 0 1 1 1 1 1 -1.99002 -0.998418 1.4761 -0.0075336 -0.00924994 -0.0208602 0.00511291 0.0183028 -0.000863 -0.0354602 -0.0245513 -0.0282553 -0.0333336 0.112175 0.267505 1.36188e-06 1.36186e-06 1.20182e-06 5.52907e-06 5.52887e-06 7.4195e-06 7.57955e-05 7.57919e-05 5.77051e-05 7.57955e-05 7.57919e-05 5.77051e-05 0.0863338 0.0863336 0.085827
1701696481.953118000 0 1 1 1 1 1 -1.98999 -0.998325 1.47613 -0.00733472 -0.0101439 -0.0209372 0.00509213 0.0190562 0.00322285 -0.00852575 -0.0813762 -0.0230418 -0.0244843 0.126831 0.42288 1.43763e-06 1.4376e-06 1.26044e-06 5.61993e-06 5.61962e-06 7.51052e-06 7.87823e-05 7.87785e-05 5.97363e-05 7.87823e-05 7.87785e-05 5.97363e-05 0.0961194 0.0961193 0.0955876
1701696481.958170000 0 1 1 1 1 1 -1.98994 -0.998292 1.47605 -0.00749771 -0.00996361 -0.020824 0.00457849 0.0190768 -0.00426104 -0.019761 -0.0351746 -0.00329899 -0.0617361 0.100524 -0.244772 1.42426e-06 1.42423e-06 1.2497e-06 5.57835e-06 5.57807e-06 7.46405e-06 7.79758e-05 7.7972e-05 5.90758e-05 7.79758e-05 7.7972e-05 5.90758e-05 0.086325 0.0863249 0.0858018
1701696481.963169000 0 1 1 1 1 1 -1.98992 -0.998197 1.47609 -0.00741956 -0.010147 -0.0207584 0.00453316 0.0194384 0.000920339 -0.00370878 -0.0391072 0.00199637 -0.0448224 0.0921778 0.217415 1.50429e-06 1.50426e-06 1.31132e-06 5.62024e-06 5.61993e-06 7.50597e-06 7.99627e-05 7.99587e-05 6.015e-05 7.99627e-05 7.99587e-05 6.015e-05 0.0837629 0.0837628 0.0832457
1701696481.968174000 0 1 1 1 1 1 -1.98987 -0.998158 1.47608 -0.00691915 -0.0107232 -0.0208588 0.00430861 0.0200809 0.00172926 0.0324344 -0.0680822 -0.00502759 -0.0541349 0.126468 0.169947 1.49025e-06 1.49022e-06 1.30041e-06 5.60405e-06 5.60367e-06 7.48675e-06 7.95074e-05 7.95035e-05 5.98361e-05 7.95074e-05 7.95035e-05 5.98361e-05 0.0830752 0.0830752 0.0825452
1701696481.973163000 0 1 1 1 1 1 -1.98981 -0.998129 1.47601 -0.00709737 -0.0106546 -0.0208482 0.00457437 0.020003 -0.00363347 0.00419449 -0.0373557 -0.00102962 -0.0270621 0.0988037 -0.244531 1.47349e-06 1.47345e-06 1.28764e-06 5.58712e-06 5.58674e-06 7.4682e-06 7.89073e-05 7.89035e-05 5.94823e-05 7.89073e-05 7.89035e-05 5.94823e-05 0.0824677 0.0824676 0.0819499
1701696481.978629000 0 1 1 1 1 1 -1.98977 -0.998082 1.47601 -0.00691736 -0.0107685 -0.0209252 0.00419939 0.0202141 -0.000684316 0.0163662 -0.0336317 -0.00580972 -0.0539699 0.0984935 0.0446885 1.47211e-06 1.47208e-06 1.28695e-06 5.66991e-06 5.66951e-06 7.55101e-06 8.03435e-05 8.03397e-05 6.10118e-05 8.03435e-05 8.03397e-05 6.10118e-05 0.109614 0.109614 0.109106
1701696481.983302000 0 1 1 1 1 1 -1.98975 -0.997987 1.47598 -0.00635622 -0.010987 -0.0210502 0.00428685 0.0204747 -0.00366516 0.0524439 -0.0395609 -0.0128932 -0.0197464 0.0759199 -0.211592 1.54931e-06 1.54928e-06 1.34625e-06 5.67119e-06 5.67076e-06 7.55236e-06 8.18572e-05 8.18533e-05 6.16443e-05 8.18572e-05 8.18533e-05 6.16443e-05 0.0785339 0.0785338 0.0780183
1701696481.988586000 0 1 1 1 1 1 -1.98969 -0.997951 1.47593 -0.00629867 -0.0110457 -0.0211281 0.00529231 0.0202013 -0.00583162 0.0348112 -0.0289028 -0.0128296 0.0450329 0.0537155 -0.269574 1.54131e-06 1.54127e-06 1.3408e-06 5.70575e-06 5.70531e-06 7.58839e-06 8.22689e-05 8.22652e-05 6.2262e-05 8.22689e-05 8.22652e-05 6.2262e-05 0.0997589 0.0997589 0.0992553
1701696481.993118000 0 1 1 1 1 1 -1.98967 -0.997854 1.47591 -0.00588057 -0.0106538 -0.0211797 0.00461938 0.0210014 -0.00522452 0.0557312 0.00850519 -0.0120734 -0.014957 0.0912812 -0.147191 1.61941e-06 1.61938e-06 1.40055e-06 5.7561e-06 5.7557e-06 7.63876e-06 8.43524e-05 8.43485e-05 6.3495e-05 8.43524e-05 8.43485e-05 6.3495e-05 0.0956025 0.0956024 0.095098
1701696481.998122000 0 1 1 1 1 1 -1.98961 -0.997835 1.47589 -0.00517438 -0.0106034 -0.0212721 0.00450821 0.0206777 -0.00249152 0.085351 0.00420505 -0.0127515 -0.0263529 0.0632555 0.096237 1.59385e-06 1.59381e-06 1.38205e-06 5.75835e-06 5.75796e-06 7.64393e-06 8.39491e-05 8.39453e-05 6.34851e-05 8.39491e-05 8.39453e-05 6.34851e-05 0.0983957 0.0983957 0.0978852
1701696482.003508000 0 1 1 1 1 1 -1.98954 -0.997842 1.47581 -0.00489613 -0.0109555 -0.0213982 0.00557437 0.0201325 -0.00375989 0.0715901 -0.0218323 -0.0146614 0.0394074 0.0427376 -0.0107265 1.50314e-06 1.50311e-06 1.31388e-06 5.74417e-06 5.74374e-06 7.63347e-06 8.21792e-05 8.21758e-05 6.28861e-05 8.21792e-05 8.21758e-05 6.28861e-05 0.110228 0.110228 0.109714
1701696482.008123000 0 1 1 1 1 1 -1.98953 -0.997743 1.47578 -0.00445221 -0.010165 -0.0214253 0.0046377 0.0210329 -0.00556729 0.082236 0.0448524 -0.0114264 -0.0376167 0.0895961 -0.118532 1.58061e-06 1.58057e-06 1.37352e-06 5.77148e-06 5.77114e-06 7.66087e-06 8.39413e-05 8.39378e-05 6.37897e-05 8.39413e-05 8.39378e-05 6.37897e-05 0.0990833 0.0990833 0.0985682
1701696482.013152000 0 1 1 1 1 1 -1.98946 -0.997724 1.47578 -0.00368436 -0.0102267 -0.0216081 0.00547343 0.0202852 -0.000196196 0.106444 0.0159895 -0.0202857 0.0270334 0.0312687 0.291933 1.55977e-06 1.55974e-06 1.35836e-06 5.70878e-06 5.70844e-06 7.59984e-06 8.23559e-05 8.23525e-05 6.25013e-05 8.23559e-05 8.23525e-05 6.25013e-05 0.0847427 0.0847426 0.0842158
1701696482.018120000 0 1 1 1 1 1 -1.98943 -0.997623 1.47575 -0.00333348 -0.0106121 -0.0217864 0.00595428 0.0204377 -0.00247261 0.0928073 -0.0154447 -0.0257368 0.0468282 0.0338059 0.0372544 1.64637e-06 1.64633e-06 1.42479e-06 5.79836e-06 5.79798e-06 7.68949e-06 8.53292e-05 8.53258e-05 6.44891e-05 8.53292e-05 8.53258e-05 6.44891e-05 0.0946546 0.0946546 0.0941145
1701696482.023120000 0 1 1 1 1 1 -1.98942 -0.997512 1.47572 -0.00289503 -0.00972136 -0.0217928 0.00469343 0.0215207 -0.00461461 0.0927262 0.0574222 -0.0159863 -0.0567407 0.0943761 -0.105371 1.73804e-06 1.738e-06 1.4947e-06 5.87162e-06 5.87134e-06 7.76275e-06 8.808e-05 8.80764e-05 6.62683e-05 8.808e-05 8.80764e-05 6.62683e-05 0.0976887 0.0976886 0.0971547
1701696482.028540000 0 1 1 1 1 1 -1.9893 -0.997629 1.47568 -0.00228269 -0.0101714 -0.0218565 0.00613035 0.0201614 0.00335451 0.0989925 -0.00722881 -0.0103354 0.0415231 0.0356547 0.500712 1.49157e-06 1.49154e-06 1.30825e-06 5.70358e-06 5.70327e-06 7.59874e-06 8.09674e-05 8.09643e-05 6.20916e-05 8.09674e-05 8.09643e-05 6.20916e-05 0.0959264 0.0959263 0.0953951
1701696482.033103000 0 1 1 1 1 1 -1.98927 -0.997535 1.47567 -0.00208907 -0.0105547 -0.0218605 0.00612669 0.0205359 0.0014787 0.0791307 -0.0283597 -0.00698405 0.0249113 0.0525224 0.205773 1.56751e-06 1.56748e-06 1.367e-06 5.75989e-06 5.75956e-06 7.65518e-06 8.32231e-05 8.32199e-05 6.34392e-05 8.32231e-05 8.32199e-05 6.34392e-05 0.0937955 0.0937955 0.0932433
1701696482.038160000 0 1 1 1 1 1 -1.98921 -0.997539 1.47559 -0.00189336 -0.00951707 -0.0218142 0.00507072 0.0207987 -0.00183566 0.0647835 0.0600423 0.000775276 -0.0677649 0.0847171 -0.0140721 1.48414e-06 1.48411e-06 1.30333e-06 5.71834e-06 5.71814e-06 7.61216e-06 8.11858e-05 8.11828e-05 6.24352e-05 8.11858e-05 8.11828e-05 6.24352e-05 0.0942735 0.0942734 0.0937448
1701696482.043161000 0 1 1 1 1 1 -1.98918 -0.99744 1.47567 -0.00158947 -0.0104112 -0.0219401 0.00588864 0.0205193 0.00826733 0.0618038 -0.0351934 -0.00915408 0.0149834 0.0362451 0.681236 1.56718e-06 1.56714e-06 1.36769e-06 5.73628e-06 5.73598e-06 7.6303e-06 8.28095e-05 8.28064e-05 6.30753e-05 8.28095e-05 8.28064e-05 6.30753e-05 0.0836927 0.0836927 0.0831399
1701696482.048170000 0 1 1 1 1 1 -1.98913 -0.997426 1.47561 -0.00152138 -0.010623 -0.0219769 0.00532823 0.0211457 0.00289513 0.0411154 -0.0316113 -0.00634469 -0.044601 0.098186 0.055189 1.49379e-06 1.49376e-06 1.31141e-06 5.67733e-06 5.67705e-06 7.56846e-06 8.05138e-05 8.05108e-05 6.16082e-05 8.05138e-05 8.05108e-05 6.16082e-05 0.0811094 0.0811093 0.0805531
1701696482.053219000 0 1 1 1 1 1 -1.9891 -0.99732 1.47558 -0.00171564 -0.00985378 -0.0218813 0.00476626 0.0214618 -0.000937282 0.0126839 0.0350956 0.00235137 -0.0622863 0.0835194 -0.174708 1.57823e-06 1.57819e-06 1.37691e-06 5.72812e-06 5.72792e-06 7.61926e-06 8.26653e-05 8.26622e-05 6.28509e-05 8.26653e-05 8.26622e-05 6.28509e-05 0.0820366 0.0820366 0.0815034
1701696482.058172000 0 1 1 1 1 1 -1.98904 -0.997303 1.47562 -0.00144419 -0.0108048 -0.0219482 0.00532715 0.0215213 0.00757313 0.0294112 -0.0581977 -0.00179174 -0.011016 0.0896269 0.500507 1.51416e-06 1.51413e-06 1.32778e-06 5.70781e-06 5.7075e-06 7.5956e-06 8.13727e-05 8.13697e-05 6.22886e-05 8.13727e-05 8.13697e-05 6.22886e-05 0.0858243 0.0858243 0.0852862
1701696482.063160000 0 1 1 1 1 1 -1.989 -0.997273 1.47555 -0.00185772 -0.010443 -0.0219192 0.00495126 0.0219309 0.000507161 -0.0160742 -0.00204237 0.00138131 -0.0443066 0.110287 -0.187818 1.47984e-06 1.47981e-06 1.30148e-06 5.66906e-06 5.66881e-06 7.55434e-06 8.00721e-05 8.00692e-05 6.1378e-05 8.00721e-05 8.00692e-05 6.1378e-05 0.0811697 0.0811696 0.0806275
