# logged on Mon Dec  4 14:28:01 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701696481.915187000  1001.37 0 50.0005  15.609  nan  -0.0246134 0.0599981 -0.0191319  -0.0246134 0.0599981 -0.0191319  0.0142062 0.092655 10.4088  0.0142062 0.092655 10.4088  nan nan nan  nan nan nan  76.2675 71.0673 72.7038 65.8159 - - - - 75.8265 70.6514 72.812 65.9544 nan nan nan nan 139 146 134 71 0 0 0 0
1701696481.920158000  1001.37 0 50.0015  -  nan  -0.0541355 -0.0848388 -0.0441936  -0.0541355 -0.0848388 -0.0441936  0.19466 -0.0526265 10.2516  0.19466 -0.0526265 10.2516  - - -  - - -  76.2366 71.1362 72.4819 65.3577 - - - - 74.638 - - - - - - - 139 146 134 71 0 0 0 0
1701696481.925178000  1001.37 0 50.0015  -  nan  -0.0246842 0.00113432 -0.0452197  -0.0246842 0.00113432 -0.0452197  -0.0689795 0.204902 9.1999  -0.0689795 0.204902 9.1999  - - -  - - -  75.6668 71.0945 73.5578 64.9994 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696481.930194000  1001.36 0 50.0033  -  nan  -0.0534788 0.0311844 -0.0346572  -0.0534788 0.0311844 -0.0346572  0.0584293 0.0423349 10.4702  0.0584293 0.0423349 10.4702  - - -  - - -  76.1418 71.229 73.5365 65.1068 - - - - - - - 65.4108 - - - - 139 146 134 71 0 0 0 0
1701696481.935228000  1001.35 0 50.003  -  nan  -0.040063 -0.157369 -0.0542608  -0.040063 -0.157369 -0.0542608  0.151389 0.0441598 10.3001  0.151389 0.0441598 10.3001  - - -  - - -  75.9371 71.3264 73.4455 64.5295 - - - - - - 71.286 - - - - - 139 146 134 71 0 0 0 0
1701696481.940193000  1001.35 0 50.0015  -  nan  -0.0248481 0.00167665 -0.0316527  -0.0248481 0.00167665 -0.0316527  -0.0704636 0.109121 8.86731  -0.0704636 0.109121 8.86731  - - -  - - -  75.0266 71.0761 74.4677 64.3513 - - - - 76.0688 71.7154 - - - - - - 139 146 134 71 0 0 0 0
1701696481.945187000  1001.35 0 50.0015  -  nan  -0.0396451 -0.0260405 -0.0171163  -0.0396451 -0.0260405 -0.0171163  0.147092 -0.0106311 10.8744  0.147092 -0.0106311 10.8744  - - -  - - -  75.5955 71.3915 74.0498 64.6359 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701696481.950195000  1001.35 0 50.0024  -  nan  0.0181423 -0.15597 -0.00856167  0.0181423 -0.15597 -0.00856167  0.0627633 0.0981509 9.89487  0.0627633 0.0981509 9.89487  - - -  - - -  75.2211 71.3063 73.7407 64.3483 - - - - - - - 64.6998 - - - - 139 146 134 71 0 0 0 0
1701696481.955195000  1001.33 0 50.0028  -  nan  -0.0398274 0.0191451 0.0220644  -0.0398274 0.0191451 0.0220644  -0.0293147 -0.0386003 8.93745  -0.0293147 -0.0386003 8.93745  - - -  - - -  74.5634 71.0823 74.235 64.7635 - - - - - 70.4424 75.8265 - - - - - 139 146 134 71 0 0 0 0
1701696481.960194000  1001.31 0 50.0035  -  nan  0.0186983 -0.0541287 0.00146977  0.0186983 -0.0541287 0.00146977  0.0549592 -0.0106311 10.8737  0.0549592 -0.0106311 10.8737  - - -  - - -  75.0749 71.8963 73.4911 65.08 - - - - 74.8727 - - - - - - - 139 146 134 71 0 0 0 0
1701696481.965185000  1001.29 0 50.0035  -  nan  0.0620883 -0.0848254 -0.0226392  0.0620883 -0.0848254 -0.0226392  0.0175241 0.0999758 9.72377  0.0175241 0.0999758 9.72377  - - -  - - -  74.5176 71.2409 73.6083 65.2582 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
