# pom logged on Tue Dec  5 10:10:19 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1701767419.020058000 0 1 1 1 1 1 -1.99557 -0.99362 1.47592 -0.00376972 0.0133375 0.000799788 -0.00651914 0.0187645 0.00204018 -0.00197115 -0.000817596 -0.0142475 0.0935426 0.0801085 0.239553 1.20945e-06 1.20946e-06 1.07808e-06 5.06727e-06 5.06642e-06 6.48057e-06 6.85966e-05 6.85976e-05 5.31663e-05 6.85966e-05 6.85976e-05 5.31663e-05 0.0567337 0.0567338 0.0562552
1701767419.024050000 0 1 1 1 1 1 -1.99559 -0.993547 1.47593 -0.00384109 0.0131701 0.000737918 -0.00582319 0.0188076 0.00209759 -0.00607023 -0.0158924 -0.0144386 0.119116 0.0602294 0.157267 1.2647e-06 1.2647e-06 1.12187e-06 5.1072e-06 5.10636e-06 6.52056e-06 7.02591e-05 7.02601e-05 5.41645e-05 7.02591e-05 7.02601e-05 5.41645e-05 0.0567183 0.0567183 0.0562298
1701767419.029036000 0 1 1 1 1 1 -1.99562 -0.993508 1.47583 -0.0034166 0.0129432 0.000697351 -0.00569802 0.0190219 -0.000749587 0.0347764 -0.0260316 -0.0121331 0.0819832 0.0728947 -0.0757125 1.21528e-06 1.21528e-06 1.08262e-06 5.07058e-06 5.06978e-06 6.48312e-06 6.87944e-05 6.87954e-05 5.32756e-05 6.87944e-05 6.87954e-05 5.32756e-05 0.0563111 0.0563112 0.0558334
1701767419.034037000 0 1 1 1 1 1 -1.99565 -0.993415 1.47584 -0.00329424 0.0128867 0.000669524 -0.00530163 0.0190444 0.000832637 0.029865 -0.0202251 -0.00891709 0.083235 0.0433448 0.0795429 1.28521e-06 1.28521e-06 1.13799e-06 5.12076e-06 5.11996e-06 6.53333e-06 7.08557e-05 7.08568e-05 5.45292e-05 7.08557e-05 7.08568e-05 5.45292e-05 0.0563751 0.0563752 0.0558974
1701767419.039032000 0 1 1 1 1 1 -1.99567 -0.993384 1.47576 -0.0030984 0.0124239 0.000632244 -0.00465085 0.0189205 0.000509174 0.0377047 -0.0499707 -0.0085047 0.0986322 0.0420913 0.0426877 1.23412e-06 1.23412e-06 1.0975e-06 5.0837e-06 5.08296e-06 6.49556e-06 6.93695e-05 6.93706e-05 5.3626e-05 6.93695e-05 6.93706e-05 5.3626e-05 0.0561778 0.0561778 0.0557013
1701767419.044047000 0 1 1 1 1 1 -1.99569 -0.993287 1.47575 -0.00262687 0.0122068 0.000663876 -0.00476023 0.0192335 -0.00112082 0.0605705 -0.0455888 -0.00236459 0.0526874 0.0485233 -0.0943825 1.30532e-06 1.30532e-06 1.15377e-06 5.13455e-06 5.13383e-06 6.54642e-06 7.14555e-05 7.14566e-05 5.48939e-05 7.14555e-05 7.14566e-05 5.48939e-05 0.0566016 0.0566016 0.0561242
1701767419.048996000 0 1 1 1 1 1 -1.99571 -0.993259 1.47568 -0.00243546 0.011927 0.000667356 -0.00431158 0.0188443 0.000226669 0.0537007 -0.050708 -0.00135719 0.0683203 0.0209211 0.079803 1.25742e-06 1.25742e-06 1.11586e-06 5.09898e-06 5.0983e-06 6.50987e-06 7.00491e-05 7.00502e-05 5.40394e-05 7.00491e-05 7.00502e-05 5.40394e-05 0.0555571 0.0555571 0.0550855
1701767419.054054000 0 1 1 1 1 1 -1.99571 -0.993237 1.47562 -0.00201986 0.0112746 0.000587501 -0.00375335 0.0185847 -2.02371e-05 0.069637 -0.0802106 -0.00821757 0.0795936 0.0188737 0.034512 1.21045e-06 1.21045e-06 1.07858e-06 5.06599e-06 5.0654e-06 6.47632e-06 6.86955e-05 6.86966e-05 5.32271e-05 6.86955e-05 6.86966e-05 5.32271e-05 0.0564437 0.0564437 0.0559709
1701767419.059056000 0 1 1 1 1 1 -1.99574 -0.993143 1.47561 -0.00174705 0.0111475 0.000552478 -0.00394913 0.0187648 -0.00128934 0.0622221 -0.0557935 -0.0078622 0.0351105 0.0249355 -0.0630692 1.28018e-06 1.28019e-06 1.13381e-06 5.11626e-06 5.11567e-06 6.52661e-06 7.07574e-05 7.07585e-05 5.44826e-05 7.07574e-05 7.07585e-05 5.44826e-05 0.0565341 0.0565341 0.0560602
1701767419.064062000 0 1 1 1 1 1 -1.99574 -0.993128 1.47557 -0.00138131 0.010623 0.000455422 -0.00334196 0.0181392 0.00181467 0.0698904 -0.0762627 -0.0135412 0.0701217 -0.00869326 0.225009 1.23305e-06 1.23306e-06 1.09646e-06 5.08257e-06 5.08204e-06 6.49214e-06 6.93931e-05 6.93942e-05 5.36604e-05 6.93931e-05 6.93942e-05 5.36604e-05 0.0569321 0.0569321 0.0564592
