# logged on Tue Dec  5 10:10:19 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701767419.078678000  1000.22 0 49.9969  15.963  nan  0.106131 -0.143309 -0.0311514  0.106131 -0.143309 -0.0311514  0.0117748 -0.0495815 9.96533  0.0117748 -0.0495815 9.96533  nan nan nan  nan nan nan  72.4052 72.9757 70.7193 68.8705 - - - - 72.812 73.2601 70.6514 69.6185 nan nan nan nan 139 146 0 70 0 0 0 0
1701767419.083678000  1000.22 0 49.9969  -  nan  0.0478401 -0.0117142 0.00196402  0.0478401 -0.0117142 0.00196402  -0.116691 0.106692 9.09433  -0.116691 0.106692 9.09433  - - -  - - -  72.1546 72.7832 71.1447 69.1918 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701767419.088684000  1000.22 0 49.9974  -  nan  0.0621891 -0.0706435 -0.0231342  0.0621891 -0.0706435 -0.0231342  0.00928884 -0.0550667 10.4786  0.00928884 -0.0550667 10.4786  - - -  - - -  72.7848 73.418 70.4771 69.0605 - - - - - 73.7137 - 67.4491 - - - - 139 146 0 70 0 0 0 0
1701767419.096076000  1000.23 0 50.0007  -  nan  0.0192395 -0.0268884 -0.0276232  0.0192395 -0.0268884 -0.0276232  -0.0712906 0.107297 9.03807  -0.0712906 0.107297 9.03807  - - -  - - -  72.74 73.3228 70.5483 68.9266 - - - - 72.59 - 71.0732 - - - - - 139 146 0 70 0 0 0 0
1701767419.100670000  1000.23 0 50.0007  -  nan  -0.0103953 0.0315689 -0.0171523  -0.0103953 0.0315689 -0.0171523  -0.0305424 0.00399984 9.50393  -0.0305424 0.00399984 9.50393  - - -  - - -  73.3603 73.716 70.5093 68.4868 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701767419.105667000  1000.23 0 50.0026  -  nan  0.0623154 -0.100092 -0.0492782  0.0623154 -0.100092 -0.0492782  0.0544062 -0.0118512 10.9878  0.0544062 -0.0118512 10.9878  - - -  - - -  73.5506 73.6656 70.2311 68.2346 - - - - - 73.9426 - - - - - - 139 146 0 70 0 0 0 0
1701767419.110670000  1000.22 0 50.0004  -  nan  0.019441 0.00147536 -0.0286132  0.019441 0.00147536 -0.0286132  -0.0260514 0.105472 9.20917  -0.0260514 0.105472 9.20917  - - -  - - -  72.981 72.9892 70.795 68.293 - - - - - - - 69.0131 - - - - 139 146 0 70 0 0 0 0
1701767419.115657000  1000.22 0 50.0033  -  nan  -0.0101188 0.0451697 -0.0321834  -0.0101188 0.0451697 -0.0321834  0.060763 0.00217496 9.67537  0.060763 0.00217496 9.67537  - - -  - - -  73.8056 73.6152 70.2586 68.1845 - - - - - - 69.2137 - - - - - 139 146 0 70 0 0 0 0
1701767419.120661000  1000.22 0 50.003  -  nan  0.062517 -0.0717282 -0.0502682  0.062517 -0.0717282 -0.0502682  0.0544062 -0.0118512 10.9878  0.0544062 -0.0118512 10.9878  - - -  - - -  73.9983 73.5254 70.1558 67.9332 - - - - 73.7137 - - - - - - - 139 146 0 70 0 0 0 0
1701767419.125656000  1000.22 0 50.0057  -  nan  -0.0247142 0.0458163 -0.0186369  -0.0247142 0.0458163 -0.0186369  -0.0736868 0.0557563 9.2133  -0.0736868 0.0557563 9.2133  - - -  - - -  73.4687 72.899 70.4212 67.9785 - - - - - 73.4862 - - - - - - 139 146 0 70 0 0 0 0
1701767419.130668000  1000.23 0 50.0041  -  nan  -0.024815 0.0316344 -0.0181419  -0.024815 0.0316344 -0.0181419  0.0127589 -0.00210079 10.0751  0.0127589 -0.00210079 10.0751  - - -  - - -  74.0849 73.7491 69.7234 67.8524 - - - - - - - 69.0131 - - - - 139 146 0 70 0 0 0 0
1701767419.135668000  1000.23 0 50.0077  -  nan  0.0333496 -0.0705125 -0.0251134  0.0333496 -0.0705125 -0.0251134  0.0581552 0.0417301 10.5268  0.0581552 0.0417301 10.5268  - - -  - - -  73.6843 73.4331 69.8524 67.7677 - - - - - - 71.286 - - - - - 139 146 0 70 0 0 0 0
1701767419.140670000  1000.23 0 50.0079  -  nan  -0.0680742 0.031831 -0.0211107  -0.0680742 0.031831 -0.0211107  -0.0728597 0.0575811 9.04253  -0.0728597 0.0575811 9.04253  - - -  - - -  73.4044 73.1557 70.1459 67.7301 - - - - 74.4048 - - - - - - - 139 146 0 70 0 0 0 0
1701767419.145672000  1000.23 0 50.0092  -  nan  0.00395371 -0.0273605 -0.0422505  0.00395371 -0.0273605 -0.0422505  0.0120889 0.0417301 10.5265  0.0120889 0.0417301 10.5265  - - -  - - -  73.946 73.7267 69.8244 67.4782 - - - - - 72.3694 - - - - - - 139 146 0 70 0 0 0 0
1701767419.150655000  1000.23 0 50.0082  -  nan  0.0335767 -0.085779 -0.0517524  0.0335767 -0.085779 -0.0517524  0.013743 0.0453799 10.1849  0.013743 0.0453799 10.1849  - - -  - - -  73.3513 72.8901 70.4714 67.4871 - - - - - - - 67.6407 - - - - 139 146 0 70 0 0 0 0
1701767419.155667000  1000.23 0 50.0104  -  nan  -0.0538632 0.00238878 -0.0190958  -0.0538632 0.00238878 -0.0190958  -0.0291576 0.00705546 9.21801  -0.0291576 0.00705546 9.21801  - - -  - - -  73.1722 72.8019 70.6342 67.4283 - - - - - - 70.2346 - - - - - 139 146 0 70 0 0 0 0
1701767419.160659000  1000.24 0 50.0094  -  nan  0.033476 -0.0999608 -0.0512574  0.033476 -0.0999608 -0.0512574  0.009167 -0.0100263 10.8168  0.009167 -0.0100263 10.8168  - - -  - - -  73.3082 73.1964 70.4498 67.3761 - - - - 74.173 - - - - - - - 139 146 0 70 0 0 0 0
1701767419.165666000  1000.25 0 50.0094  -  nan  0.00360653 -0.0998251 -0.0533073  0.00360653 -0.0998251 -0.0533073  0.0151279 0.0484355 9.899  0.0151279 0.0484355 9.899  - - -  - - -  72.5341 72.16 71.1398 67.6428 - - - - - 73.2601 - - - - - - 139 146 0 70 0 0 0 0
1701767419.170662000  1000.26 0 50.0075  -  nan  -0.0394062 -0.0413457 -0.0447243  -0.0394062 -0.0413457 -0.0447243  0.0156457 -0.0410406 9.16613  0.0156457 -0.0410406 9.16613  - - -  - - -  72.5482 72.4235 71.2405 67.3783 - - - - - - - 68.2221 - - - - 139 146 0 70 0 0 0 0
1701767419.175671000  1000.26 0 50.0087  -  nan  0.092084 -0.11441 -0.0467333  0.092084 -0.11441 -0.0467333  -0.0342562 0.0411147 10.5837  -0.0342562 0.0411147 10.5837  - - -  - - -  72.4933 72.1289 71.5081 67.6709 - - - - - - 70.8617 - - - - - 139 146 0 70 0 0 0 0
1701767419.180662000  1000.27 0 50.0089  -  nan  0.0336216 -0.0558599 -0.0392107  0.0336216 -0.0558599 -0.0392107  0.0137127 -0.0453057 9.56523  0.0137127 -0.0453057 9.56523  - - -  - - -  72.0364 71.0437 71.9216 68.2206 - - - - 74.173 - - - - - - - 139 146 0 70 0 0 0 0
1701767419.185660000  1000.27 0 50.01  -  nan  0.00375214 -0.0557242 -0.0412606  0.00375214 -0.0557242 -0.0412606  0.062696 0.0064401 9.27626  0.062696 0.0064401 9.27626  - - -  - - -  72.1744 71.2494 71.6858 68.1978 - - - - - 70.8617 - - - - - - 139 146 0 70 0 0 0 0
1701767419.190658000  1000.27 0 50.009  -  nan  0.0920585 -0.0707793 -0.0210843  0.0920585 -0.0707793 -0.0210843  -0.0325973 0.0447751 10.2412  -0.0325973 0.0447751 10.2412  - - -  - - -  72.0581 70.9315 71.8114 68.6078 - - - - - - - 68.8137 - - - - 139 146 0 70 0 0 0 0
1701767419.195683000  1000.28 0 50.0111  -  nan  -0.01063 -0.0267526 -0.0296731  -0.01063 -0.0267526 -0.0296731  0.056825 -0.0980767 9.85596  0.056825 -0.0980767 9.85596  - - -  - - -  71.7066 70.4594 71.7591 68.9831 - - - - - - 71.5001 - - - - - 139 146 0 70 0 0 0 0
1701767419.200678000  1000.29 0 50.012  -  nan  0.0194666 -0.0421549 -0.0542623  0.0194666 -0.0421549 -0.0542623  0.110578 0.0557563 9.21464  0.110578 0.0557563 9.21464  - - -  - - -  71.882 70.6598 71.6786 68.6007 - - - - 71.9321 - - - - - - - 139 146 0 70 0 0 0 0
1701767419.205662000  1000.3 0 50.0118  -  nan  0.0200409 0.0150432 -0.0698445  0.0200409 0.0150432 -0.0698445  0.0145749 0.0472154 10.0132  0.0145749 0.0472154 10.0132  - - -  - - -  72.1486 70.0391 71.9814 68.6605 - - - - - 70.6514 - - - - - - 139 146 0 70 0 0 0 0
1701767419.210659000  1000.31 0 50.0116  -  nan  -0.0532517 0.0159179 -0.0612962  -0.0532517 0.0159179 -0.0612962  0.149974 -0.0495815 9.96634  0.149974 -0.0495815 9.96634  - - -  - - -  72.4813 69.7564 71.8091 68.3157 - - - - - - - 68.8137 - - - - 139 146 0 70 0 0 0 0
