# logged on Tue Dec  5 10:17:00 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701767820.808655000  1000.55 0 50.0036  15.834  nan  0.0765787 -0.0260271 0.00443819  0.0765787 -0.0260271 0.00443819  0.0592563 0.0441598 10.2994  0.0592563 0.0441598 10.2994  nan nan nan  nan nan nan  76.8958 68.7498 69.5036 68.4014 - - - - 76.558 71.286 70.2346 67.2585 nan nan nan nan 138 146 134 71 0 0 0 0
1701767820.813667000  1000.56 0 50.0036  -  nan  -0.0391219 0.118418 0.0185996  -0.0391219 0.118418 0.0185996  -0.0263975 0.0131455 8.64814  -0.0263975 0.0131455 8.64814  - - -  - - -  76.8104 68.5635 69.6479 68.7434 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.818645000  1000.57 0 50.002  -  nan  0.00346939 0.0478545 0.0376103  0.00346939 0.0478545 0.0376103  0.0107041 0.0386745 10.8124  0.0107041 0.0386745 10.8124  - - -  - - -  77.4405 69.2773 68.98 68.6494 - - - - - 69.0131 - 68.6153 - - - - 138 146 134 71 0 0 0 0
1701767820.823648000  1000.57 0 50.002  -  nan  0.0333012 0.0188127 0.0270831  0.0333012 0.0188127 0.0270831  0.0151279 0.0484355 9.899  0.0151279 0.0484355 9.899  - - -  - - -  77.072 69.3542 68.5054 68.4681 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.828663000  1000.58 0 50.0026  -  nan  -0.0971287 0.119765 0.0417752  -0.0971287 0.119765 0.0417752  -0.0270675 0.0569764 9.09946  -0.0270675 0.0569764 9.09946  - - -  - - -  77.0546 69.5811 68.7085 68.5729 - - - - 77.8089 - 70.2346 - - - - - 138 146 134 71 0 0 0 0
1701767820.833662000  1000.58 0 50.0026  -  nan  -0.0251053 0.0616251 0.0215691  -0.0251053 0.0616251 0.0215691  0.0139321 0.0920503 10.4654  0.0139321 0.0920503 10.4654  - - -  - - -  77.5248 70.3776 68.1609 68.0555 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.838660000  1000.58 0 49.9993  -  nan  -0.039525 0.0616907 0.0205795  -0.039525 0.0616907 0.0205795  0.0167868 0.0520959 9.55649  0.0167868 0.0520959 9.55649  - - -  - - -  77.3456 69.7679 68.2666 68.0315 - - - - - 69.2137 - 68.6153 - - - - 138 146 134 71 0 0 0 0
1701767820.843658000  1000.57 0 49.9993  -  nan  -0.127036 0.0909946 0.0271483  -0.127036 0.0909946 0.0271483  0.0167868 0.0520959 9.55649  0.0167868 0.0520959 9.55649  - - -  - - -  77.463 70.0088 68.3428 67.964 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.848690000  1000.57 0 50.0004  -  nan  -0.0396258 0.0475088 0.0210745  -0.0396258 0.0475088 0.0210745  -0.0755254 0.144206 10.2319  -0.0755254 0.144206 10.2319  - - -  - - -  77.4821 70.6064 68.26 67.4965 - - - - 77.3036 - 68.6153 - - - - - 138 146 134 71 0 0 0 0
1701767820.853683000  1000.58 0 50.0004  -  nan  -0.082885 0.0477054 0.0181057  -0.082885 0.0477054 0.0181057  0.0152497 0.00339508 9.56086  0.0152497 0.00339508 9.56086  - - -  - - -  77.3382 70.2337 68.4373 67.6122 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.858670000  1000.58 0 49.9994  -  nan  -0.0829226 0.0187994 0.00552866  -0.0829226 0.0187994 0.00552866  -0.0261412 0.151527 9.54722  -0.0261412 0.151527 9.54722  - - -  - - -  77.2433 70.6263 68.5858 67.2719 - - - - - 72.1501 - 67.6407 - - - - 138 146 134 71 0 0 0 0
1701767820.863663000  1000.58 0 49.9994  -  nan  -0.0973047 0.0477709 0.0171161  -0.0973047 0.0477709 0.0171161  -0.123237 0.0459952 10.1263  -0.123237 0.0459952 10.1263  - - -  - - -  77.2038 70.7189 68.9378 67.2115 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.868679000  1000.58 0 50.0005  -  nan  -0.097715 -0.0099695 0.0191314  -0.097715 -0.0099695 0.0191314  0.0561822 -0.0532418 10.3082  0.0561822 -0.0532418 10.3082  - - -  - - -  77.1813 70.8138 68.7227 67.1243 - - - - 78.3208 - 67.6407 - - - - - 138 146 134 71 0 0 0 0
1701767820.873670000  1000.59 0 50.0005  -  nan  -0.0543927 -0.0248903 0.00902814  -0.0543927 -0.0248903 0.00902814  -0.0719334 0.152131 9.49029  -0.0719334 0.152131 9.49029  - - -  - - -  76.6329 70.8528 69.0732 66.8573 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.878662000  1000.59 0 49.9976  -  nan  -0.0973423 0.0188649 0.00453906  -0.0973423 0.0188649 0.00453906  -0.123668 -0.000265298 9.90237  -0.123668 -0.000265298 9.90237  - - -  - - -  76.52 70.6601 69.4259 67.1421 - - - - - 70.6514 - 67.2585 - - - - 138 146 134 71 0 0 0 0
1701767820.883651000  1000.59 0 49.9976  -  nan  -0.0259004 -0.097486 -4.94141e-05  -0.0259004 -0.097486 -4.94141e-05  0.010983 0.0392899 10.7548  0.010983 0.0392899 10.7548  - - -  - - -  76.6163 70.7293 69.4659 67.0085 - - - - - - - - - - - - 138 146 134 71 0 0 0 0
1701767820.888672000  1000.59 0 49.999  -  nan  -0.0257172 -0.024479 0.0245743  -0.0257172 -0.024479 0.0245743  -0.116606 0.0606262 8.75727  -0.116606 0.0606262 8.75727  - - -  - - -  75.7291 70.013 70.3109 67.3992 - - - - 75.3466 - 69.4155 - - - - - 138 146 134 71 0 0 0 0
