# logged on Tue Dec  5 10:59:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701770382.413952000  1000.14 0 50.005  15.77  nan  -0.0256164 -0.0102972 0.0240793  -0.0256164 -0.0102972 0.0240793  -0.0753457 0.0520959 9.55581  -0.0753457 0.0520959 9.55581  nan nan nan  nan nan nan  71.9004 72.0446 71.9912 67.8486 - - - - 69.8227 70.4424 71.9321 69.6185 nan nan nan nan 139 146 0 70 0 0 0 0
1701770382.418972000  1000.14 0 50.0032  -  nan  0.0326821 -0.0683044 0.0301237  0.0326821 -0.0683044 0.0301237  -0.0325973 0.0447751 10.2412  -0.0325973 0.0447751 10.2412  - - -  - - -  71.809 71.8475 72.1083 68.2645 - - - - 70.8617 71.286 71.7154 66.8807 - - - - 139 146 0 70 0 0 0 0
1701770382.423958000  1000.15 0 50.0032  -  nan  -0.054519 0.00455808 0.0351722  -0.054519 0.00455808 0.0351722  -0.0350287 -0.0974614 9.79771  -0.0350287 -0.0974614 9.79771  - - -  - - -  71.4294 71.406 72.3224 68.6412 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.429047000  1000.16 0 50.0032  -  nan  0.0617303 -0.0390588 0.0310776  0.0617303 -0.0390588 0.0310776  -0.0799266 -0.00332092 10.1886  -0.0799266 -0.00332092 10.1886  - - -  - - -  71.7553 71.8448 71.8334 68.6938 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.433959000  1000.17 0 50.0032  -  nan  0.0758405 -0.0826829 0.0335875  0.0758405 -0.0826829 0.0335875  -0.0327544 -0.000880666 9.96062  -0.0327544 -0.000880666 9.96062  - - -  - - -  71.4567 71.2415 72.0156 69.365 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.438967000  1000.17 0 50.0016  -  nan  0.00295826 -0.0240678 0.0401205  0.00295826 -0.0240678 0.0401205  -0.0347546 -0.0968566 9.74112  -0.0347546 -0.0968566 9.74112  - - -  - - -  71.1649 70.8957 72.2265 69.8839 - - - - 72.1501 71.286 72.3694 67.8334 - - - - 139 146 0 70 0 0 0 0
1701770382.443942000  1000.16 0 50.0016  -  nan  0.120394 -0.0692446 0.0225649  0.120394 -0.0692446 0.0225649  -0.0822907 -0.0538466 10.3638  -0.0822907 -0.0538466 10.3638  - - -  - - -  71.4369 71.1945 71.9402 69.8477 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.449045000  1000.16 0 50.0016  -  nan  0.10571 -0.0828186 0.0356373  0.10571 -0.0828186 0.0356373  0.00993164 -0.0999016 10.0264  0.00993164 -0.0999016 10.0264  - - -  - - -  71.268 70.2576 72.1124 70.6251 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.453951000  1000.16 0 50.0016  -  nan  0.0472098 -0.0531751 0.0305829  0.0472098 -0.0531751 0.0305829  -0.0312477 -0.0428655 9.33655  -0.0312477 -0.0428655 9.33655  - - -  - - -  71.1454 69.9806 72.1749 70.885 - - - - - - - - - - - - 139 146 0 70 0 0 0 0
1701770382.459052000  1000.16 0 50.002  -  nan  0.13494 -0.0987585 -0.00258949  0.13494 -0.0987585 -0.00258949  -0.0810325 -0.00576117 10.417  -0.0810325 -0.00576117 10.417  - - -  - - -  71.3443 70.3168 72.0237 70.6237 - - - - 72.3694 71.0732 71.0732 - - - - - 139 146 0 70 0 0 0 0
1701770382.463960000  1000.17 0 50.002  -  nan  0.106 -0.112809 -0.0040737  0.106 -0.112809 -0.0040737  0.0588252 -0.00210079 10.0755  0.0588252 -0.00210079 10.0755  - - -  - - -  71.4883 69.6507 72.3368 70.8555 - - - - - - - 70.028 - - - - 139 146 0 70 0 0 0 0
