# logged on Tue Dec  5 11:06:44 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701770804.355247000  1001.33 0 49.9869  15.576  nan  0.0923756 0.0463673 0.0165552  0.0923756 0.0463673 0.0165552  -0.0294365 0.0064401 9.27559  -0.0294365 0.0064401 9.27559  nan nan nan  nan nan nan  73.2546 69.4465 71.7547 69.6649 - - - - 73.4862 70.6514 70.2346 69.2137 nan nan nan nan 138 146 133 70 0 0 0 0
1701770804.360264000  1001.33 0 49.9906  -  nan  0.10665 0.00220086 0.00549811  0.10665 0.00220086 0.00549811  0.0119319 -0.00392568 10.2459  0.0119319 -0.00392568 10.2459  - - -  - - -  73.2606 69.0202 71.821 70.4862 - - - - - 70.028 71.9321 68.2221 - - - - 138 146 133 70 0 0 0 0
1701770804.365247000  1001.33 0 49.9905  -  nan  0.0478849 0.0182049 0.0145057  0.0478849 0.0182049 0.0145057  0.05812 -0.0489661 9.90809  0.05812 -0.0489661 9.90809  - - -  - - -  72.95 68.9491 71.8234 70.4907 - - - - 73.2601 - - - - - - - 138 146 133 70 0 0 0 0
1701770804.370252000  1001.32 0 49.9905  -  nan  0.121278 0.031512 0.0054624  0.121278 0.031512 0.0054624  -0.0294365 0.0064401 9.27559  -0.0294365 0.0064401 9.27559  - - -  - - -  72.9317 69.2347 71.7795 70.3751 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.375236000  1001.32 0 49.9905  -  nan  0.106448 -0.0261629 0.00648807  0.106448 -0.0261629 0.00648807  -0.0333073 -0.00210079 10.0748  -0.0333073 -0.00210079 10.0748  - - -  - - -  72.9495 68.7612 72.0042 70.8171 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.380249000  1001.32 0 49.9923  -  nan  0.0477393 -0.025896 0.002459  0.0477393 -0.025896 0.002459  0.05812 -0.0489661 9.90809  0.05812 -0.0489661 9.90809  - - -  - - -  72.7406 68.7489 72.1208 70.684 - - - - - 68.8137 71.9321 - - - - - 138 146 133 70 0 0 0 0
1701770804.385256000  1001.32 0 49.9909  -  nan  0.0921292 -0.0119155 0.0050035  0.0921292 -0.0119155 0.0050035  -0.0747927 0.053316 9.44164  -0.0747927 0.053316 9.44164  - - -  - - -  72.604 68.9209 72.2995 70.4347 - - - - 73.4862 - - 71.286 - - - - 138 146 133 70 0 0 0 0
1701770804.390267000  1001.31 0 49.9909  -  nan  0.0764779 -0.040209 0.00493317  0.0764779 -0.040209 0.00493317  0.0577193 -0.00454105 10.3038  0.0577193 -0.00454105 10.3038  - - -  - - -  72.5131 68.9366 72.3655 70.6798 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.395265000  1001.3 0 49.9909  -  nan  0.0333195 -0.0258305 0.00146941  0.0333195 -0.0258305 0.00146941  0.0138649 0.000339461 9.84679  0.0138649 0.000339461 9.84679  - - -  - - -  72.2135 68.9613 72.4945 70.3311 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.400265000  1001.3 0 49.9916  -  nan  0.0480488 0.0176625 0.000938711  0.0480488 0.0176625 0.000938711  -0.0729496 0.103636 9.38058  -0.0729496 0.103636 9.38058  - - -  - - -  72.4324 69.2008 72.4541 70.1 - - - - - - 72.59 71.7154 - - - - 138 146 133 70 0 0 0 0
1701770804.405257000  1001.29 0 49.9913  -  nan  0.0475937 -0.0699969 -0.0095877  0.0475937 -0.0699969 -0.0095877  0.102684 -0.00697069 10.5315  0.102684 -0.00697069 10.5315  - - -  - - -  72.5925 69.2538 72.343 70.1901 - - - - 72.812 70.028 - - - - - - 138 146 133 70 0 0 0 0
1701770804.410260000  1001.29 0 49.9913  -  nan  0.0191646 -0.0121254 -0.0135822  0.0191646 -0.0121254 -0.0135822  -0.0290054 0.0527006 9.49956  -0.0290054 0.0527006 9.49956  - - -  - - -  72.2252 69.1703 72.6526 69.5681 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.415243000  1001.29 0 49.9913  -  nan  0.00392364 0.0173215 -0.0156678  0.00392364 0.0173215 -0.0156678  -0.0284524 0.0539208 9.38539  -0.0284524 0.0539208 9.38539  - - -  - - -  72.8447 69.5294 72.4837 69.3042 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.420257000  1001.29 0 49.993  -  nan  0.00330453 -0.0697956 -0.0126272  0.00330453 -0.0697956 -0.0126272  0.103233 -0.00576117 10.4183  0.103233 -0.00576117 10.4183  - - -  - - -  72.722 69.7293 72.4718 69.0071 - - - - - 69.6185 72.59 - - - - - 138 146 133 70 0 0 0 0
1701770804.425244000  1001.29 0 49.9914  -  nan  -0.0108688 -0.0114474 -0.00206504  -0.0108688 -0.0114474 -0.00206504  0.0158027 0.00461521 9.44669  0.0158027 0.00461521 9.44669  - - -  - - -  72.2964 69.7661 72.5206 68.7641 - - - - 71.9321 - - 69.4155 - - - - 138 146 133 70 0 0 0 0
1701770804.430261000  1001.29 0 49.9914  -  nan  -0.010932 0.00327683 0.011007  -0.010932 0.00327683 0.011007  0.014296 0.0466 10.0708  0.014296 0.0466 10.0708  - - -  - - -  72.9307 70.3758 72.0363 68.7032 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.435254000  1001.29 0 49.9914  -  nan  0.0186351 -0.0394045 0.0145418  0.0186351 -0.0394045 0.0145418  0.104617 -0.00270555 10.1324  0.104617 -0.00270555 10.1324  - - -  - - -  72.6026 70.4642 71.6751 68.6449 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.440260000  1001.29 0 49.9911  15.609  nan  -0.0106224 0.0468354 0.00948668  -0.0106224 0.0468354 0.00948668  0.021669 0.109121 8.86798  0.021669 0.109121 8.86798  - - -  - - -  72.6246 70.4055 71.5864 68.6579 - - - - - 69.8227 72.59 - - - - - 138 146 133 70 0 0 0 0
1701770804.445241000  1001.29 0 49.99  -  nan  -0.0107232 0.0326535 0.00998166  -0.0107232 0.0326535 0.00998166  0.0593782 -0.000880666 9.96129  0.0593782 -0.000880666 9.96129  - - -  - - -  73.2306 70.8354 71.2822 68.481 - - - - 71.9321 - - 69.6185 - - - - 138 146 133 70 0 0 0 0
1701770804.450268000  1001.29 0 49.99  -  nan  0.0334835 -0.0263728 -0.0120976  0.0334835 -0.0263728 -0.0120976  0.0611942 0.0484355 9.89934  0.0611942 0.0484355 9.89934  - - -  - - -  73.2697 70.77 71.2598 67.9857 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.455243000  1001.29 0 49.99  -  nan  0.019411 0.0461573 -0.00203044  0.019411 0.0461573 -0.00203044  0.0642331 0.0551409 9.27189  0.0642331 0.0551409 9.27189  - - -  - - -  73.6343 70.3771 71.2639 68.1367 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.460271000  1001.29 0 49.9909  -  nan  0.0334203 -0.0116486 0.000974428  0.0334203 -0.0116486 0.000974428  0.0113789 -0.00514581 10.3601  0.0113789 -0.00514581 10.3601  - - -  - - -  74.0067 70.729 71.0209 68.0248 - - - - - 71.286 - 69.2137 - - - - 138 146 133 70 0 0 0 0
1701770804.465254000  1001.29 0 49.9908  -  nan  0.106586 -0.05565 -0.020625  0.106586 -0.05565 -0.020625  0.057014 -0.0514064 10.1364  0.057014 -0.0514064 10.1364  - - -  - - -  73.5986 70.3774 71.0983 68.1353 - - - - 73.7137 - 72.1501 - - - - - 138 146 133 70 0 0 0 0
1701770804.470266000  1001.29 0 49.9908  -  nan  0.0628341 0.0454184 -0.0126286  0.0628341 0.0454184 -0.0126286  -0.0254134 0.0606262 8.75794  -0.0254134 0.0606262 8.75794  - - -  - - -  73.4125 69.9675 71.3369 68.4562 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.475249000  1001.29 0 49.9908  -  nan  0.0765787 -0.0260271 0.00443819  0.0765787 -0.0260271 0.00443819  -0.0362245 -0.0538466 10.3641  -0.0362245 -0.0538466 10.3641  - - -  - - -  73.8411 70.0523 71.036 68.7071 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.480260000  1001.29 0 49.9931  -  nan  0.134713 -0.083492 0.0240495  0.134713 -0.083492 0.0240495  0.0579982 -0.00392568 10.2462  0.0579982 -0.00392568 10.2462  - - -  - - -  73.0382 69.649 71.4394 69.0225 - - - - - 70.6514 70.6514 67.2585 - - - - 138 146 133 70 0 0 0 0
1701770804.485251000  1001.29 0 49.9928  -  nan  0.092174 0.0180036 0.0175452  0.092174 0.0180036 0.0175452  -0.0727379 0.0125407 8.70439  -0.0727379 0.0125407 8.70439  - - -  - - -  72.6691 69.5347 71.4467 69.3009 - - - - 71.9321 - - - - - - - 138 146 133 70 0 0 0 0
1701770804.490268000  1001.29 0 49.9928  -  nan  0.134776 -0.0982162 0.0109775  0.134776 -0.0982162 0.0109775  0.053233 -0.106002 10.5976  0.053233 -0.106002 10.5976  - - -  - - -  72.8988 69.5391 71.2752 69.7167 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.495260000  1001.29 0 49.9928  -  nan  0.178965 -0.112599 0.014512  0.178965 -0.112599 0.014512  -0.0334596 -0.047746 9.79324  -0.0334596 -0.047746 9.79324  - - -  - - -  72.3389 69.0352 71.7287 69.8303 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.500272000  1001.29 0 49.9937  -  nan  0.106347 -0.0403447 0.00698305  0.106347 -0.0403447 0.00698305  -0.0276557 -0.0349399 8.59493  -0.0276557 -0.0349399 8.59493  - - -  - - -  72.1301 68.7008 72.1852 70.3043 - - - - - 69.0131 71.5001 69.6185 - - - - 138 146 133 70 0 0 0 0
1701770804.505250000  1001.29 0 49.9943  -  nan  0.19334 -0.142584 0.00295987  0.19334 -0.142584 0.00295987  0.0113789 -0.00514581 10.3601  0.0113789 -0.00514581 10.3601  - - -  - - -  72.2861 68.9526 72.0854 70.373 - - - - 72.3694 - - - - - - - 138 146 133 70 0 0 0 0
1701770804.510256000  1001.29 0 49.9943  -  nan  0.179028 -0.127324 0.00143994  0.179028 -0.127324 0.00143994  0.0117748 -0.0495815 9.96533  0.0117748 -0.0495815 9.96533  - - -  - - -  71.3022 67.8009 72.7968 70.9159 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.515250000  1001.29 0 49.9943  -  nan  0.120558 -0.069787 0.00899796  0.120558 -0.069787 0.00899796  -0.0291576 0.00705546 9.21801  -0.0291576 0.00705546 9.21801  - - -  - - -  71.3484 67.745 72.9632 70.9181 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.520281000  1001.29 0 49.9935  -  nan  0.193239 -0.156766 0.00345485  0.193239 -0.156766 0.00345485  0.0124849 -0.00270555 10.1317  0.0124849 -0.00270555 10.1317  - - -  - - -  71.0583 67.4728 73.0153 70.8196 - - - - - 67.8334 73.7137 - - - - - 138 146 133 70 0 0 0 0
1701770804.525262000  1001.29 0 49.9957  -  nan  0.105874 -0.083361 0.0220703  0.105874 -0.083361 0.0220703  0.0160768 0.00521997 9.3901  0.0160768 0.00521997 9.3901  - - -  - - -  70.4401 66.8982 73.2414 71.3095 - - - - 71.5001 - - 70.028 - - - - 138 146 133 70 0 0 0 0
1701770804.530267000  1001.29 0 49.9957  -  nan  0.076314 -0.0396666 0.0185002  0.076314 -0.0396666 0.0185002  0.0135908 -0.000265298 9.90338  0.0135908 -0.000265298 9.90338  - - -  - - -  70.7251 67.6356 72.8667 71.0728 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.535260000  1001.29 0 49.9957  -  nan  0.13484 -0.11294 -0.00209451  0.13484 -0.11294 -0.00209451  0.0616573 0.0957106 10.1232  0.0616573 0.0957106 10.1232  - - -  - - -  70.5775 67.5493 72.8978 70.7769 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.540269000  1001.29 0 49.9958  -  nan  0.0475377 -0.0542598 0.00344896  0.0475377 -0.0542598 0.00344896  0.0660811 0.105472 9.20984  0.0660811 0.105472 9.20984  - - -  - - -  70.2309 66.994 73.2363 70.8034 - - - - - 66.3218 73.0353 71.0732 - - - - 138 146 133 70 0 0 0 0
1701770804.545265000  1001.29 0 49.9962  -  nan  0.00348775 0.00321129 0.0119966  0.00348775 0.00321129 0.0119966  0.0596571 -0.000265298 9.90371  0.0596571 -0.000265298 9.90371  - - -  - - -  70.6759 67.6998 72.9848 70.3968 - - - - 71.9321 - - - - - - - 138 146 133 70 0 0 0 0
1701770804.550266000  1001.29 0 49.9962  -  nan  0.0619574 -0.0543253 0.00443855  0.0619574 -0.0543253 0.00443855  0.0626735 0.144206 10.2329  0.0626735 0.144206 10.2329  - - -  - - -  70.6687 67.826 72.655 70.1603 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.555265000  1001.29 0 49.9962  -  nan  -0.0680997 0.0754613 0.00453834  -0.0680997 0.0754613 0.00453834  0.113253 0.107912 8.98183  0.113253 0.107912 8.98183  - - -  - - -  70.325 67.3226 72.7637 70.3099 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.560252000  1001.29 0 49.9978  -  nan  -0.0682005 0.0612794 0.00503332  -0.0682005 0.0612794 0.00503332  0.0609153 0.0478201 9.95692  0.0609153 0.0478201 9.95692  - - -  - - -  71.5869 68.7025 71.9499 69.3306 - - - - - 68.0272 - 70.028 - - - - 138 146 133 70 0 0 0 0
1701770804.565255000  1001.29 0 49.9965  -  nan  0.00392364 0.0173215 -0.0156678  0.00392364 0.0173215 -0.0156678  0.156649 0.194526 10.1725  0.156649 0.194526 10.1725  - - -  - - -  71.228 68.312 72.1407 69.4389 - - - - 70.8617 - 73.0353 - - - - - 138 146 133 70 0 0 0 0
1701770804.570267000  1001.29 0 49.9965  -  nan  -0.169721 0.148389 0.00859723  -0.169721 0.148389 0.00859723  0.0674612 0.108517 8.92491  0.0674612 0.108517 8.92491  - - -  - - -  71.1584 67.8907 72.1284 69.3873 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701770804.575250000  1001.29 0 49.9965  -  nan  -0.140825 0.132521 -0.00246024  -0.140825 0.132521 -0.00246024  0.109746 0.0539208 9.3864  0.109746 0.0539208 9.3864  - - -  - - -  72.1208 69.0261 71.4023 68.5646 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
