# logged on Tue Dec  5 11:35:21 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701772521.191121000  999.721 0 49.9974  15.802  nan  0.119682 -0.169531 0.0260652  0.119682 -0.169531 0.0260652  -0.0303854 0.0496556 9.78449  -0.0303854 0.0496556 9.78449  nan nan nan  nan nan nan  72.6643 66.9592 71.4446 72.0938 - - - - 74.173 67.2585 70.4424 71.9321 nan nan nan nan 139 146 134 71 0 0 0 0
1701772521.196111000  999.717 0 49.9967  -  nan  -0.011663 -0.052366 0.0401209  -0.011663 -0.052366 0.0401209  -0.0336486 -0.0944164 9.51277  -0.0336486 -0.0944164 9.51277  - - -  - - -  72.0922 66.063 72.0662 72.9185 - - - - - - 72.3694 - - - - - 139 146 134 71 0 0 0 0
1701772521.201109000  999.718 0 49.9991  -  nan  0.0472658 -0.0689123 0.0175463  0.0472658 -0.0689123 0.0175463  0.0127589 -0.00210079 10.0751  0.0127589 -0.00210079 10.0751  - - -  - - -  72.5086 66.6763 71.4882 72.6949 - - - - 72.812 66.6933 - - - - - - 139 146 134 71 0 0 0 0
1701772521.206148000  999.722 0 49.9962  -  nan  0.120357 -0.0981507 0.00998791  0.120357 -0.0981507 0.00998791  0.0162338 0.0508758 9.67066  0.0162338 0.0508758 9.67066  - - -  - - -  72.6018 66.7596 71.3427 72.6193 - - - - - - - 72.812 - - - - 139 146 134 71 0 0 0 0
1701772521.211112000  999.723 0 49.9962  -  nan  -0.0254525 -0.0108395 0.0105124  -0.0254525 -0.0108395 0.0105124  -0.0331855 -0.0471412 9.73665  -0.0331855 -0.0471412 9.73665  - - -  - - -  72.5728 65.7331 71.7209 73.145 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.216110000  999.719 0 49.9999  -  nan  0.0918268 -0.054461 0.00648843  0.0918268 -0.054461 0.00648843  0.0593782 -0.000880666 9.96129  0.0593782 -0.000880666 9.96129  - - -  - - -  73.373 66.3713 71.0473 72.4638 - - - - 73.0353 - 71.9321 - - - - - 139 146 134 71 0 0 0 0
1701772521.221108000  999.717 0 50.0009  -  nan  0.0475377 -0.0542598 0.00344896  0.0475377 -0.0542598 0.00344896  0.0611942 0.0484355 9.89934  0.0611942 0.0484355 9.89934  - - -  - - -  73.1926 65.5098 71.3827 72.976 - - - - - 67.0691 - - - - - - 139 146 134 71 0 0 0 0
1701772521.226136000  999.715 0 49.9988  -  nan  -0.0253069 0.0332614 0.0225591  -0.0253069 0.0332614 0.0225591  0.0139867 -0.044701 9.50864  0.0139867 -0.044701 9.50864  - - -  - - -  73.2868 65.6409 71.1863 72.8999 - - - - - - - 73.2601 - - - - 139 146 134 71 0 0 0 0
1701772521.231114000  999.722 0 49.9988  -  nan  0.0917189 -0.0696559 0.00701876  0.0917189 -0.0696559 0.00701876  0.0593782 -0.000880666 9.96129  0.0593782 -0.000880666 9.96129  - - -  - - -  73.7581 66.2606 70.5292 72.7326 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772521.236126000  999.735 0 50.0002  15.802  nan  -0.0254525 -0.0108395 0.0105124  -0.0254525 -0.0108395 0.0105124  0.0162338 0.0508758 9.67066  0.0162338 0.0508758 9.67066  - - -  - - -  73.4066 65.5864 70.9657 73.1264 - - - - 71.5001 - 71.5001 - - - - - 139 146 134 71 0 0 0 0
1701772521.241115000  999.743 0 50.0001  -  nan  -0.0397266 0.0333269 0.0215695  -0.0397266 0.0333269 0.0215695  0.0149708 0.00277971 9.61844  0.0149708 0.00277971 9.61844  - - -  - - -  73.8777 66.2501 70.4341 72.6207 - - - - - 65.591 - - - - - - 139 146 134 71 0 0 0 0
