# pom logged on Tue Dec  5 11:42:46 2023
#
# decimation 5
# process model constant_acceleration
# process noise acc 200 m/s³, aacc 50 rad/s²
# magnetic field X 513185 µT, Y -8834.65 µT, Z -858232 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1701772966.704575000 0 1 1 1 1 1 -1.98663 -1.00665 1.48082 -0.003152 -0.000383086 -0.00908192 -0.0014894 0.0220986 0.00939234 0.00491242 0.00119369 -0.020151 -0.0209108 0.101211 0.15423 1.52127e-06 1.52125e-06 1.32646e-06 5.4154e-06 5.41542e-06 7.1983e-06 7.70018e-05 7.69989e-05 5.77202e-05 7.70018e-05 7.69989e-05 5.77202e-05 0.058387 0.0583869 0.0578775
1701772966.708755000 0 1 1 1 1 1 -1.98666 -1.00663 1.48078 -0.00290892 -8.96272e-05 -0.00914678 -0.00197273 0.0224292 0.0020426 0.0221334 0.0286195 -0.0150293 -0.0446376 0.119558 -0.455713 1.46925e-06 1.46923e-06 1.28676e-06 5.35957e-06 5.35959e-06 7.14333e-06 7.50168e-05 7.5014e-05 5.63944e-05 7.50168e-05 7.5014e-05 5.63944e-05 0.0449498 0.0449497 0.0444572
1701772966.713561000 0 1 1 1 1 1 -1.98667 -1.00652 1.48083 -0.00292098 -0.000185443 -0.00916274 -0.00202244 0.0224417 0.00528768 0.0118877 0.00623904 -0.0102834 -0.0291673 0.076871 -0.0165322 1.54771e-06 1.54768e-06 1.3473e-06 5.42964e-06 5.42967e-06 7.21342e-06 7.75216e-05 7.75187e-05 5.80512e-05 7.75216e-05 7.75187e-05 5.80512e-05 0.0580425 0.0580425 0.0575562
1701772966.718580000 0 1 1 1 1 1 -1.98672 -1.0065 1.48087 -0.00245335 -0.000719695 -0.00930233 -0.00242948 0.0223916 0.00789299 0.046419 -0.0399061 -0.0135254 -0.0370772 0.0750082 0.142099 1.47567e-06 1.47564e-06 1.29229e-06 5.38479e-06 5.38483e-06 7.16958e-06 7.55265e-05 7.55238e-05 5.6893e-05 7.55265e-05 7.55238e-05 5.6893e-05 0.0584287 0.0584287 0.057929
1701772966.724057000 0 1 1 1 1 1 -1.98676 -1.00647 1.48084 -0.00218827 -0.000502885 -0.00933975 -0.00300381 0.0223611 0.000544017 0.046714 -0.00276475 -0.0081331 -0.0552461 0.0706684 -0.42156 1.44199e-06 1.44197e-06 1.26659e-06 5.38136e-06 5.3814e-06 7.16661e-06 7.48665e-05 7.4864e-05 5.66765e-05 7.48665e-05 7.4864e-05 5.66765e-05 0.0687601 0.06876 0.0682735
1701772966.729686000 0 1 1 1 1 1 -1.98678 -1.00635 1.48093 -0.00156725 -0.00100877 -0.00940353 -0.00278635 0.0222778 0.00800168 0.0828685 -0.0474384 -0.0106496 -0.0159047 0.0421536 0.267332 1.53237e-06 1.53234e-06 1.33648e-06 5.39495e-06 5.39499e-06 7.18032e-06 7.64359e-05 7.64333e-05 5.72245e-05 7.64359e-05 7.64333e-05 5.72245e-05 0.0441793 0.0441793 0.0436781
1701772966.734564000 0 1 1 1 1 1 -1.98683 -1.00632 1.48093 -0.00103279 -0.0011263 -0.00949739 -0.00329259 0.0222328 0.00395836 0.0929515 -0.0367221 -0.0119363 -0.0389863 0.0541284 -0.172249 1.48292e-06 1.4829e-06 1.29873e-06 5.38722e-06 5.38726e-06 7.17323e-06 7.5533e-05 7.55306e-05 5.69011e-05 7.5533e-05 7.55306e-05 5.69011e-05 0.0580031 0.0580031 0.0574994
1701772966.739570000 0 1 1 1 1 1 -1.98684 -1.00622 1.48093 -0.00070878 -0.000832113 -0.00950192 -0.00359299 0.0219715 0.00228666 0.0823805 0.0015976 -0.00709415 -0.0453476 0.0108856 -0.185618 1.56511e-06 1.56508e-06 1.36215e-06 5.43765e-06 5.43769e-06 7.22367e-06 7.76706e-05 7.76681e-05 5.81598e-05 7.76706e-05 7.76681e-05 5.81598e-05 0.0582523 0.0582523 0.0577611
1701772966.744558000 0 1 1 1 1 1 -1.98689 -1.0062 1.48099 0.000214932 -0.00130031 -0.00968066 -0.00343462 0.0216415 0.00672838 0.126944 -0.0397544 -0.0181657 -0.00678991 0.0162955 0.1988 1.52262e-06 1.52259e-06 1.32991e-06 5.41118e-06 5.41122e-06 7.19836e-06 7.64671e-05 7.64649e-05 5.74591e-05 7.64671e-05 7.64649e-05 5.74591e-05 0.0579544 0.0579544 0.0574563
1701772966.749559000 0 1 1 1 1 1 -1.98694 -1.00619 1.48097 0.000712411 -0.00109964 -0.00982417 -0.00381538 0.0214103 0.00145672 0.112213 -0.00322788 -0.0200774 -0.0235453 0.0269959 -0.299787 1.47945e-06 1.47942e-06 1.29705e-06 5.38408e-06 5.38412e-06 7.17281e-06 7.52185e-05 7.52165e-05 5.67321e-05 7.52185e-05 7.52165e-05 5.67321e-05 0.0579372 0.0579372 0.0574386
