# logged on Tue Dec  5 11:42:46 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701772966.945971000  999.905 0 49.9996  15.609  nan  -0.0399098 -0.03968 -0.00305428  -0.0399098 -0.03968 -0.00305428  -0.0310282 0.0944905 10.2367  -0.0310282 0.0944905 10.2367  nan nan nan  nan nan nan  74.4391 69.6113 69.7303 68.5508 - - - - 74.4048 70.4424 69.4155 69.0131 nan nan nan nan 139 146 134 71 0 0 0 0
1701772966.950993000  999.905 0 49.9996  -  nan  -0.126872 0.0904523 0.0135813  -0.126872 0.0904523 0.0135813  -0.0276557 -0.0349399 8.59493  -0.0276557 -0.0349399 8.59493  - - -  - - -  74.6455 69.9212 69.5895 68.5151 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772966.955976000  999.905 0 49.9987  -  nan  -0.0114807 -0.0975515 0.000940182  -0.0114807 -0.0975515 0.000940182  0.01043 0.0380697 10.869  0.01043 0.0380697 10.869  - - -  - - -  75.0631 70.3103 69.2598 68.4572 - - - - 74.638 - - - - - - - 139 146 134 71 0 0 0 0
1701772966.960956000  999.905 0 49.9987  -  nan  -0.0398722 -0.010774 0.00952276  -0.0398722 -0.010774 0.00952276  -0.0315266 -0.0434808 9.39414  -0.0315266 -0.0434808 9.39414  - - -  - - -  74.1261 69.1984 70.0788 69.0508 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772966.965976000  999.905 0 50.001  -  nan  -0.082885 0.0477054 0.0181057  -0.082885 0.0477054 0.0181057  -0.0315266 -0.0434808 9.39414  -0.0315266 -0.0434808 9.39414  - - -  - - -  74.2899 69.3904 69.9466 69.1055 - - - - - 69.0131 68.8137 69.0131 - - - - 139 146 134 71 0 0 0 0
1701772966.970971000  999.905 0 50.0009  -  nan  0.0472281 -0.0978183 0.00496925  0.0472281 -0.0978183 0.00496925  0.0153122 0.0950953 10.1805  0.0153122 0.0950953 10.1805  - - -  - - -  74.5351 69.4919 69.6243 69.151 - - - - 73.7137 - - - - - - - 139 146 134 71 0 0 0 0
1701772966.975957000  999.905 0 50.0009  -  nan  -0.0686668 0.0192761 0.0200852  -0.0686668 0.0192761 0.0200852  -0.0336486 -0.0944164 9.51277  -0.0336486 -0.0944164 9.51277  - - -  - - -  74.3046 69.2431 69.7309 69.2275 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772966.980964000  999.905 0 50.0009  -  nan  -0.0109879 0.019014 0.0240436  -0.0109879 0.019014 0.0240436  -0.0319225 0.000954829 9.78887  -0.0319225 0.000954829 9.78887  - - -  - - -  74.8098 70.4542 68.9951 69.012 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772966.985963000  999.905 0 50.0016  -  nan  0.0618494 -0.0695201 0.00496889  0.0618494 -0.0695201 0.00496889  0.0145749 0.0472154 10.0132  0.0145749 0.0472154 10.0132  - - -  - - -  74.3912 69.3788 69.3782 69.7589 - - - - - 69.4155 69.6185 68.8137 - - - - 139 146 134 71 0 0 0 0
1701772966.990947000  999.905 0 50.0004  -  nan  -0.0973047 0.0477709 0.0171161  -0.0973047 0.0477709 0.0171161  -0.0344757 -0.0962412 9.68353  -0.0344757 -0.0962412 9.68353  - - -  - - -  74.2688 68.7303 69.7091 70.0276 - - - - 72.59 - - - - - - - 139 146 134 71 0 0 0 0
1701772966.995939000  999.905 0 50.0004  -  nan  0.00348775 0.00321129 0.0119966  0.00348775 0.00321129 0.0119966  -0.0333073 -0.00210079 10.0748  -0.0333073 -0.00210079 10.0748  - - -  - - -  74.8348 69.522 69.3037 69.3987 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.000956000  999.905 0 50.0004  -  nan  0.0330548 -0.03947 0.0155314  0.0330548 -0.03947 0.0155314  0.0625742 0.0514805 9.6144  0.0625742 0.0514805 9.6144  - - -  - - -  74.4804 68.7194 69.5167 70.1046 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.005966000  999.905 0 50.0003  -  nan  -0.0973047 0.0477709 0.0171161  -0.0973047 0.0477709 0.0171161  0.00891551 -0.148397 9.91668  0.00891551 -0.148397 9.91668  - - -  - - -  74.5675 68.8448 69.3478 70.1316 - - - - - 69.8227 69.6185 70.028 - - - - 139 146 134 71 0 0 0 0
1701772967.010962000  999.905 0 50.0003  -  nan  0.0622598 -0.0117797 0.00295362  0.0622598 -0.0117797 0.00295362  -0.0312173 0.0478201 9.95625  -0.0312173 0.0478201 9.95625  - - -  - - -  74.9048 69.335 69.0447 69.7833 - - - - 72.3694 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.015958000  999.905 0 50.0003  -  nan  0.00338696 -0.0109706 0.0124915  0.00338696 -0.0109706 0.0124915  0.0596571 -0.000265298 9.90371  0.0596571 -0.000265298 9.90371  - - -  - - -  74.6607 68.5379 69.4044 70.285 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.020975000  999.905 0 50.0003  -  nan  -0.0830865 0.0193417 0.0190957  -0.0830865 0.0193417 0.0190957  0.0571039 -0.0974614 9.79838  0.0571039 -0.0974614 9.79838  - - -  - - -  74.801 69.0033 68.9597 69.9684 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.025955000  999.905 0 50.0011  -  nan  0.0620958 -0.0112374 0.0165206  0.0620958 -0.0112374 0.0165206  -0.0757144 0.0975355 9.95144  -0.0757144 0.0975355 9.95144  - - -  - - -  74.9577 69.0659 68.8373 70.0976 - - - - - 68.6153 69.2137 70.4424 - - - - 139 146 134 71 0 0 0 0
1701772967.030963000  999.905 0 50  -  nan  -0.0833585 0.00468915 0.033193  -0.0833585 0.00468915 0.033193  0.0564611 -0.0526265 10.2506  0.0564611 -0.0526265 10.2506  - - -  - - -  74.7454 69.1168 68.8093 70.1812 - - - - 74.4048 - - - - - - - 139 146 134 71 0 0 0 0
1701772967.035956000  999.905 0 50  -  nan  -0.097715 -0.0099695 0.0191314  -0.097715 -0.0099695 0.0191314  -0.0313695 0.00217496 9.67469  -0.0313695 0.00217496 9.67469  - - -  - - -  74.6341 69.8613 68.4853 69.3024 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701772967.040961000  999.905 0 50  -  nan  -0.0111967 -0.0103627 0.0250689  -0.0111967 -0.0103627 0.0250689  -0.0298324 0.0508758 9.67032  -0.0298324 0.0508758 9.67032  - - -  - - -  74.7444 70.0212 68.5541 69.3272 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
