# logged on Tue Dec  5 12:55:27 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701777327.421170000  1000.49 0 49.9923  15.802  nan  -0.0678726 0.0601947 -0.0221007  -0.0678726 0.0601947 -0.0221007  0.017803 0.100591 9.66619  0.017803 0.100591 9.66619  nan nan nan  nan nan nan  76.5729 69.2482 68.3264 69.1096 - - - - 77.5555 67.2585 69.0131 70.6514 nan nan nan nan 138 0 133 71 0 0 0 0
1701777327.426159000  1000.49 0 49.9921  -  nan  -0.0537176 0.0464897 -0.0070491  -0.0537176 0.0464897 -0.0070491  0.0162338 0.0508758 9.67066  0.0162338 0.0508758 9.67066  - - -  - - -  76.5516 69.2093 68.5157 69.0394 - - - - - - - 71.9321 - - - - 138 0 133 71 0 0 0 0
1701777327.431154000  1000.49 0 49.9921  -  nan  -0.0971407 0.0472286 0.00354911  -0.0971407 0.0472286 0.00354911  0.0591041 -0.00148542 10.0179  0.0591041 -0.00148542 10.0179  - - -  - - -  76.5439 69.5368 68.4047 68.9171 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.436150000  1000.49 0 49.9939  -  nan  -0.0392979 0.0464241 -0.0060595  -0.0392979 0.0464241 -0.0060595  -0.0746085 0.0999758 9.7231  -0.0746085 0.0999758 9.7231  - - -  - - -  76.4831 69.7592 68.3409 68.7652 - - - - - 68.4182 - - - - - - 138 0 133 71 0 0 0 0
1701777327.441136000  1000.49 0 49.9913  -  nan  -0.082721 0.0471631 0.0045387  -0.082721 0.0471631 0.0045387  -0.0310954 0.00277971 9.61811  -0.0310954 0.00277971 9.61811  - - -  - - -  76.4574 69.6176 68.5272 68.8936 - - - - 76.558 - 69.0131 - - - - - 138 0 133 71 0 0 0 0
1701777327.446229000  1000.49 0 49.9921  -  nan  -0.0397082 -0.0113163 -0.00404424  -0.0397082 -0.0113163 -0.00404424  -0.0312173 0.0478201 9.95625  -0.0312173 0.0478201 9.95625  - - -  - - -  76.378 69.8767 68.4958 68.8197 - - - - - - - 69.4155 - - - - 138 0 133 71 0 0 0 0
1701777327.451140000  1000.49 0 49.9921  -  nan  0.00402443 0.0315034 -0.0161627  0.00402443 0.0315034 -0.0161627  -0.0737766 0.101811 9.55135  -0.0737766 0.101811 9.55135  - - -  - - -  75.9569 69.2479 69.155 69.2858 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.456138000  1000.5 0 49.9929  -  nan  -0.0397082 -0.0113163 -0.00404424  -0.0397082 -0.0113163 -0.00404424  -0.0364135 -0.100517 10.0836  -0.0364135 -0.100517 10.0836  - - -  - - -  76.136 69.3717 69.1325 69.2811 - - - - - 69.8227 - - - - - - 138 0 133 71 0 0 0 0
1701777327.461136000  1000.5 0 49.9904  -  nan  0.0332488 -0.0846943 -0.0246184  0.0332488 -0.0846943 -0.0246184  -0.0301113 0.0502604 9.7279  -0.0301113 0.0502604 9.7279  - - -  - - -  75.6735 69.2569 69.4979 69.1454 - - - - 76.8049 - 68.8137 - - - - - 138 0 133 71 0 0 0 0
1701777327.466138000  1000.51 0 49.9923  -  nan  -0.0250421 0.0469009 0.00849708  -0.0250421 0.0469009 0.00849708  -0.0315266 -0.0434808 9.39414  -0.0315266 -0.0434808 9.39414  - - -  - - -  75.5634 68.8473 69.9358 69.6958 - - - - - - - 68.6153 - - - - 138 0 133 71 0 0 0 0
1701777327.471135000  1000.51 0 49.9923  -  nan  0.03301 -0.0693891 0.0029897  0.03301 -0.0693891 0.0029897  0.054339 -0.103562 10.3692  0.054339 -0.103562 10.3692  - - -  - - -  75.9417 69.4683 69.3037 69.6286 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.476127000  1000.51 0 49.9941  -  nan  0.0765787 -0.0260271 0.00443819  0.0765787 -0.0260271 0.00443819  -0.0742398 0.0545361 9.32747  -0.0742398 0.0545361 9.32747  - - -  - - -  75.3201 68.7808 69.7929 69.9899 - - - - - 70.2346 - - - - - - 138 0 133 71 0 0 0 0
1701777327.481137000  1000.51 0 49.9932  -  nan  -0.0103577 0.0604749 -0.00457529  -0.0103577 0.0604749 -0.00457529  -0.0310954 0.00277971 9.61811  -0.0310954 0.00277971 9.61811  - - -  - - -  75.5852 68.6466 69.6623 70.3572 - - - - 75.5858 - 69.0131 - - - - - 138 0 133 71 0 0 0 0
1701777327.486146000  1000.51 0 49.9939  -  nan  0.0921665 -0.0555844 -0.0216146  0.0921665 -0.0555844 -0.0216146  0.0556292 -0.054462 10.4224  0.0556292 -0.054462 10.4224  - - -  - - -  75.9218 68.9157 69.2705 69.9844 - - - - - - - 68.6153 - - - - 138 0 133 71 0 0 0 0
1701777327.491144000  1000.51 0 49.9939  -  nan  0.0627333 0.0312365 -0.0121337  0.0627333 0.0312365 -0.0121337  -0.0267935 0.0575811 9.04287  -0.0267935 0.0575811 9.04287  - - -  - - -  75.6655 67.7326 69.7601 70.4464 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.496131000  1000.51 0 49.9945  -  nan  -0.0246766 0.0747223 -0.00605987  -0.0246766 0.0747223 -0.00605987  0.054892 -0.102342 10.2551  0.054892 -0.102342 10.2551  - - -  - - -  76.3777 68.3487 69.1953 70.2215 - - - - - 68.8137 - - - - - - 138 0 133 71 0 0 0 0
1701777327.501132000  1000.51 0 49.9957  -  nan  0.092532 -0.027763 -0.0361716  0.092532 -0.027763 -0.0361716  0.0577193 -0.00454105 10.3038  0.0577193 -0.00454105 10.3038  - - -  - - -  76.5981 68.6682 68.8834 69.7833 - - - - 75.8265 - - 70.6514 - - - - 138 0 133 71 0 0 0 0
1701777327.506132000  1000.51 0 49.9951  -  nan  -0.0245758 0.0889042 -0.00655484  -0.0245758 0.0889042 -0.00655484  -0.0267935 0.0575811 9.04287  -0.0267935 0.0575811 9.04287  - - -  - - -  76.2851 67.9397 69.4477 70.1963 - - - - - - 70.028 - - - - - 138 0 133 71 0 0 0 0
1701777327.511139000  1000.51 0 49.9951  -  nan  -0.0389955 0.0889697 -0.00754444  -0.0389955 0.0889697 -0.00754444  0.053786 -0.104782 10.4834  0.053786 -0.104782 10.4834  - - -  - - -  77.144 69.2395 68.5577 69.4437 - - - - - - - - - - - - 138 0 133 71 0 0 0 0
1701777327.516136000  1000.51 0 49.9946  -  nan  0.0769442 0.00179428 -0.0101188  0.0769442 0.00179428 -0.0101188  0.0164181 0.0975355 9.95212  0.0164181 0.0975355 9.95212  - - -  - - -  76.9745 69.1531 68.4085 69.271 - - - - - 67.8334 - - - - - - 138 0 133 71 0 0 0 0
