# logged on Tue Dec  5 13:02:42 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701777762.931575000  1000.48 0 100.009  15.512  nan  0.135023 -0.0399335 0.0225292  0.135023 -0.0399335 0.0225292  0.0201991 0.152131 9.49096  0.0201991 0.152131 9.49096  nan nan nan  nan nan nan  74.2651 67.2762 70.2694 71.1555 - - - - 75.1089 68.2221 71.0732 71.5001 nan nan nan nan 139 146 0 70 0 0 0 0
1701777762.936579000  1000.47 0 100.009  -  nan  0.106284 -0.0256205 0.0200551  0.106284 -0.0256205 0.0200551  0.105602 0.0447751 10.2422  0.105602 0.0447751 10.2422  - - -  - - -  74.6356 67.9342 69.8529 71.0701 - - - - 74.8727 - - - - - - - 139 146 0 70 0 0 0 0
1701777762.941564000  1000.47 0 100.009  -  nan  0.149051 -0.142383 -7.95993e-05  0.149051 -0.142383 -7.95993e-05  0.110583 0.194526 10.1722  0.110583 0.194526 10.1722  - - -  - - -  74.7313 68.2875 69.6027 70.7514 - - - - - 66.507 71.286 71.286 - - - - 139 146 0 70 0 0 0 0
1701777762.946585000  1000.47 0 100.01  -  nan  0.0478401 -0.0117142 0.00196402  0.0478401 -0.0117142 0.00196402  0.021584 0.155187 9.20504  0.021584 0.155187 9.20504  - - -  - - -  74.1749 67.9233 70.2558 70.6148 - - - - 73.2601 66.3218 - - - - - - 139 146 0 70 0 0 0 0
1701777762.951584000  1000.47 0 100.012  -  nan  0.0617486 -0.083702 0.00546387  0.0617486 -0.083702 0.00546387  0.106892 0.0938752 10.2953  0.106892 0.0938752 10.2953  - - -  - - -  74.686 68.8076 69.9501 70.0466 - - - - - - 70.2346 70.2346 - - - - 139 146 0 70 0 0 0 0
1701777762.956584000  1000.47 0 100.01  -  nan  0.120551 -0.143375 -0.0301618  0.120551 -0.143375 -0.0301618  0.0670074 0.200022 9.6576  0.0670074 0.200022 9.6576  - - -  - - -  74.3758 68.6633 70.2672 69.6951 - - - - 74.638 68.6153 - - - - - - 139 146 0 70 0 0 0 0
1701777762.961582000  1000.47 0 100.01  -  nan  -0.0397082 -0.0113163 -0.00404424  -0.0397082 -0.0113163 -0.00404424  -0.0257773 0.106076 9.15258  -0.0257773 0.106076 9.15258  - - -  - - -  74.3699 68.4347 70.8697 69.4933 - - - - - - 70.4424 70.8617 - - - - 139 146 0 70 0 0 0 0
1701777762.966576000  1000.47 0 100.011  -  nan  0.0759969 -0.156813 -0.0191393  0.0759969 -0.156813 -0.0191393  0.0601875 0.138721 10.7462  0.0601875 0.138721 10.7462  - - -  - - -  74.8491 69.4995 70.6024 68.8015 - - - - 74.638 68.6153 - - - - - - 139 146 0 70 0 0 0 0
1701777762.971564000  1000.47 0 100.009  -  nan  0.0618867 -0.113189 -0.0216492  0.0618867 -0.113189 -0.0216492  0.0226899 0.157627 8.97669  0.0226899 0.157627 8.97669  - - -  - - -  73.9963 68.6564 71.4343 68.9981 - - - - - - 69.8227 69.0131 - - - - 139 146 0 70 0 0 0 0
1701777762.976589000  1000.46 0 100.01  -  nan  -0.0256541 -0.0392032 0.0115023  -0.0256541 -0.0392032 0.0115023  0.0646963 0.102416 9.49577  0.0646963 0.102416 9.49577  - - -  - - -  74.3981 69.2604 71.2576 69.0098 - - - - 74.638 69.6185 - - - - - - 139 146 0 70 0 0 0 0
1701777762.981573000  1000.47 0 100.01  -  nan  0.12001 -0.170615 -0.00106883  0.12001 -0.170615 -0.00106883  0.0601875 0.138721 10.7462  0.0601875 0.138721 10.7462  - - -  - - -  74.3748 69.6087 70.9626 68.8692 - - - - - - 71.286 69.6185 - - - - 139 146 0 70 0 0 0 0
