# logged on Tue Dec  5 13:17:51 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701778671.063312000  1000.1 0 50  15.867  nan  0.0187542 -0.0698659 -0.0115669  0.0187542 -0.0698659 -0.0115669  -0.0748826 0.099371 9.77969  -0.0748826 0.099371 9.77969  nan nan nan  nan nan nan  74.6968 66.3797 71.7599 70.4833 - - - - 73.9426 63.1552 70.4424 71.5001 nan nan nan nan 139 146 134 71 0 0 0 0
1701778671.068325000  1000.1 0 50.0009  -  nan  -0.0111152 -0.0697301 -0.0136168  -0.0111152 -0.0697301 -0.0136168  0.013743 0.0453799 10.1849  0.013743 0.0453799 10.1849  - - -  - - -  74.4411 65.7076 72.1928 70.7946 - - - - - 65.0533 73.2601 - - - - - 139 146 134 71 0 0 0 0
1701778671.073316000  1000.1 0 50.0009  -  nan  -0.0976519 -0.0246937 0.00605935  -0.0976519 -0.0246937 0.00605935  -0.0316484 0.00155959 9.73228  -0.0316484 0.00155959 9.73228  - - -  - - -  74.4075 66.1604 72.0755 70.3188 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.078321000  1000.1 0 50.0036  -  nan  0.00334934 -0.0398766 -8.54921e-05  0.00334934 -0.0398766 -8.54921e-05  -0.0754355 0.0981509 9.89386  -0.0754355 0.0981509 9.89386  - - -  - - -  74.5161 66.5365 71.9544 70.093 - - - - 74.4048 - - 71.286 - - - - 139 146 134 71 0 0 0 0
1701778671.083321000  1000.1 0 50.0036  -  nan  -0.083169 -0.0394834 -0.00602307  -0.083169 -0.0394834 -0.00602307  0.0127589 -0.00210079 10.0751  0.0127589 -0.00210079 10.0751  - - -  - - -  74.4247 65.9999 72.0603 70.3961 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.088340000  1000.1 0 50.0019  -  nan  -0.0683837 -0.0117275 -0.0195904  -0.0683837 -0.0117275 -0.0195904  -0.0267935 0.0575811 9.04287  -0.0267935 0.0575811 9.04287  - - -  - - -  74.4351 66.2288 72.0378 69.9739 - - - - - 65.591 72.59 - - - - - 139 146 134 71 0 0 0 0
1701778671.093315000  1000.1 0 50.0019  -  nan  0.00368897 -0.041 -0.0281886  0.00368897 -0.041 -0.0281886  -0.0323232 0.0453799 10.1846  -0.0323232 0.0453799 10.1846  - - -  - - -  74.995 66.0139 72.2589 70.0038 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.098321000  1000.1 0 50.0024  -  nan  -0.083169 -0.0394834 -0.00602307  -0.083169 -0.0394834 -0.00602307  0.10308 -0.0514064 10.1368  0.10308 -0.0514064 10.1368  - - -  - - -  74.8908 65.7157 72.38 70.0981 - - - - 74.4048 - - 69.6185 - - - - 139 146 134 71 0 0 0 0
1701778671.103322000  1000.1 0 50.0024  -  nan  -0.0254525 -0.0108395 0.0105124  -0.0254525 -0.0108395 0.0105124  -0.0729496 0.103636 9.38058  -0.0729496 0.103636 9.38058  - - -  - - -  74.5209 66.2985 72.1567 69.78 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.108330000  1000.1 0 50.0011  -  nan  0.00375969 0.0178638 -0.00210076  0.00375969 0.0178638 -0.00210076  -0.0767306 0.0490403 9.84174  -0.0767306 0.0490403 9.84174  - - -  - - -  74.7807 66.1749 71.9147 70.2135 - - - - - 66.1376 72.1501 - - - - - 139 146 134 71 0 0 0 0
1701778671.113315000  1000.1 0 50.0011  -  nan  -0.0687493 -0.0395489 -0.00503347  -0.0687493 -0.0395489 -0.00503347  0.145091 -0.106607 10.6548  0.145091 -0.106607 10.6548  - - -  - - -  74.7713 66.0157 71.8753 70.215 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.118321000  1000.1 0 49.9999  -  nan  0.0193102 0.0319755 -0.00153546  0.0193102 0.0319755 -0.00153546  -0.162483 0.107297 9.0374  -0.162483 0.107297 9.0374  - - -  - - -  74.6237 65.9801 72.025 69.8949 - - - - 75.1089 - - 70.2346 - - - - 139 146 134 71 0 0 0 0
1701778671.123323000  1000.1 0 49.9999  -  nan  -0.0252885 -0.0113818 -0.00305464  -0.0252885 -0.0113818 -0.00305464  0.0115007 -0.0501862 10.0219  0.0115007 -0.0501862 10.0219  - - -  - - -  75.3341 65.7304 71.6741 70.54 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.128328000  1000.1 0 49.9989  -  nan  -0.0257997 -0.0833041 -0.000544392  -0.0257997 -0.0833041 -0.000544392  0.100315 -0.057507 10.7076  0.100315 -0.057507 10.7076  - - -  - - -  74.9277 65.8233 71.8587 70.3335 - - - - - 66.3218 71.7154 - - - - - 139 146 134 71 0 0 0 0
1701778671.133314000  1000.1 0 49.9989  -  nan  0.0196125 0.074521 -0.00302039  0.0196125 0.074521 -0.00302039  -0.164605 0.056361 9.15604  -0.164605 0.056361 9.15604  - - -  - - -  74.5112 65.9073 72.0203 70.5542 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.138320000  1000.1 0 49.9982  -  nan  -0.0110704 -0.0398111 -0.00107509  -0.0110704 -0.0398111 -0.00107509  0.100126 -0.104177 10.4272  0.100126 -0.104177 10.4272  - - -  - - -  75.0808 65.8466 71.711 70.8413 - - - - 76.0688 - - 69.8227 - - - - 139 146 134 71 0 0 0 0
1701778671.143318000  1000.1 0 49.9982  -  nan  0.00314057 -0.0692533 0.00093982  0.00314057 -0.0692533 0.00093982  -0.0312173 0.0478201 9.95625  -0.0312173 0.0478201 9.95625  - - -  - - -  74.3404 65.5065 72.2926 70.3708 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.148329000  1000.1 0 49.9974  -  nan  0.019411 0.0461573 -0.00203044  0.019411 0.0461573 -0.00203044  -0.163773 0.0581965 8.98429  -0.163773 0.0581965 8.98429  - - -  - - -  74.2524 65.38 72.3944 70.6104 - - - - - 65.2316 71.9321 - - - - - 139 146 134 71 0 0 0 0
1701778671.153319000  1000.1 0 49.9974  -  nan  0.00300217 -0.112341 -0.0111422  0.00300217 -0.112341 -0.0111422  0.144813 -0.107222 10.7124  0.144813 -0.107222 10.7124  - - -  - - -  74.4564 65.4138 72.2764 70.6893 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.158316000  1000.1 0 49.9989  -  nan  0.0478024 -0.0406202 -0.010613  0.0478024 -0.0406202 -0.010613  -0.0736868 0.0557563 9.2133  -0.0736868 0.0557563 9.2133  - - -  - - -  74.2375 65.2429 72.2694 70.7733 - - - - 74.4048 - - 69.8227 - - - - 139 146 134 71 0 0 0 0
1701778671.163319000  1000.1 0 49.9989  -  nan  -0.0102569 0.0746568 -0.00507027  -0.0102569 0.0746568 -0.00507027  -0.0755028 0.0064401 9.27525  -0.0755028 0.0064401 9.27525  - - -  - - -  75.0653 65.2743 72.1737 71.1697 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.168321000  1000.1 0 49.9961  -  nan  0.033312 -0.0994185 -0.0376904  0.033312 -0.0994185 -0.0376904  0.143707 -0.109663 10.9408  0.143707 -0.109663 10.9408  - - -  - - -  75.5478 65.3973 71.8384 71.0343 - - - - - 65.591 72.3694 - - - - - 139 146 134 71 0 0 0 0
1701778671.173319000  1000.1 0 49.9961  -  nan  0.0341703 0.0449684 -0.0291439  0.0341703 0.0449684 -0.0291439  -0.116138 0.107912 8.98016  -0.116138 0.107912 8.98016  - - -  - - -  74.668 64.4484 72.7259 71.1074 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.178315000  1000.1 0 49.996  -  nan  -0.0245758 0.0889042 -0.00655484  -0.0245758 0.0889042 -0.00655484  0.0597789 -0.0453057 9.56557  0.0597789 -0.0453057 9.56557  - - -  - - -  75.3556 64.7932 72.3558 71.1272 - - - - 73.9426 - - 71.7154 - - - - 139 146 134 71 0 0 0 0
1701778671.183353000  1000.1 0 49.996  -  nan  0.0472913 -0.112543 -0.00810277  0.0472913 -0.112543 -0.00810277  0.0985347 -0.0161269 11.3883  0.0985347 -0.0161269 11.3883  - - -  - - -  75.2672 65.1308 71.9492 70.775 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
1701778671.188339000  1000.1 0 49.9956  -  nan  -0.0102193 0.103563 0.00750677  -0.0102193 0.103563 0.00750677  -0.205784 0.113397 8.46621  -0.205784 0.113397 8.46621  - - -  - - -  74.3952 64.5051 72.2811 70.7662 - - - - - 65.7722 71.5001 - - - - - 139 146 134 71 0 0 0 0
1701778671.193313000  1000.1 0 49.9956  -  nan  -0.0540831 0.0186683 0.00750785  -0.0540831 0.0186683 0.00750785  0.101421 -0.0550667 10.4793  0.101421 -0.0550667 10.4793  - - -  - - -  75.7105 65.7933 71.0576 70.7757 - - - - - - - - - - - - 139 146 134 71 0 0 0 0
