# logged on Tue Dec  5 13:21:32 2023
#
# IMU calibration (0°C average)
# gscale {
#  0              1.02998  1           0.00719898  2           -0.0117111
#  3          -0.00468108  4              1.01299  5            0.0387375
#  6            0.0706854  7           -0.0353556  8             0.969071
# }
# gbias {
#  0           -0.0524938  1            0.0737189  2            0.0402229
# }
# gstddev {
#  0                  0.1  1                  0.1  2                  0.1
# }
# ascale {
#  0             0.940128  1            0.0320226  2          -0.00480849
#  3                    0  4               1.0146  5           -0.0106098
#  6           0.00687535  7           -0.0911342  8             0.992799
# }
# abias {
#  0             0.305976  1             0.104146  2             0.213338
# }
# astddev {
#  0                  0.5  1                  0.5  2                  0.5
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 0  y 0  z 0 }
# afc { x 0  y 0  z 0 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 50 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 meas_v1 meas_v2 meas_v3 meas_v4 meas_v5 meas_v6 meas_v7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1701778892.410534000  1000.63 0 49.9969  15.77  nan  0.0474929 -0.0841788 -0.00909272  0.0474929 -0.0841788 -0.00909272  0.101853 -0.00880619 10.7033  0.101853 -0.00880619 10.7033  nan nan nan  nan nan nan  73.1924 69.7749 70.1053 66.9213 - - - - 72.3694 69.0131 70.4424 65.4108 nan nan nan nan 138 146 133 70 0 0 0 0
1701778892.415482000  1000.63 0 49.9956  -  nan  0.0335211 0.00253321 0.000479449  0.0335211 0.00253321 0.000479449  0.0177357 0.00888035 9.04758  0.0177357 0.00888035 9.04758  - - -  - - -  72.8597 68.8818 70.5956 67.1691 - - - - - 69.4155 - 67.0691 - - - - 138 146 133 70 0 0 0 0
1701778892.420544000  1000.63 0 49.9956  -  nan  0.00406204 0.0604094 -0.0035857  0.00406204 0.0604094 -0.0035857  0.057567 -0.0501862 10.0223  0.057567 -0.0501862 10.0223  - - -  - - -  73.5737 69.2627 70.227 67.3224 - - - - - - - - - - - - 138 146 133 70 0 0 0 0
1701778892.425475000  1000.63 0 49.994  -  nan  0.0623229 -0.0265039 -0.0101184  0.0623229 -0.0265039 -0.0101184  0.0563392 -0.00758606 10.5887  0.0563392 -0.00758606 10.5887  - - -  - - -  73.7139 69.0835 69.8329 67.2195 - - - - 72.59 - - - - - - - 138 146 133 70 0 0 0 0
1701778892.430496000  1000.63 0 49.9976  -  nan  0.0338307 0.0460918 -0.00104084  0.0338307 0.0460918 -0.00104084  0.0633709 -0.0373802 8.82395  0.0633709 -0.0373802 8.82395  - - -  - - -  73.4622 68.5522 70.02 67.393 - - - - - - 71.0732 - - - - - 138 146 133 70 0 0 0 0
1701778892.435581000  1000.63 0 49.9961  -  nan  -0.0104208 0.0751991 0.00849672  -0.0104208 0.0751991 0.00849672  0.10446 -0.0483613 9.85183  0.10446 -0.0483613 9.85183  - - -  - - -  73.9718 68.8348 69.7934 67.6879 - - - - - 70.2346 - 67.8334 - - - - 138 146 133 70 0 0 0 0
1701778892.440538000  1000.63 0 49.9961  -  nan  0.092338 0.0174612 0.00397818  0.092338 0.0174612 0.00397818  0.0120889 0.0417301 10.5265  0.0120889 0.0417301 10.5265  - - -  - - -  74.1228 68.9923 69.5027 67.5617 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
1701778892.445488000  1000.63 0 49.9955  -  nan  0.0190454 0.0183359 0.0125265  0.0190454 0.0183359 0.0125265  0.0609747 -0.0889205 8.99918  0.0609747 -0.0889205 8.99918  - - -  - - -  73.7648 68.2806 69.4389 67.8869 - - - - 74.173 - - - - - - - 138 146 133 71 0 0 0 0
1701778892.450527000  1000.64 0 49.9979  -  nan  0.00359573 0.0184061 0.0114662  0.00359573 0.0184061 0.0114662  0.012206 -0.00332092 10.1893  0.012206 -0.00332092 10.1893  - - -  - - -  73.7884 68.5333 69.5563 67.8905 - - - - - - 68.2221 - - - - - 138 146 133 71 0 0 0 0
1701778892.455566000  1000.64 0 49.9964  -  nan  0.0480488 0.0176625 0.000938711  0.0480488 0.0176625 0.000938711  0.0139321 0.0920503 10.4654  0.0139321 0.0920503 10.4654  - - -  - - -  73.7716 68.6445 69.5416 67.6351 - - - - - 69.6185 - 68.2221 - - - - 138 146 133 71 0 0 0 0
1701778892.460582000  1000.64 0 49.9964  -  nan  -0.0109696 -0.0256292 -0.00157007  -0.0109696 -0.0256292 -0.00157007  0.0592259 -0.0465258 9.67974  0.0592259 -0.0465258 9.67974  - - -  - - -  73.5991 68.3167 69.515 67.4058 - - - - - - - - - - - - 138 146 133 71 0 0 0 0
